Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/14/2025,Cash,$0.12,10/31/2025,11/14/2025,11/28/2025,USD
08/08/2025,Cash,$0.12,07/25/2025,08/08/2025,08/22/2025,USD
05/09/2025,Cash,$0.12,04/25/2025,05/09/2025,05/23/2025,USD
02/11/2025,Cash,$0.12,01/28/2025,02/11/2025,02/25/2025,USD
11/13/2024,Cash,$0.12,10/30/2024,11/13/2024,11/27/2024,USD
08/13/2024,Cash,$0.12,07/30/2024,08/13/2024,08/27/2024,USD
05/09/2024,Cash,$0.12,04/26/2024,05/10/2024,05/24/2024,USD
02/15/2024,Cash,$0.12,02/02/2024,02/16/2024,03/01/2024,USD
11/07/2023,Cash,$0.12,10/25/2023,11/08/2023,11/22/2023,USD
08/08/2023,Cash,$0.12,07/26/2023,08/09/2023,08/23/2023,USD
05/09/2023,Cash,$0.12,04/26/2023,05/10/2023,05/24/2023,USD
02/13/2023,Cash,$0.12,01/31/2023,02/14/2023,02/28/2023,USD
11/09/2022,Cash,$0.12,10/28/2022,11/11/2022,11/25/2022,USD
08/09/2022,Cash,$0.12,07/27/2022,08/10/2022,08/24/2022,USD
05/10/2022,Cash,$0.12,04/27/2022,05/11/2022,05/25/2022,USD
02/10/2022,Cash,$0.08,01/28/2022,02/11/2022,02/25/2022,USD
11/10/2021,Cash,$0.08,11/01/2021,11/12/2021,11/26/2021,USD
08/10/2021,Cash,$0.08,07/27/2021,08/11/2021,08/25/2021,USD
05/12/2021,Cash,$0.08,04/29/2021,05/13/2021,05/27/2021,USD
02/10/2021,Cash,$0.08,01/28/2021,02/11/2021,02/25/2021,USD
11/12/2020,Cash,$0.08,10/30/2020,11/13/2020,11/27/2020,USD
08/06/2020,Cash,$0.08,07/24/2020,08/07/2020,08/21/2020,USD
05/14/2020,Cash,$0.08,05/01/2020,05/15/2020,05/29/2020,USD
02/10/2020,Cash,$0.08,01/28/2020,02/11/2020,02/25/2020,USD
11/08/2019,Cash,$0.08,10/29/2019,11/12/2019,11/26/2019,USD
08/08/2019,Cash,$0.08,07/25/2019,08/09/2019,08/23/2019,USD
05/13/2019,Cash,$0.08,04/30/2019,05/14/2019,05/28/2019,USD
02/07/2019,Cash,$0.08,01/25/2019,02/08/2019,02/22/2019,USD
11/09/2018,Cash,$0.08,10/30/2018,11/13/2018,11/27/2018,USD
08/09/2018,Cash,$0.08,07/27/2018,08/10/2018,08/24/2018,USD
05/14/2018,Cash,$0.08,05/01/2018,05/15/2018,05/29/2018,USD
02/08/2018,Cash,$0.08,01/26/2018,02/09/2018,02/28/2018,USD
11/13/2017,Cash,$0.08,10/31/2017,11/14/2017,11/28/2017,USD
08/04/2017,Cash,$0.08,07/25/2017,08/08/2017,08/22/2017,USD
05/12/2017,Cash,$0.08,05/02/2017,05/16/2017,05/30/2017,USD
02/10/2017,Cash,$0.08,01/31/2017,02/14/2017,02/28/2017,USD
11/10/2016,Cash,$0.08,11/01/2016,11/15/2016,11/29/2016,USD
08/09/2016,Cash,$0.08,07/28/2016,08/11/2016,08/25/2016,USD
05/06/2016,Cash,$0.08,04/26/2016,05/10/2016,05/24/2016,USD
02/08/2016,Cash,$0.08,01/27/2016,02/10/2016,02/24/2016,USD
11/03/2015,Cash,$0.08,10/22/2015,11/05/2015,11/19/2015,USD
08/07/2015,Cash,$0.06,07/28/2015,08/11/2015,08/25/2015,USD
05/13/2015,Cash,$0.06,05/01/2015,05/15/2015,05/29/2015,USD
02/03/2015,Cash,$0.06,01/22/2015,02/05/2015,02/19/2015,USD
11/05/2014,Cash,$0.06,10/24/2014,11/07/2014,11/21/2014,USD
08/05/2014,Cash,$0.03,07/24/2014,08/07/2014,08/21/2014,USD
05/05/2014,Cash,$0.03,04/23/2014,05/07/2014,05/21/2014,USD
02/04/2014,Cash,$0.03,01/23/2014,02/06/2014,02/20/2014,USD
11/06/2013,Cash,$0.03,10/25/2013,11/08/2013,11/22/2013,USD
08/06/2013,Cash,$0.03,07/25/2013,08/08/2013,08/22/2013,USD
02/05/2013,Cash,$0.03,01/24/2013,02/07/2013,02/21/2013,USD
05/05/2003,Cash,$0.08,N/A,05/05/2003,N/A,USD
02/03/2003,Cash,$0.08,N/A,02/03/2003,N/A,USD
02/03/1999,Cash,$0.7187,N/A,02/03/1999,N/A,USD
02/12/1996,Cash,$0.01,N/A,02/12/1996,N/A,USD
11/06/1995,Cash,$0.01,N/A,11/06/1995,N/A,USD
08/02/1995,Cash,$0.01,N/A,08/02/1995,N/A,USD
05/16/1995,Cash,$0.01,N/A,05/16/1995,N/A,USD
02/08/1995,Cash,$0.01,N/A,02/08/1995,N/A,USD
10/31/1994,Cash,$0.01,N/A,10/31/1994,N/A,USD
07/21/1994,Cash,$0.01,N/A,07/21/1994,N/A,USD
05/18/1994,Cash,$0.01,N/A,05/18/1994,N/A,USD
01/31/1994,Cash,$0.01,N/A,01/31/1994,N/A,USD
10/28/1993,Cash,$0.01,N/A,10/28/1993,N/A,USD
07/29/1993,Cash,$0.01,N/A,07/29/1993,N/A,USD
05/13/1993,Cash,$0.01,N/A,05/13/1993,N/A,USD
01/27/1993,Cash,$0.01,N/A,01/27/1993,N/A,USD
10/29/1992,Cash,$0.01,N/A,10/29/1992,N/A,USD
07/30/1992,Cash,$0.01,N/A,07/30/1992,N/A,USD
