Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/07/2025,Cash,$0.60,10/22/2025,11/07/2025,11/14/2025,USD
08/07/2025,Cash,$0.60,07/28/2025,08/07/2025,08/14/2025,USD
05/08/2025,Cash,$0.70,04/28/2025,05/08/2025,05/15/2025,USD
02/07/2025,Cash,$0.70,01/28/2025,02/07/2025,02/14/2025,USD
11/07/2024,Cash,$0.70,10/28/2024,11/07/2024,11/14/2024,USD
08/07/2024,Cash,$0.70,07/26/2024,08/07/2024,08/14/2024,USD
05/07/2024,Cash,$0.70,04/26/2024,05/08/2024,05/15/2024,USD
02/06/2024,Cash,$0.70,01/26/2024,02/07/2024,02/14/2024,USD
11/06/2023,Cash,$0.70,10/27/2023,11/07/2023,11/14/2023,USD
08/04/2023,Cash,$0.70,07/28/2023,08/07/2023,08/14/2023,USD
05/05/2023,Cash,$0.70,04/28/2023,05/08/2023,05/15/2023,USD
02/06/2023,Cash,$0.70,01/27/2023,02/07/2023,02/14/2023,USD
11/04/2022,Cash,$0.50,10/28/2022,11/07/2022,11/14/2022,USD
08/04/2022,Cash,$0.40,07/26/2022,08/05/2022,08/12/2022,USD
05/05/2022,Cash,$0.35,04/26/2022,05/06/2022,05/13/2022,USD
02/04/2022,Cash,$0.25,01/28/2022,02/07/2022,02/14/2022,USD
11/04/2021,Cash,$0.20,10/25/2021,11/05/2021,11/12/2021,USD
08/05/2021,Cash,$0.10,07/26/2021,08/06/2021,08/13/2021,USD
05/06/2021,Cash,$0.10,04/26/2021,05/07/2021,05/14/2021,USD
02/06/2020,Cash,$0.40,01/27/2020,02/07/2020,02/14/2020,USD
11/06/2019,Cash,$0.54,10/28/2019,11/07/2019,11/14/2019,USD
08/06/2019,Cash,$0.54,07/26/2019,08/07/2019,08/14/2019,USD
05/07/2019,Cash,$0.535,04/26/2019,05/08/2019,05/15/2019,USD
02/06/2019,Cash,$0.53,01/28/2019,02/07/2019,02/14/2019,USD
11/06/2018,Cash,$0.525,10/26/2018,11/07/2018,11/14/2018,USD
08/06/2018,Cash,$0.52,07/27/2018,08/07/2018,08/14/2018,USD
05/07/2018,Cash,$0.515,04/27/2018,05/08/2018,05/15/2018,USD
02/06/2018,Cash,$0.51,01/26/2018,02/07/2018,02/14/2018,USD
11/06/2017,Cash,$0.505,10/27/2017,11/07/2017,11/14/2017,USD
08/03/2017,Cash,$0.50,07/28/2017,08/07/2017,08/14/2017,USD
05/04/2017,Cash,$0.4375,04/28/2017,05/08/2017,05/15/2017,USD
02/03/2017,Cash,$0.4375,01/27/2017,02/07/2017,02/14/2017,USD
11/03/2016,Cash,$0.4375,10/28/2016,11/07/2016,11/14/2016,USD
08/03/2016,Cash,$0.4375,07/26/2016,08/05/2016,08/12/2016,USD
05/04/2016,Cash,$0.4375,04/26/2016,05/06/2016,05/13/2016,USD
02/03/2016,Cash,$0.675,01/26/2016,02/05/2016,02/12/2016,USD
11/04/2015,Cash,$0.675,10/27/2015,11/06/2015,11/13/2015,USD
08/05/2015,Cash,$0.675,07/28/2015,08/07/2015,08/14/2015,USD
05/06/2015,Cash,$0.6625,04/28/2015,05/08/2015,05/15/2015,USD
02/04/2015,Cash,$0.65,01/28/2015,02/06/2015,02/13/2015,USD
11/05/2014,Cash,$0.6375,10/27/2014,11/07/2014,11/14/2014,USD
08/05/2014,Cash,$0.625,07/28/2014,08/07/2014,08/14/2014,USD
05/06/2014,Cash,$1.2225,04/28/2014,05/08/2014,05/15/2014,USD
02/05/2014,Cash,$1.1975,01/28/2014,02/07/2014,02/14/2014,USD
11/05/2013,Cash,$1.175,10/28/2013,11/07/2013,11/14/2013,USD
08/05/2013,Cash,$1.1525,07/26/2013,08/07/2013,08/14/2013,USD
02/05/2013,Cash,$1.1075,01/29/2013,02/07/2013,02/14/2013,USD
05/01/2003,Cash,$0.525,N/A,05/01/2003,N/A,USD
01/30/2003,Cash,$0.525,N/A,01/30/2003,N/A,USD
10/30/2002,Cash,$0.50,N/A,10/30/2002,N/A,USD
07/30/2002,Cash,$0.50,N/A,07/30/2002,N/A,USD
05/01/2002,Cash,$0.50,N/A,05/01/2002,N/A,USD
01/31/2002,Cash,$0.50,N/A,01/31/2002,N/A,USD
10/31/2001,Cash,$0.50,N/A,10/31/2001,N/A,USD
08/01/2001,Cash,$0.50,N/A,08/01/2001,N/A,USD
05/02/2001,Cash,$0.50,N/A,05/02/2001,N/A,USD
01/29/2001,Cash,$0.50,N/A,01/29/2001,N/A,USD
10/31/2000,Cash,$0.50,N/A,10/31/2000,N/A,USD
07/27/2000,Cash,$0.50,N/A,07/27/2000,N/A,USD
04/27/2000,Cash,$0.50,N/A,04/27/2000,N/A,USD
02/03/2000,Cash,$0.50,N/A,02/03/2000,N/A,USD
10/27/1999,Cash,$0.23,N/A,10/27/1999,N/A,USD
