Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/03/2025,Cash,$0.35,11/20/2025,12/03/2025,12/17/2025,USD
09/17/2025,Cash,$0.35,08/21/2025,09/17/2025,09/26/2025,USD
06/04/2025,Cash,$0.33,05/14/2025,06/04/2025,06/18/2025,USD
03/05/2025,Cash,$0.33,02/20/2025,03/05/2025,03/19/2025,USD
12/04/2024,Cash,$0.33,11/21/2024,12/04/2024,12/18/2024,USD
09/11/2024,Cash,$0.33,08/15/2024,09/11/2024,09/25/2024,USD
06/05/2024,Cash,$0.31,05/15/2024,06/05/2024,06/18/2024,USD
03/05/2024,Cash,$0.31,02/15/2024,03/06/2024,03/20/2024,USD
12/05/2023,Cash,$0.31,11/15/2023,12/06/2023,12/20/2023,USD
09/12/2023,Cash,$0.31,08/29/2023,09/13/2023,09/27/2023,USD
06/06/2023,Cash,$0.29,05/22/2023,06/07/2023,06/21/2023,USD
02/28/2023,Cash,$0.29,02/15/2023,03/01/2023,03/15/2023,USD
12/06/2022,Cash,$0.29,11/16/2022,12/07/2022,12/21/2022,USD
09/13/2022,Cash,$0.29,08/30/2022,09/14/2022,09/28/2022,USD
06/07/2022,Cash,$0.26,05/23/2022,06/08/2022,06/22/2022,USD
03/01/2022,Cash,$0.26,02/16/2022,03/02/2022,03/16/2022,USD
11/30/2021,Cash,$0.24,11/17/2021,12/01/2021,12/15/2021,USD
09/03/2021,Cash,$0.24,08/24/2021,09/07/2021,09/21/2021,USD
06/08/2021,Cash,$0.22,05/25/2021,06/09/2021,06/23/2021,USD
03/09/2021,Cash,$0.21,02/18/2021,03/10/2021,03/24/2021,USD
12/01/2020,Cash,$0.21,11/16/2020,12/02/2020,12/16/2020,USD
09/08/2020,Cash,$0.21,08/04/2020,09/09/2020,09/23/2020,USD
06/02/2020,Cash,$0.21,05/20/2020,06/03/2020,06/17/2020,USD
03/03/2020,Cash,$0.21,02/06/2020,03/04/2020,03/18/2020,USD
12/03/2019,Cash,$0.21,11/19/2019,12/04/2019,12/20/2019,USD
09/10/2019,Cash,$0.21,08/14/2019,09/11/2019,09/25/2019,USD
06/04/2019,Cash,$0.20,05/20/2019,06/05/2019,06/19/2019,USD
03/11/2019,Cash,$0.20,02/07/2019,03/12/2019,03/26/2019,USD
12/04/2018,Cash,$0.20,11/16/2018,12/05/2018,12/19/2018,USD
09/07/2018,Cash,$0.20,08/29/2018,09/10/2018,09/20/2018,USD
06/05/2018,Cash,$0.19,05/22/2018,06/06/2018,06/19/2018,USD
03/12/2018,Cash,$0.19,02/06/2018,03/13/2018,03/27/2018,USD
12/05/2017,Cash,$0.18,11/10/2017,12/06/2017,12/19/2017,USD
09/01/2017,Cash,$0.18,08/11/2017,09/06/2017,09/15/2017,USD
06/02/2017,Cash,$0.18,05/11/2017,06/06/2017,06/19/2017,USD
03/10/2017,Cash,$0.18,02/28/2017,03/14/2017,03/28/2017,USD
12/02/2016,Cash,$0.17,11/11/2016,12/06/2016,12/19/2016,USD
09/02/2016,Cash,$0.17,08/12/2016,09/07/2016,09/16/2016,USD
06/03/2016,Cash,$0.17,05/13/2016,06/07/2016,06/20/2016,USD
02/26/2016,Cash,$0.17,02/12/2016,03/01/2016,03/14/2016,USD
11/27/2015,Cash,$0.17,11/13/2015,12/01/2015,12/14/2015,USD
09/04/2015,Cash,$0.17,08/14/2015,09/09/2015,09/18/2015,USD
05/29/2015,Cash,$0.16,05/15/2015,06/02/2015,06/15/2015,USD
02/27/2015,Cash,$0.16,02/13/2015,03/03/2015,03/16/2015,USD
11/28/2014,Cash,$0.16,11/07/2014,12/02/2014,12/15/2014,USD
09/04/2014,Cash,$0.16,08/08/2014,09/08/2014,09/19/2014,USD
05/30/2014,Cash,$0.15,05/12/2014,06/03/2014,06/16/2014,USD
02/28/2014,Cash,$0.15,02/14/2014,03/04/2014,03/17/2014,USD
11/29/2013,Cash,$0.15,11/07/2013,12/03/2013,12/16/2013,USD
09/06/2013,Cash,$0.15,08/12/2013,09/10/2013,09/20/2013,USD
06/13/2001,Cash,$0.075,N/A,06/15/2001,N/A,USD
03/14/2001,Cash,$0.075,N/A,03/16/2001,N/A,USD
12/13/2000,Cash,$0.075,N/A,12/15/2000,N/A,USD
09/13/2000,Cash,$0.15,07/28/2000,09/15/2000,10/02/2000,USD
