Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/31/2025,Cash,$0.49,11/20/2025,12/31/2025,01/15/2026,USD
09/30/2025,Cash,$0.49,08/28/2025,09/30/2025,10/15/2025,USD
06/30/2025,Cash,$0.46,05/22/2025,06/30/2025,07/15/2025,USD
03/31/2025,Cash,$0.46,02/27/2025,03/31/2025,04/15/2025,USD
12/31/2024,Cash,$0.46,11/21/2024,12/31/2024,01/15/2025,USD
09/30/2024,Cash,$0.46,08/22/2024,09/30/2024,10/15/2024,USD
06/28/2024,Cash,$0.43,05/23/2024,06/28/2024,07/15/2024,USD
03/27/2024,Cash,$0.43,02/22/2024,03/28/2024,04/15/2024,USD
12/28/2023,Cash,$0.43,11/16/2023,12/29/2023,01/16/2024,USD
09/28/2023,Cash,$0.43,08/24/2023,09/29/2023,10/16/2023,USD
06/29/2023,Cash,$0.40,05/25/2023,06/30/2023,07/17/2023,USD
03/30/2023,Cash,$0.40,02/23/2023,03/31/2023,04/17/2023,USD
12/29/2022,Cash,$0.40,11/17/2022,12/31/2022,01/16/2023,USD
09/29/2022,Cash,$0.40,08/25/2022,09/30/2022,10/17/2022,USD
06/29/2022,Cash,$0.36,05/26/2022,06/30/2022,07/15/2022,USD
03/30/2022,Cash,$0.36,02/24/2022,03/31/2022,04/15/2022,USD
12/30/2021,Cash,$0.36,11/18/2021,12/31/2021,01/17/2022,USD
09/29/2021,Cash,$0.36,08/26/2021,09/30/2021,10/15/2021,USD
06/29/2021,Cash,$0.34,05/27/2021,06/30/2021,07/15/2021,USD
03/30/2021,Cash,$0.34,02/25/2021,03/31/2021,04/15/2021,USD
12/30/2020,Cash,$0.34,11/19/2020,12/31/2020,01/15/2021,USD
09/29/2020,Cash,$0.34,08/27/2020,09/30/2020,10/15/2020,USD
06/29/2020,Cash,$0.32,05/28/2020,06/30/2020,07/15/2020,USD
03/30/2020,Cash,$0.32,02/27/2020,03/31/2020,04/15/2020,USD
12/30/2019,Cash,$0.32,11/21/2019,12/31/2019,01/15/2020,USD
09/27/2019,Cash,$0.32,08/22/2019,09/30/2019,10/15/2019,USD
06/27/2019,Cash,$0.30,05/23/2019,06/28/2019,07/15/2019,USD
03/28/2019,Cash,$0.30,02/28/2019,03/29/2019,04/15/2019,USD
12/28/2018,Cash,$0.30,11/15/2018,12/31/2018,01/15/2019,USD
09/27/2018,Cash,$0.30,08/23/2018,09/28/2018,10/15/2018,USD
06/28/2018,Cash,$0.21,05/24/2018,06/29/2018,07/13/2018,USD
03/28/2018,Cash,$0.21,02/22/2018,03/30/2018,04/13/2018,USD
12/28/2017,Cash,$0.21,11/16/2017,12/29/2017,01/15/2018,USD
09/28/2017,Cash,$0.21,08/24/2017,09/29/2017,10/13/2017,USD
06/28/2017,Cash,$0.38,05/25/2017,06/30/2017,07/14/2017,USD
03/29/2017,Cash,$0.38,02/23/2017,03/31/2017,04/14/2017,USD
12/28/2016,Cash,$0.38,11/17/2016,12/30/2016,01/13/2017,USD
09/28/2016,Cash,$0.38,08/25/2016,09/30/2016,10/14/2016,USD
06/28/2016,Cash,$0.36,05/26/2016,06/30/2016,07/15/2016,USD
03/29/2016,Cash,$0.36,02/25/2016,03/31/2016,04/15/2016,USD
12/29/2015,Cash,$0.36,11/19/2015,12/31/2015,01/15/2016,USD
09/28/2015,Cash,$0.36,08/27/2015,09/30/2015,10/15/2015,USD
06/26/2015,Cash,$0.34,05/28/2015,06/30/2015,07/15/2015,USD
03/27/2015,Cash,$0.34,02/26/2015,03/31/2015,04/15/2015,USD
12/29/2014,Cash,$0.34,11/20/2014,12/31/2014,01/15/2015,USD
09/26/2014,Cash,$0.34,08/28/2014,09/30/2014,10/15/2014,USD
06/26/2014,Cash,$0.31,05/22/2014,06/30/2014,07/15/2014,USD
03/27/2014,Cash,$0.31,02/27/2014,03/31/2014,04/15/2014,USD
12/27/2013,Cash,$0.31,11/21/2013,12/31/2013,01/15/2014,USD
09/26/2013,Cash,$0.31,08/22/2013,09/30/2013,10/15/2013,USD
03/27/2003,Cash,$0.22,N/A,03/27/2003,N/A,USD
12/27/2002,Cash,$0.22,N/A,12/27/2002,N/A,USD
09/26/2002,Cash,$0.20,N/A,09/26/2002,N/A,USD
06/26/2002,Cash,$0.20,N/A,06/26/2002,N/A,USD
03/26/2002,Cash,$0.18,N/A,03/26/2002,N/A,USD
12/27/2001,Cash,$0.18,N/A,12/27/2001,N/A,USD
09/26/2001,Cash,$0.18,N/A,09/26/2001,N/A,USD
06/27/2001,Cash,$0.18,N/A,06/27/2001,N/A,USD
03/28/2001,Cash,$0.18,N/A,03/28/2001,N/A,USD
