Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/26/2024,Cash,$0.87,12/09/2024,12/26/2024,01/17/2025,USD
12/26/2023,Cash,$0.79,12/04/2023,12/27/2023,01/19/2024,USD
12/23/2022,Cash,$0.71,12/05/2022,12/27/2022,01/20/2023,USD
12/27/2021,Cash,$0.64,12/15/2021,12/28/2021,01/21/2022,USD
12/24/2020,Cash,$0.58,12/16/2020,12/28/2020,01/22/2021,USD
12/27/2019,Cash,$0.52,12/17/2019,12/30/2019,01/17/2020,USD
12/24/2018,Cash,$0.47,12/12/2018,12/26/2018,01/18/2019,USD
12/26/2017,Cash,$0.42,12/13/2017,12/27/2017,01/19/2018,USD
12/22/2016,Cash,$0.38,12/13/2016,12/27/2016,01/20/2017,USD
12/23/2015,Cash,$0.34,12/15/2015,12/28/2015,01/21/2016,USD
12/24/2014,Cash,$0.30,12/19/2014,12/29/2014,01/27/2015,USD
12/19/2013,Cash,$0.26,12/13/2013,12/23/2013,01/21/2014,USD
12/27/2006,Cash,$0.09,N/A,12/29/2006,01/19/2007,USD
12/28/2005,Cash,$0.09,N/A,12/30/2005,01/20/2006,USD
12/28/2004,Cash,$0.09,N/A,12/30/2004,01/20/2005,USD
12/21/2000,Cash,$0.06,N/A,12/26/2000,N/A,USD
12/22/1999,Cash,$0.05,01/01/1999,12/22/1999,01/01/1999,USD
12/21/1994,Cash,$0.0275,N/A,12/21/1994,N/A,USD
12/06/1993,Cash,$0.0335,N/A,12/06/1993,N/A,USD
12/07/1992,Cash,$0.0335,N/A,12/07/1992,N/A,USD
11/29/1991,Cash,$0.045,N/A,11/29/1991,N/A,USD
11/27/1990,Cash,$0.04,N/A,11/27/1990,N/A,USD
12/11/1989,Cash,$0.03,N/A,12/11/1989,N/A,USD
11/17/1988,Cash,$0.03,N/A,11/17/1988,N/A,USD
