Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/05/2025,Cash,$0.75,11/14/2025,12/05/2025,01/02/2026,USD
09/12/2025,Cash,$0.75,08/22/2025,09/12/2025,10/01/2025,USD
05/29/2025,Cash,$0.70,05/08/2025,05/29/2025,07/01/2025,USD
03/18/2025,Cash,$0.70,02/26/2025,03/18/2025,04/01/2025,USD
12/06/2024,Cash,$0.70,11/15/2024,12/06/2024,01/02/2025,USD
09/13/2024,Cash,$0.62,08/23/2024,09/13/2024,10/01/2024,USD
05/30/2024,Cash,$0.62,05/09/2024,05/30/2024,07/01/2024,USD
03/13/2024,Cash,$0.62,02/23/2024,03/14/2024,04/01/2024,USD
12/06/2023,Cash,$0.62,11/16/2023,12/07/2023,01/02/2024,USD
09/07/2023,Cash,$0.55,08/18/2023,09/08/2023,10/02/2023,USD
05/31/2023,Cash,$0.55,05/11/2023,06/01/2023,07/03/2023,USD
03/17/2023,Cash,$0.55,02/28/2023,03/20/2023,04/03/2023,USD
12/06/2022,Cash,$0.55,11/16/2022,12/07/2022,01/03/2023,USD
09/06/2022,Cash,$0.55,08/17/2022,09/07/2022,10/03/2022,USD
06/01/2022,Cash,$0.55,05/12/2022,06/02/2022,07/01/2022,USD
03/14/2022,Cash,$0.55,02/23/2022,03/15/2022,04/01/2022,USD
12/06/2021,Cash,$0.45,11/16/2021,12/07/2021,01/03/2022,USD
09/09/2021,Cash,$0.45,08/20/2021,09/10/2021,10/01/2021,USD
05/25/2021,Cash,$0.45,05/06/2021,05/26/2021,07/01/2021,USD
03/17/2021,Cash,$0.40,02/26/2021,03/18/2021,04/01/2021,USD
12/10/2020,Cash,$0.40,11/19/2020,12/11/2020,01/04/2021,USD
09/04/2020,Cash,$0.40,08/18/2020,09/08/2020,10/01/2020,USD
06/01/2020,Cash,$0.40,05/12/2020,06/02/2020,07/01/2020,USD
03/18/2020,Cash,$0.40,02/28/2020,03/19/2020,04/01/2020,USD
12/04/2019,Cash,$0.30,11/14/2019,12/05/2019,01/02/2020,USD
09/12/2019,Cash,$0.30,08/23/2019,09/13/2019,10/01/2019,USD
05/24/2019,Cash,$0.30,05/07/2019,05/28/2019,07/01/2019,USD
03/07/2019,Cash,$0.30,02/15/2019,03/08/2019,04/01/2019,USD
12/04/2018,Cash,$0.25,11/14/2018,12/05/2018,01/02/2019,USD
09/12/2018,Cash,$0.25,08/23/2018,09/13/2018,10/01/2018,USD
05/25/2018,Cash,$0.25,05/08/2018,05/29/2018,07/02/2018,USD
03/15/2018,Cash,$0.25,02/23/2018,03/16/2018,04/02/2018,USD
12/04/2017,Cash,$0.25,11/14/2017,12/05/2017,01/02/2018,USD
09/13/2017,Cash,$0.25,08/24/2017,09/14/2017,10/02/2017,USD
06/07/2017,Cash,$0.25,05/19/2017,06/09/2017,07/03/2017,USD
03/15/2017,Cash,$0.25,01/24/2017,03/17/2017,04/03/2017,USD
12/07/2016,Cash,$0.15,11/22/2016,12/09/2016,01/02/2017,USD
