Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/02/2025,Cash/Stock,$0.275,10/31/2025,12/02/2025,N/A,USD
09/05/2025,Cash,$0.275,07/25/2025,09/05/2025,09/23/2025,USD
06/06/2025,Cash,$0.275,04/25/2025,06/06/2025,06/24/2025,USD
03/07/2025,Cash,$0.275,01/31/2025,03/07/2025,03/25/2025,USD
12/03/2024,Cash/Stock,$0.27,10/25/2024,12/03/2024,12/17/2024,USD
09/05/2024,Cash,$0.27,07/26/2024,09/05/2024,09/23/2024,USD
06/05/2024,Cash,$0.27,04/17/2024,06/05/2024,06/18/2024,USD
03/06/2024,Cash,$0.27,02/02/2024,03/07/2024,03/25/2024,USD
12/01/2023,Cash/Stock,$0.27,10/27/2023,12/04/2023,N/A,USD
09/05/2023,Cash,$0.27,07/28/2023,09/06/2023,09/25/2023,USD
06/02/2023,Cash,$0.27,04/19/2023,06/05/2023,06/20/2023,USD
03/06/2023,Cash,$0.27,02/03/2023,03/07/2023,03/27/2023,USD
12/01/2022,Cash/Stock,$0.265,10/28/2022,12/02/2022,N/A,USD
09/06/2022,Cash,$0.265,08/05/2022,09/07/2022,09/22/2022,USD
06/06/2022,Cash,$0.265,04/20/2022,06/07/2022,06/22/2022,USD
03/07/2022,Cash,$0.265,02/04/2022,03/08/2022,03/23/2022,USD
12/01/2021,Cash/Stock,$0.2625,11/12/2021,12/02/2021,12/17/2021,USD
09/03/2021,Cash,$0.2625,07/30/2021,09/07/2021,09/23/2021,USD
06/03/2021,Cash,$0.2625,04/21/2021,06/04/2021,06/21/2021,USD
03/08/2021,Cash,$0.2625,02/05/2021,03/09/2021,03/24/2021,USD
12/01/2020,Cash/Stock,$0.27,10/30/2020,12/02/2020,12/18/2020,USD
09/03/2020,Cash,$0.27,07/31/2020,09/04/2020,09/21/2020,USD
06/04/2020,Cash,$0.27,04/15/2020,06/05/2020,06/22/2020,USD
03/05/2020,Cash,$0.27,02/07/2020,03/06/2020,03/23/2020,USD
12/02/2019,Cash/Stock,$0.26,11/01/2019,12/03/2019,12/18/2019,USD
09/05/2019,Cash,$0.26,08/02/2019,09/06/2019,09/23/2019,USD
06/06/2019,Cash,$0.26,04/17/2019,06/07/2019,06/24/2019,USD
03/07/2019,Cash,$0.26,01/25/2019,03/08/2019,03/25/2019,USD
11/29/2018,Cash/Stock,$0.235,10/26/2018,11/30/2018,12/17/2018,USD
09/06/2018,Cash,$0.235,07/27/2018,09/07/2018,09/24/2018,USD
06/07/2018,Cash,$0.235,04/18/2018,06/08/2018,06/25/2018,USD
03/08/2018,Cash,$0.235,01/26/2018,03/09/2018,03/26/2018,USD
11/29/2017,Cash/Stock,$0.225,10/27/2017,11/30/2017,12/18/2017,USD
09/07/2017,Cash,$0.225,07/28/2017,09/08/2017,09/25/2017,USD
06/07/2017,Cash,$0.225,04/19/2017,06/09/2017,06/26/2017,USD
03/08/2017,Cash,$0.225,02/03/2017,03/10/2017,03/27/2017,USD
11/30/2016,Cash/Stock,$0.225,10/28/2016,12/02/2016,12/19/2016,USD
09/07/2016,Cash,$0.225,07/29/2016,09/09/2016,09/26/2016,USD
06/08/2016,Cash,$0.225,04/20/2016,06/10/2016,06/27/2016,USD
03/09/2016,Cash,$0.225,02/05/2016,03/11/2016,03/28/2016,USD
11/24/2015,Cash/Stock,$0.225,10/30/2015,11/27/2015,12/14/2015,USD
09/09/2015,Cash,$0.225,07/24/2015,09/11/2015,09/28/2015,USD
06/03/2015,Cash,$0.225,04/15/2015,06/05/2015,06/26/2015,USD
03/04/2015,Cash,$0.225,01/30/2015,03/06/2015,03/26/2015,USD
11/25/2014,Cash/Stock,$0.225,10/31/2014,11/28/2014,12/15/2014,USD
09/03/2014,Cash,$0.225,07/25/2014,09/05/2014,09/25/2014,USD
06/03/2014,Cash,$0.225,04/16/2014,06/05/2014,06/23/2014,USD
03/03/2014,Cash,$0.225,01/31/2014,03/05/2014,03/24/2014,USD
11/26/2013,Cash/Stock,$0.225,11/01/2013,11/29/2013,12/16/2013,USD
09/04/2013,Cash,$0.225,07/26/2013,09/06/2013,09/23/2013,USD
06/05/2013,Cash,$0.225,04/17/2013,06/07/2013,06/24/2013,USD
06/04/2003,Cash,$0.165,N/A,06/04/2003,N/A,USD
03/05/2003,Cash,$0.165,N/A,03/05/2003,N/A,USD
11/26/2002,Cash/Stock,$0.1625,N/A,11/26/2002,N/A,USD
09/11/2002,Cash,$0.1625,N/A,09/11/2002,N/A,USD
06/05/2002,Cash,$0.1625,N/A,06/05/2002,N/A,USD
03/06/2002,Cash,$0.1625,N/A,03/06/2002,N/A,USD
11/28/2001,Cash/Stock,$0.16,N/A,11/28/2001,N/A,USD
09/12/2001,Cash,$0.16,N/A,09/12/2001,N/A,USD
