Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/14/2025,Cash,$1.43,11/05/2025,11/14/2025,12/03/2025,USD
05/16/2025,Cash,$0.90,04/29/2025,05/16/2025,05/27/2025,USD
11/15/2024,Cash,$1.34,11/05/2024,11/15/2024,12/03/2024,USD
05/09/2024,Cash,$0.79,04/25/2024,05/10/2024,05/23/2024,USD
11/16/2023,Cash,$1.23,11/01/2023,11/17/2023,12/05/2023,USD
05/11/2023,Cash,$0.74,04/25/2023,05/12/2023,05/25/2023,USD
11/17/2022,Cash,$1.11,11/02/2022,11/18/2022,12/07/2022,USD
05/12/2022,Cash,$0.59,04/27/2022,05/13/2022,05/26/2022,USD
11/18/2021,Cash,$1.62,11/09/2021,11/19/2021,12/06/2021,USD
11/16/2020,Cash,$1.00,10/26/2020,11/17/2020,12/01/2020,USD
11/18/2019,Cash,$0.69,10/24/2019,11/19/2019,12/03/2019,USD
05/23/2019,Cash,$0.69,04/30/2019,05/24/2019,06/06/2019,USD
11/08/2018,Cash,$0.32,10/25/2018,11/09/2018,11/20/2018,USD
08/21/2018,Cash,$0.30,08/09/2018,08/22/2018,09/06/2018,USD
05/11/2018,Cash,$0.31,04/26/2018,05/14/2018,05/29/2018,USD
02/26/2018,Cash,$0.32,02/15/2018,02/27/2018,03/15/2018,USD
11/17/2017,Cash,$0.24,11/07/2017,11/20/2017,12/04/2017,USD
08/24/2017,Cash,$0.25,08/10/2017,08/28/2017,09/11/2017,USD
05/18/2017,Cash,$0.23,05/04/2017,05/22/2017,06/05/2017,USD
04/06/2017,Cash,$0.2237,03/21/2017,04/10/2017,04/24/2017,USD
12/28/2016,Cash,$0.1772,12/15/2016,12/30/2016,01/13/2017,USD
09/29/2016,Cash,$0.19,09/22/2016,10/03/2016,10/17/2016,USD
