Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/25/2025,Cash,$0.63,N/A,11/25/2025,12/10/2025,USD
08/25/2025,Cash,$0.625,N/A,08/25/2025,09/10/2025,USD
05/23/2025,Cash,$0.625,N/A,05/26/2025,06/10/2025,USD
02/25/2025,Cash,$0.625,N/A,02/25/2025,03/11/2025,USD
11/25/2024,Cash,$0.625,N/A,11/25/2024,12/10/2024,USD
08/26/2024,Cash,$0.62,N/A,08/26/2024,09/10/2024,USD
05/23/2024,Cash,$0.62,N/A,05/24/2024,06/11/2024,USD
02/23/2024,Cash,$0.62,N/A,02/26/2024,03/12/2024,USD
11/22/2023,Cash,$0.62,N/A,11/24/2023,12/12/2023,USD
08/24/2023,Cash,$0.59,N/A,08/25/2023,09/12/2023,USD
05/24/2023,Cash,$0.59,N/A,05/25/2023,06/13/2023,USD
02/23/2023,Cash,$0.59,N/A,02/24/2023,03/10/2023,USD
11/23/2022,Cash,$0.59,N/A,11/25/2022,12/09/2022,USD
08/24/2022,Cash,$0.50,N/A,08/25/2022,09/09/2022,USD
05/24/2022,Cash,$0.50,N/A,05/25/2022,06/10/2022,USD
02/24/2022,Cash,$0.50,N/A,02/25/2022,03/10/2022,USD
11/23/2021,Cash,$0.50,N/A,11/24/2021,12/10/2021,USD
08/24/2021,Cash,$0.40,N/A,08/25/2021,09/10/2021,USD
05/24/2021,Cash,$0.40,N/A,05/25/2021,06/10/2021,USD
02/24/2021,Cash,$0.40,N/A,02/25/2021,03/10/2021,USD
11/24/2020,Cash,$0.40,N/A,11/25/2020,12/10/2020,USD
08/24/2020,Cash,$0.38,N/A,08/25/2020,09/10/2020,USD
05/21/2020,Cash,$0.38,N/A,05/25/2020,06/10/2020,USD
02/24/2020,Cash,$0.38,N/A,02/25/2020,03/10/2020,USD
11/22/2019,Cash,$0.38,N/A,11/25/2019,12/10/2019,USD
08/23/2019,Cash,$0.295,N/A,08/26/2019,09/10/2019,USD
05/23/2019,Cash,$0.295,N/A,05/24/2019,06/11/2019,USD
02/22/2019,Cash,$0.295,N/A,02/25/2019,03/12/2019,USD
11/23/2018,Cash,$0.295,N/A,11/26/2018,12/10/2018,USD
08/23/2018,Cash,$0.21,N/A,08/24/2018,09/10/2018,USD
05/24/2018,Cash,$0.21,N/A,05/25/2018,06/11/2018,USD
02/23/2018,Cash,$0.21,N/A,02/26/2018,03/12/2018,USD
11/22/2017,Cash,$0.21,N/A,11/24/2017,12/11/2017,USD
08/23/2017,Cash,$0.16,N/A,08/25/2017,09/11/2017,USD
05/23/2017,Cash,$0.16,N/A,05/25/2017,06/12/2017,USD
02/22/2017,Cash,$0.16,N/A,02/24/2017,03/10/2017,USD
11/22/2016,Cash,$0.16,N/A,11/25/2016,12/12/2016,USD
08/23/2016,Cash,$0.1075,N/A,08/25/2016,09/12/2016,USD
05/23/2016,Cash,$0.1075,N/A,05/25/2016,06/10/2016,USD
02/23/2016,Cash,$0.1075,N/A,02/25/2016,03/10/2016,USD
11/23/2015,Cash,$0.1075,N/A,11/25/2015,12/10/2015,USD
08/21/2015,Cash,$0.0675,N/A,08/25/2015,09/10/2015,USD
05/21/2015,Cash,$0.0675,N/A,05/26/2015,06/10/2015,USD
02/23/2015,Cash,$0.0675,N/A,02/25/2015,03/10/2015,USD
11/21/2014,Cash,$0.0675,N/A,11/25/2014,12/10/2014,USD
08/21/2014,Cash,$0.0425,N/A,08/25/2014,09/10/2014,USD
05/22/2014,Cash,$0.0425,N/A,05/27/2014,06/10/2014,USD
02/21/2014,Cash,$0.0425,N/A,02/25/2014,03/10/2014,USD
11/13/2013,Cash,$0.0425,N/A,11/15/2013,12/02/2013,USD
