Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
10/03/2025,Cash,$0.55,09/21/2025,10/04/2025,10/15/2025,USD
07/03/2025,Cash,$0.56,06/19/2025,07/03/2025,07/15/2025,USD
04/04/2025,Cash,$0.55,03/20/2025,04/04/2025,04/15/2025,USD
01/03/2025,Cash,$0.56,12/24/2024,01/03/2025,01/15/2025,USD
10/04/2024,Cash,$0.55,09/20/2024,10/04/2024,10/15/2024,USD
07/05/2024,Cash,$0.56,06/20/2024,07/05/2024,07/15/2024,USD
04/03/2024,Cash,$0.55,03/20/2024,04/04/2024,04/15/2024,USD
01/03/2024,Cash,$0.56,12/20/2023,01/04/2024,01/15/2024,USD
10/03/2023,Cash,$0.55,09/21/2023,10/04/2023,10/16/2023,USD
06/30/2023,Cash,$0.56,06/21/2023,07/03/2023,07/14/2023,USD
04/03/2023,Cash,$0.55,03/22/2023,04/04/2023,04/14/2023,USD
01/03/2023,Cash,$0.56,12/21/2022,01/04/2023,01/17/2023,USD
10/03/2022,Cash,$0.55,09/21/2022,10/04/2022,10/14/2022,USD
06/30/2022,Cash,$0.56,06/17/2022,07/01/2022,07/15/2022,USD
04/01/2022,Cash,$0.55,03/23/2021,04/04/2022,04/15/2022,USD
01/05/2022,Cash,$0.56,12/27/2021,01/06/2022,01/18/2022,USD
10/04/2021,Cash,$0.63,09/24/2021,10/05/2021,10/15/2021,USD
