Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
09/18/2002,Cash,$0.05,N/A,09/18/2002,N/A,USD
06/12/2002,Cash,$0.05,N/A,06/12/2002,N/A,USD
03/13/2002,Cash,$0.05,N/A,03/13/2002,N/A,USD
12/12/2001,Cash,$0.05,N/A,12/12/2001,N/A,USD
09/12/2001,Cash,$0.05,N/A,09/12/2001,N/A,USD
06/13/2001,Cash,$0.05,N/A,06/13/2001,N/A,USD
03/14/2001,Cash,$0.05,N/A,03/14/2001,N/A,USD
12/13/2000,Cash,$0.05,N/A,12/13/2000,N/A,USD
09/13/2000,Cash,$0.05,N/A,09/13/2000,N/A,USD
06/13/2000,Cash,$0.05,N/A,06/13/2000,N/A,USD
03/16/2000,Cash,$0.05,N/A,03/16/2000,N/A,USD
12/21/1999,Cash,$0.05,N/A,12/21/1999,N/A,USD
09/13/1999,Cash,$0.05,N/A,09/13/1999,N/A,USD
06/11/1999,Cash,$0.05,N/A,06/11/1999,N/A,USD
03/11/1999,Cash,$0.05,N/A,03/11/1999,N/A,USD
12/14/1998,Cash,$0.05,N/A,12/14/1998,N/A,USD
09/14/1998,Cash,$0.05,N/A,09/14/1998,N/A,USD
06/26/1998,Cash,$0.05,N/A,06/26/1998,N/A,USD
03/13/1998,Cash,$0.05,N/A,03/13/1998,N/A,USD
12/12/1997,Cash,$0.05,N/A,12/12/1997,N/A,USD
09/12/1997,Cash,$0.05,N/A,09/12/1997,N/A,USD
06/12/1997,Cash,$0.05,N/A,06/12/1997,N/A,USD
03/26/1997,Cash,$0.05,N/A,03/26/1997,N/A,USD
12/12/1996,Cash,$0.05,N/A,12/12/1996,N/A,USD
09/16/1996,Cash,$0.05,N/A,09/16/1996,N/A,USD
