Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/13/2025,Cash,$0.085,10/29/2025,11/13/2025,11/28/2025,USD
08/14/2025,Cash,$0.08,07/30/2025,08/14/2025,08/28/2025,USD
05/15/2025,Cash,$0.08,04/30/2025,05/15/2025,05/29/2025,USD
02/27/2025,Cash,$0.08,02/12/2025,02/27/2025,03/13/2025,USD
11/14/2024,Cash,$0.08,10/30/2024,11/14/2024,11/29/2024,USD
08/15/2024,Cash,$0.075,07/31/2024,08/15/2024,08/29/2024,USD
05/15/2024,Cash,$0.075,05/02/2024,05/16/2024,05/30/2024,USD
02/28/2024,Cash,$0.075,02/15/2024,02/29/2024,03/14/2024,USD
11/16/2023,Cash,$0.075,10/30/2023,11/17/2023,12/01/2023,USD
08/17/2023,Cash,$0.07,08/02/2023,08/18/2023,09/01/2023,USD
05/18/2023,Cash,$0.07,05/03/2023,05/19/2023,06/02/2023,USD
03/02/2023,Cash,$0.07,02/16/2023,03/03/2023,03/17/2023,USD
11/17/2022,Cash,$0.07,11/03/2022,11/18/2022,12/02/2022,USD
08/18/2022,Cash,$0.065,08/02/2022,08/19/2022,09/02/2022,USD
05/19/2022,Cash,$0.065,05/05/2022,05/20/2022,06/03/2022,USD
03/03/2022,Cash,$0.065,02/17/2022,03/04/2022,03/18/2022,USD
11/18/2021,Cash,$0.065,11/04/2021,11/19/2021,12/03/2021,USD
08/19/2021,Cash,$0.06,08/05/2021,08/20/2021,09/03/2021,USD
05/20/2021,Cash,$0.06,05/06/2021,05/21/2021,06/04/2021,USD
02/25/2021,Cash,$0.06,02/11/2021,02/26/2021,03/12/2021,USD
12/11/2020,Cash,$2.00,12/03/2020,12/14/2020,12/28/2020,USD
11/12/2020,Cash,$0.06,10/28/2020,11/13/2020,11/27/2020,USD
08/13/2020,Cash,$0.055,07/29/2020,08/14/2020,08/28/2020,USD
05/14/2020,Cash,$0.055,04/27/2020,05/15/2020,05/29/2020,USD
02/27/2020,Cash,$0.055,02/13/2020,02/28/2020,03/13/2020,USD
11/14/2019,Cash,$0.055,10/28/2019,11/15/2019,11/29/2019,USD
08/15/2019,Cash,$0.05,07/29/2019,08/16/2019,08/30/2019,USD
05/16/2019,Cash,$0.05,04/29/2019,05/17/2019,05/31/2019,USD
02/28/2019,Cash,$0.05,02/14/2019,03/01/2019,03/15/2019,USD
11/15/2018,Cash,$0.05,10/29/2018,11/16/2018,11/30/2018,USD
08/16/2018,Cash,$0.045,07/30/2018,08/17/2018,08/31/2018,USD
05/17/2018,Cash,$0.045,04/30/2018,05/18/2018,06/01/2018,USD
03/01/2018,Cash,$0.045,02/14/2018,03/02/2018,03/16/2018,USD
11/16/2017,Cash,$0.09,10/30/2017,11/17/2017,12/01/2017,USD
08/16/2017,Cash,$0.085,07/31/2017,08/18/2017,09/01/2017,USD
05/31/2017,Cash,$0.085,04/28/2017,06/02/2017,06/16/2017,USD
03/01/2017,Cash,$0.075,02/15/2017,03/03/2017,03/17/2017,USD
11/30/2016,Cash,$0.075,10/31/2016,12/02/2016,12/16/2016,USD
08/31/2016,Cash,$0.075,08/01/2016,09/02/2016,09/16/2016,USD
06/01/2016,Cash,$0.075,05/02/2016,06/03/2016,06/17/2016,USD
03/02/2016,Cash,$0.07,02/09/2016,03/04/2016,03/18/2016,USD
12/02/2015,Cash,$0.07,11/02/2015,12/04/2015,12/18/2015,USD
09/02/2015,Cash,$0.07,08/03/2015,09/04/2015,09/18/2015,USD
06/03/2015,Cash,$0.07,05/04/2015,06/05/2015,06/19/2015,USD
