Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
10/15/2025,Cash,$0.87,09/24/2025,10/15/2025,10/31/2025,USD
07/15/2025,Cash,$0.79,05/28/2025,07/15/2025,07/31/2025,USD
04/15/2025,Cash,$0.79,03/26/2025,04/15/2025,04/30/2025,USD
01/15/2025,Cash,$0.79,11/20/2024,01/15/2025,01/31/2025,USD
10/15/2024,Cash,$0.79,09/25/2024,10/15/2024,10/31/2024,USD
07/15/2024,Cash,$0.715,05/29/2024,07/15/2024,07/31/2024,USD
04/12/2024,Cash,$0.715,03/27/2024,04/15/2024,04/30/2024,USD
01/11/2024,Cash,$0.715,11/14/2023,01/15/2024,01/31/2024,USD
10/12/2023,Cash,$0.715,09/27/2023,10/13/2023,10/31/2023,USD
07/13/2023,Cash,$0.65,05/31/2023,07/14/2023,07/31/2023,USD
04/13/2023,Cash,$0.65,03/29/2023,04/14/2023,04/28/2023,USD
01/12/2023,Cash,$0.65,11/15/2022,01/13/2023,01/31/2023,USD
10/13/2022,Cash,$0.65,09/28/2022,10/14/2022,10/31/2022,USD
07/14/2022,Cash,$0.60,05/25/2022,07/15/2022,07/29/2022,USD
04/13/2022,Cash,$0.60,03/30/2022,04/15/2022,04/29/2022,USD
01/13/2022,Cash,$0.60,11/16/2021,01/14/2022,01/31/2022,USD
10/14/2021,Cash,$0.58,09/29/2021,10/15/2021,10/29/2021,USD
07/14/2021,Cash,$0.58,06/30/2021,07/15/2021,07/30/2021,USD
04/14/2021,Cash,$0.58,03/31/2021,04/15/2021,04/30/2021,USD
01/14/2021,Cash,$0.58,12/16/2020,01/15/2021,01/29/2021,USD
10/14/2020,Cash,$0.57,09/30/2020,10/15/2020,10/30/2020,USD
07/14/2020,Cash,$0.57,06/24/2020,07/15/2020,07/31/2020,USD
04/14/2020,Cash,$0.57,03/25/2020,04/15/2020,04/30/2020,USD
01/14/2020,Cash,$0.57,12/18/2019,01/15/2020,01/31/2020,USD
10/11/2019,Cash,$0.57,09/25/2019,10/15/2019,10/31/2019,USD
07/12/2019,Cash,$0.53,06/26/2019,07/15/2019,07/31/2019,USD
04/12/2019,Cash,$0.53,03/27/2019,04/15/2019,04/30/2019,USD
01/14/2019,Cash,$0.53,12/19/2018,01/15/2019,01/31/2019,USD
10/12/2018,Cash,$0.53,09/26/2018,10/15/2018,10/31/2018,USD
07/12/2018,Cash,$0.46,06/27/2018,07/13/2018,07/31/2018,USD
04/12/2018,Cash,$0.46,03/28/2018,04/13/2018,04/30/2018,USD
01/11/2018,Cash,$0.46,12/13/2017,01/15/2018,01/31/2018,USD
10/12/2017,Cash,$0.44,09/27/2017,10/13/2017,10/31/2017,USD
07/12/2017,Cash,$0.44,06/28/2017,07/14/2017,07/31/2017,USD
04/11/2017,Cash,$0.44,03/29/2017,04/14/2017,04/28/2017,USD
01/11/2017,Cash,$0.43,12/14/2016,01/13/2017,01/31/2017,USD
10/12/2016,Cash,$0.43,09/28/2016,10/14/2016,10/31/2016,USD
07/13/2016,Cash,$0.43,06/29/2016,07/15/2016,07/29/2016,USD
04/13/2016,Cash,$0.43,03/30/2016,04/15/2016,04/29/2016,USD
01/13/2016,Cash,$0.42,12/16/2015,01/15/2016,01/29/2016,USD
