Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/05/2025,Cash,$0.438,N/A,12/05/2025,01/06/2026,USD
12/06/2024,Cash,$0.409,N/A,12/06/2024,01/03/2025,USD
11/30/2023,Cash,$0.382,N/A,12/01/2023,01/05/2024,USD
12/01/2022,Cash,$0.714,10/26/2022,12/02/2022,01/06/2023,USD
12/02/2021,Cash,$0.667,10/27/2021,12/03/2021,01/07/2022,USD
12/03/2020,Cash,$0.622,10/28/2020,12/04/2020,01/06/2021,USD
12/05/2019,Cash,$0.581,10/30/2019,12/06/2019,01/03/2020,USD
12/06/2018,Cash,$1.63,10/30/2018,12/07/2018,01/04/2019,USD
11/30/2017,Cash,$1.52,10/26/2017,12/01/2017,01/05/2018,USD
11/30/2016,Cash,$1.32,10/27/2016,12/02/2016,01/06/2017,USD
12/02/2015,Cash,$1.15,10/26/2015,12/04/2015,01/06/2016,USD
12/03/2014,Cash,$1.00,10/27/2014,12/05/2014,01/07/2015,USD
12/04/2013,Cash,$0.87,10/29/2013,12/06/2013,01/06/2014,USD
12/27/2002,Cash,$0.50,N/A,12/27/2002,N/A,USD
12/27/2001,Cash,$0.50,N/A,12/27/2001,N/A,USD
12/27/2000,Cash,$0.50,N/A,12/27/2000,N/A,USD
12/29/1999,Cash,$0.50,N/A,12/29/1999,N/A,USD
12/29/1998,Cash,$0.50,N/A,12/29/1998,N/A,USD
12/29/1997,Cash,$1.00,N/A,12/29/1997,N/A,USD
12/27/1996,Cash,$0.65,N/A,12/27/1996,N/A,USD
12/27/1995,Cash,$0.50,N/A,12/27/1995,N/A,USD
12/23/1994,Cash,$0.50,N/A,12/23/1994,N/A,USD
12/27/1993,Cash,$0.50,N/A,12/27/1993,N/A,USD
