Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/05/2025,Cash,$0.63,11/06/2025,12/05/2025,01/05/2026,USD
09/05/2025,Cash,$0.62,08/07/2025,09/05/2025,10/02/2025,USD
06/06/2025,Cash,$0.62,05/09/2025,06/06/2025,07/01/2025,USD
03/07/2025,Cash,$0.62,02/06/2025,03/07/2025,04/01/2025,USD
12/06/2024,Cash,$0.62,11/07/2024,12/06/2024,01/02/2025,USD
09/06/2024,Cash,$0.62,08/08/2024,09/06/2024,10/01/2024,USD
06/07/2024,Cash,$0.61,05/09/2024,06/07/2024,07/01/2024,USD
02/29/2024,Cash,$0.61,02/07/2024,03/01/2024,04/01/2024,USD
11/30/2023,Cash,$0.61,11/16/2023,12/01/2023,01/02/2024,USD
08/31/2023,Cash,$0.61,08/10/2023,09/01/2023,10/02/2023,USD
06/01/2023,Cash,$0.61,05/04/2023,06/02/2023,07/03/2023,USD
03/02/2023,Cash,$0.61,02/09/2023,03/03/2023,04/03/2023,USD
12/01/2022,Cash,$0.61,11/17/2022,12/02/2022,01/03/2023,USD
09/01/2022,Cash,$0.55,08/04/2022,09/02/2022,10/03/2022,USD
06/02/2022,Cash,$0.55,05/05/2022,06/03/2022,07/01/2022,USD
03/03/2022,Cash,$0.55,02/10/2022,03/04/2022,04/01/2022,USD
12/14/2021,Cash,$0.55,12/09/2021,12/15/2021,01/03/2022,USD
09/02/2021,Cash,$0.51,08/05/2021,09/03/2021,10/01/2021,USD
06/03/2021,Cash,$0.51,05/06/2021,06/04/2021,07/01/2021,USD
03/04/2021,Cash,$0.51,02/04/2021,03/05/2021,04/01/2021,USD
12/11/2020,Cash,$0.51,12/03/2020,12/14/2020,01/04/2021,USD
09/03/2020,Cash,$0.51,08/06/2020,09/04/2020,09/30/2020,USD
06/04/2020,Cash,$0.51,05/07/2020,06/05/2020,06/30/2020,USD
03/05/2020,Cash,$0.51,02/06/2020,03/06/2020,03/27/2020,USD
12/13/2019,Cash,$0.51,12/05/2019,12/16/2019,12/31/2019,USD
09/05/2019,Cash,$0.50,08/08/2019,09/06/2019,09/30/2019,USD
06/06/2019,Cash,$0.50,05/09/2019,06/07/2019,06/28/2019,USD
02/28/2019,Cash,$0.50,02/07/2019,03/01/2019,03/29/2019,USD
12/14/2018,Cash,$0.50,12/06/2018,12/17/2018,12/31/2018,USD
09/06/2018,Cash,$0.46,08/09/2018,09/07/2018,09/28/2018,USD
