Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/22/2025,Cash,$0.87,11/14/2025,12/22/2025,01/15/2026,USD
09/22/2025,Cash,$0.87,08/22/2025,09/22/2025,10/15/2025,USD
06/23/2025,Cash,$0.87,05/03/2025,06/23/2025,07/15/2025,USD
03/24/2025,Cash,$0.87,01/31/2025,03/24/2025,04/15/2025,USD
12/19/2024,Cash,$0.81,11/15/2024,12/19/2024,01/15/2025,USD
09/17/2024,Cash,$0.81,08/23/2024,09/17/2024,10/15/2024,USD
06/18/2024,Cash,$0.81,05/04/2024,06/18/2024,07/15/2024,USD
03/18/2024,Cash,$0.81,01/26/2024,03/19/2024,04/15/2024,USD
12/18/2023,Cash,$0.75,11/17/2023,12/19/2023,01/16/2024,USD
09/15/2023,Cash,$0.75,08/25/2023,09/18/2023,10/16/2023,USD
06/15/2023,Cash,$0.75,05/06/2023,06/16/2023,07/14/2023,USD
03/16/2023,Cash,$0.75,01/27/2023,03/17/2023,04/14/2023,USD
12/15/2022,Cash,$0.69,11/18/2022,12/16/2022,01/13/2023,USD
09/15/2022,Cash,$0.69,08/19/2022,09/16/2022,10/14/2022,USD
06/16/2022,Cash,$0.69,05/09/2022,06/17/2022,07/15/2022,USD
03/17/2022,Cash,$0.69,01/28/2022,03/18/2022,04/15/2022,USD
12/15/2021,Cash,$0.63,11/19/2021,12/16/2021,01/14/2022,USD
09/15/2021,Cash,$0.63,08/20/2021,09/16/2021,10/15/2021,USD
06/16/2021,Cash,$0.63,05/08/2021,06/17/2021,07/15/2021,USD
03/16/2021,Cash,$0.63,01/29/2021,03/17/2021,04/15/2021,USD
12/15/2020,Cash,$0.60,11/13/2020,12/16/2020,01/15/2021,USD
09/15/2020,Cash,$0.60,08/14/2020,09/16/2020,10/15/2020,USD
06/16/2020,Cash,$0.60,05/02/2020,06/17/2020,07/15/2020,USD
03/17/2020,Cash,$0.60,01/31/2020,03/18/2020,04/15/2020,USD
12/18/2019,Cash,$0.56,11/15/2019,12/19/2019,01/15/2020,USD
09/17/2019,Cash,$0.56,08/09/2019,09/18/2019,10/15/2019,USD
06/18/2019,Cash,$0.56,04/27/2019,06/19/2019,07/15/2019,USD
03/19/2019,Cash,$0.56,02/01/2019,03/20/2019,04/15/2019,USD
12/18/2018,Cash,$0.53,11/16/2018,12/19/2018,01/15/2019,USD
09/18/2018,Cash,$0.53,08/10/2018,09/19/2018,10/15/2018,USD
06/19/2018,Cash,$0.53,05/05/2018,06/20/2018,07/16/2018,USD
03/20/2018,Cash,$0.53,01/26/2018,03/21/2018,04/16/2018,USD
12/19/2017,Cash,$0.50,11/17/2017,12/20/2017,01/16/2018,USD
11/30/2017,Cash,$0.50,11/17/2017,12/01/2017,12/15/2017,USD
09/21/2017,Cash,$0.50,08/18/2017,09/22/2017,10/16/2017,USD
