Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/20/2025,Cash,$0.30,10/23/2025,11/20/2025,12/04/2025,USD
08/21/2025,Cash,$0.30,07/24/2025,08/21/2025,09/04/2025,USD
05/22/2025,Cash,$0.30,04/24/2025,05/22/2025,06/05/2025,USD
03/10/2025,Cash,$0.30,01/23/2025,03/10/2025,03/21/2025,USD
11/20/2024,Cash,$0.30,10/24/2024,11/20/2024,12/04/2024,USD
08/15/2024,Cash,$0.30,07/19/2024,08/15/2024,08/29/2024,USD
05/15/2024,Cash,$0.30,04/19/2024,05/16/2024,05/30/2024,USD
03/07/2024,Cash,$0.30,01/26/2024,03/08/2024,03/22/2024,USD
11/15/2023,Cash,$0.30,10/20/2023,11/16/2023,11/30/2023,USD
08/21/2023,Cash,$0.30,07/21/2023,08/22/2023,09/05/2023,USD
05/17/2023,Cash,$0.30,04/21/2023,05/18/2023,06/01/2023,USD
03/09/2023,Cash,$0.30,01/27/2023,03/10/2023,03/21/2023,USD
11/16/2022,Cash,$0.30,10/21/2022,11/17/2022,12/01/2022,USD
08/16/2022,Cash,$0.30,07/21/2022,08/17/2022,08/31/2022,USD
05/18/2022,Cash,$0.30,04/22/2022,05/19/2022,06/02/2022,USD
03/10/2022,Cash,$0.30,01/28/2022,03/11/2022,03/21/2022,USD
11/17/2021,Cash,$0.26,10/22/2021,11/18/2021,12/02/2021,USD
08/11/2021,Cash,$0.26,07/27/2021,08/12/2021,08/26/2021,USD
05/12/2021,Cash,$0.26,04/23/2021,05/13/2021,05/27/2021,USD
03/08/2021,Cash,$0.26,01/29/2021,03/09/2021,03/22/2021,USD
03/09/2020,Cash,$0.26,02/03/2020,03/10/2020,03/23/2020,USD
11/20/2019,Cash,$0.24,10/25/2019,11/21/2019,12/05/2019,USD
08/14/2019,Cash,$0.24,07/19/2019,08/15/2019,08/29/2019,USD
05/15/2019,Cash,$0.24,04/19/2019,05/16/2019,05/30/2019,USD
03/06/2019,Cash,$0.24,01/25/2019,03/07/2019,03/18/2019,USD
11/14/2018,Cash,$0.24,10/19/2018,11/15/2018,11/29/2018,USD
08/15/2018,Cash,$0.22,07/20/2018,08/16/2018,08/30/2018,USD
05/16/2018,Cash,$0.22,04/20/2018,05/17/2018,05/31/2018,USD
03/08/2018,Cash,$0.22,01/26/2018,03/09/2018,03/22/2018,USD
11/15/2017,Cash,$0.19,10/20/2017,11/16/2017,11/30/2017,USD
08/15/2017,Cash,$0.18,07/21/2017,08/17/2017,08/31/2017,USD
05/16/2017,Cash,$0.18,04/21/2017,05/18/2017,06/01/2017,USD
03/07/2017,Cash,$0.18,01/27/2017,03/09/2017,03/22/2017,USD
11/15/2016,Cash,$0.18,10/21/2016,11/17/2016,12/01/2016,USD
08/16/2016,Cash,$0.17,07/22/2016,08/18/2016,09/01/2016,USD
05/17/2016,Cash,$0.17,04/22/2016,05/19/2016,06/02/2016,USD
03/02/2016,Cash,$0.17,01/29/2016,03/04/2016,03/17/2016,USD
11/17/2015,Cash,$0.17,10/23/2015,11/19/2015,12/03/2015,USD
08/18/2015,Cash,$0.15,07/24/2015,08/20/2015,09/03/2015,USD
05/19/2015,Cash,$0.15,04/24/2015,05/21/2015,06/04/2015,USD
03/03/2015,Cash,$0.15,01/30/2015,03/05/2015,03/19/2015,USD
11/18/2014,Cash,$0.15,10/24/2014,11/20/2014,12/04/2014,USD
08/12/2014,Cash,$0.28,07/18/2014,08/14/2014,08/28/2014,USD
05/13/2014,Cash,$0.28,04/18/2014,05/15/2014,05/29/2014,USD
03/05/2014,Cash,$0.28,01/31/2014,03/07/2014,03/18/2014,USD
11/12/2013,Cash,$0.25,10/18/2013,11/14/2013,12/02/2013,USD
08/13/2013,Cash,$0.22,07/19/2013,08/15/2013,08/29/2013,USD
