Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
07/26/2023,Cash,$0.03,07/11/2023,07/27/2023,08/11/2023,USD
01/20/2023,Cash,$0.03,12/13/2022,01/23/2023,02/10/2023,USD
07/26/2022,Cash,$0.03,07/13/2022,07/27/2022,08/11/2022,USD
01/20/2022,Cash,$0.03,12/07/2021,01/21/2022,02/09/2022,USD
07/26/2021,Cash,$0.03,07/13/2021,07/27/2021,08/11/2021,USD
01/21/2021,Cash,$0.03,12/09/2020,01/22/2021,02/09/2021,USD
07/22/2020,Cash,$0.03,07/09/2020,07/23/2020,08/07/2020,USD
01/22/2020,Cash,$0.03,12/10/2019,01/23/2020,02/10/2020,USD
07/22/2019,Cash,$0.03,07/10/2019,07/23/2019,08/07/2019,USD
01/18/2019,Cash,$0.03,12/12/2018,01/22/2019,02/08/2019,USD
07/20/2018,Cash,$0.03,07/11/2018,07/23/2018,08/07/2018,USD
01/22/2018,Cash,$0.03,12/12/2017,01/23/2018,02/09/2018,USD
07/19/2017,Cash,$0.03,07/06/2017,07/21/2017,08/07/2017,USD
01/19/2017,Cash,$0.03,12/14/2016,01/23/2017,02/09/2017,USD
07/20/2016,Cash,$0.03,06/14/2016,07/22/2016,08/05/2016,USD
01/20/2016,Cash,$0.03,12/10/2015,01/22/2016,02/09/2016,USD
07/22/2015,Cash,$0.03,06/23/2015,07/24/2015,08/06/2015,USD
01/21/2015,Cash,$0.03,01/08/2015,01/23/2015,02/09/2015,USD
07/22/2014,Cash,$0.03,07/10/2014,07/24/2014,08/06/2014,USD
01/22/2014,Cash,$0.03,01/08/2014,01/24/2014,02/07/2014,USD
07/22/2013,Cash,$0.03,07/11/2013,07/24/2013,08/06/2013,USD
01/23/2013,Cash,$0.03,01/08/2013,01/25/2013,02/07/2013,USD
07/20/2012,Cash,$0.03,07/11/2012,07/24/2012,08/06/2012,USD
01/23/2012,Cash,$0.03,01/05/2012,01/25/2012,02/07/2012,USD
07/21/2011,Cash,$0.03,07/13/2011,07/25/2011,08/05/2011,USD
01/14/2011,Cash,$0.03,01/06/2011,01/19/2011,02/07/2011,USD
07/16/2010,Cash,$0.03,07/08/2010,07/20/2010,08/05/2010,USD
01/14/2010,Cash,$0.03,01/08/2010,01/19/2010,02/05/2010,USD
07/16/2009,Cash,$0.03,07/09/2009,07/20/2009,08/05/2009,USD
01/14/2009,Cash,$0.03,01/07/2009,01/19/2009,02/05/2009,USD
06/11/2008,Cash,$0.03,05/15/2008,06/13/2008,07/03/2008,USD
12/12/2007,Cash,$0.03,11/30/2007,12/14/2007,01/04/2008,USD
06/11/2007,Cash,$0.03,05/10/2007,06/13/2007,07/05/2007,USD
12/13/2006,Cash,$0.03,11/30/2006,12/15/2006,01/05/2007,USD
06/12/2006,Cash,$0.03,05/11/2006,06/14/2006,07/05/2006,USD
12/14/2005,Cash,$0.03,12/02/2005,12/16/2005,01/05/2006,USD
06/10/2005,Cash,$0.03,05/13/2005,06/14/2005,07/05/2005,USD
12/14/2004,Cash,$0.03,12/02/2004,12/16/2004,01/05/2005,USD
06/13/2001,Cash,$0.05,N/A,06/15/2001,N/A,USD
12/13/2000,Cash,$0.02,N/A,12/15/2000,N/A,USD
09/13/2000,Cash,$0.02,09/06/2000,09/15/2000,10/05/2000,USD
