Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/25/2025,Cash,$0.57,10/29/2025,11/25/2025,12/12/2025,USD
08/26/2025,Cash,$0.49,07/30/2025,08/26/2025,09/12/2025,USD
05/27/2025,Cash,$0.49,04/30/2025,05/27/2025,06/13/2025,USD
03/04/2025,Cash,$0.49,02/19/2025,03/04/2025,03/14/2025,USD
11/26/2024,Cash,$0.49,10/30/2024,11/26/2024,12/13/2024,USD
08/27/2024,Cash,$0.42,07/31/2024,08/27/2024,09/13/2024,USD
05/24/2024,Cash,$0.42,05/01/2024,05/28/2024,06/14/2024,USD
03/11/2024,Cash,$0.42,02/28/2024,03/12/2024,03/22/2024,USD
11/27/2023,Cash,$0.42,11/01/2023,11/28/2023,12/08/2023,USD
08/28/2023,Cash,$0.36,08/02/2023,08/29/2023,09/08/2023,USD
05/26/2023,Cash,$0.36,05/03/2023,05/30/2023,06/09/2023,USD
03/13/2023,Cash,$0.36,03/01/2023,03/14/2023,03/24/2023,USD
11/28/2022,Cash,$0.36,11/02/2022,11/29/2022,12/09/2022,USD
08/29/2022,Cash,$0.31,08/03/2022,08/30/2022,09/09/2022,USD
05/27/2022,Cash,$0.31,05/04/2022,05/31/2022,06/10/2022,USD
03/14/2022,Cash,$0.31,03/02/2022,03/15/2022,03/25/2022,USD
11/29/2021,Cash,$0.31,11/03/2021,11/30/2021,12/10/2021,USD
08/30/2021,Cash,$0.26,08/04/2021,08/31/2021,09/10/2021,USD
05/24/2021,Cash,$0.26,05/05/2021,05/25/2021,06/11/2021,USD
03/15/2021,Cash,$0.26,03/03/2021,03/16/2021,03/26/2021,USD
11/23/2020,Cash,$0.26,10/28/2020,11/24/2020,12/11/2020,USD
08/24/2020,Cash,$0.23,07/29/2020,08/25/2020,09/14/2020,USD
05/22/2020,Cash,$0.23,04/29/2020,05/26/2020,06/12/2020,USD
03/09/2020,Cash,$0.23,02/26/2020,03/10/2020,03/20/2020,USD
11/25/2019,Cash,$0.23,10/30/2019,11/26/2019,12/13/2019,USD
08/26/2019,Cash,$0.20,07/31/2019,08/27/2019,09/13/2019,USD
05/24/2019,Cash,$0.20,05/01/2019,05/28/2019,06/14/2019,USD
03/11/2019,Cash,$0.20,02/27/2019,03/12/2019,03/22/2019,USD
11/26/2018,Cash,$0.20,10/31/2018,11/27/2018,12/21/2018,USD
08/27/2018,Cash,$0.17,08/01/2018,08/28/2018,09/21/2018,USD
05/25/2018,Cash,$0.17,04/25/2018,05/29/2018,06/15/2018,USD
02/26/2018,Cash,$0.17,02/14/2018,02/27/2018,03/16/2018,USD
11/27/2017,Cash,$0.17,10/25/2017,11/28/2017,12/15/2017,USD
08/25/2017,Cash,$0.14,07/26/2017,08/29/2017,09/15/2017,USD
05/24/2017,Cash,$0.14,05/03/2017,05/29/2017,06/16/2017,USD
02/23/2017,Cash,$0.14,02/15/2017,02/27/2017,03/17/2017,USD
11/16/2016,Cash,$0.14,10/26/2016,11/20/2016,12/16/2016,USD
