Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
10/27/2025,Cash,$0.01,N/A,10/27/2025,11/13/2025,USD
07/21/2025,Cash,$0.01,N/A,07/21/2025,08/14/2025,USD
04/22/2025,Cash,$0.01,04/10/2025,04/22/2025,05/15/2025,USD
01/27/2025,Cash,$0.01,01/16/2025,01/27/2025,02/20/2025,USD
10/28/2024,Cash,$0.01,10/16/2024,10/28/2024,11/14/2024,USD
07/22/2024,Cash,$0.01,07/11/2024,07/22/2024,08/15/2024,USD
04/19/2024,Cash,$0.01,04/11/2024,04/22/2024,05/16/2024,USD
01/19/2024,Cash,$0.01,01/11/2024,01/22/2024,02/15/2024,USD
10/20/2023,Cash,$0.01,10/12/2023,10/23/2023,11/16/2023,USD
07/21/2023,Cash,$0.01,07/13/2023,07/24/2023,08/17/2023,USD
04/21/2023,Cash,$0.01,04/13/2023,04/24/2023,05/18/2023,USD
01/20/2023,Cash,$0.01,01/12/2023,01/23/2023,02/16/2023,USD
10/21/2022,Cash,$0.01,10/13/2022,10/24/2022,11/17/2022,USD
07/22/2022,Cash,$0.01,07/14/2022,07/25/2022,08/18/2022,USD
04/22/2022,Cash,$0.01,04/14/2022,04/25/2022,05/19/2022,USD
01/21/2022,Cash,$0.01,01/13/2022,01/24/2022,02/17/2022,USD
10/22/2021,Cash,$0.01,10/14/2021,10/25/2021,11/18/2021,USD
07/23/2021,Cash,$0.01,07/15/2021,07/26/2021,08/19/2021,USD
04/23/2021,Cash,$0.01,04/15/2021,04/26/2021,05/20/2021,USD
01/22/2021,Cash,$0.01,N/A,01/25/2021,02/18/2021,USD
10/23/2020,Cash,$0.01,10/15/2020,10/26/2020,11/19/2020,USD
07/24/2020,Cash,$0.01,N/A,07/27/2020,08/20/2020,USD
04/09/2020,Cash,$0.01,N/A,04/13/2020,05/21/2020,USD
01/24/2020,Cash,$0.15,01/16/2020,01/27/2020,02/20/2020,USD
10/25/2019,Cash,$0.15,10/17/2019,10/28/2019,11/14/2019,USD
07/26/2019,Cash,$0.15,07/18/2019,07/29/2019,08/15/2019,USD
04/26/2019,Cash,$0.15,04/18/2019,04/29/2019,05/16/2019,USD
01/25/2019,Cash,$0.39,01/18/2019,01/28/2019,02/21/2019,USD
10/26/2018,Cash,$0.39,10/18/2018,10/29/2018,11/15/2018,USD
07/27/2018,Cash,$0.39,07/19/2018,07/30/2018,08/16/2018,USD
04/27/2018,Cash,$0.39,04/19/2018,04/30/2018,05/17/2018,USD
01/26/2018,Cash,$0.39,01/19/2018,01/29/2018,02/22/2018,USD
10/20/2017,Cash,$0.39,10/12/2017,10/23/2017,11/16/2017,USD
07/20/2017,Cash,$0.39,07/12/2017,07/24/2017,08/17/2017,USD
04/19/2017,Cash,$0.39,04/11/2017,04/21/2017,05/18/2017,USD
01/19/2017,Cash,$0.39,01/13/2017,01/23/2017,02/21/2017,USD
10/19/2016,Cash,$0.39,10/11/2016,10/21/2016,11/17/2016,USD
07/20/2016,Cash,$0.39,07/12/2016,07/22/2016,08/18/2016,USD
04/21/2016,Cash,$0.39,04/13/2016,04/25/2016,05/19/2016,USD
01/20/2016,Cash,$0.39,01/11/2016,01/22/2016,02/23/2016,USD
10/21/2015,Cash,$0.39,10/13/2015,10/23/2015,11/19/2015,USD
07/22/2015,Cash,$0.39,07/13/2015,07/24/2015,08/20/2015,USD
04/22/2015,Cash,$0.39,04/13/2015,04/24/2015,05/21/2015,USD
01/21/2015,Cash,$0.39,01/12/2015,01/23/2015,02/24/2015,USD
10/15/2014,Cash,$0.39,10/02/2014,10/17/2014,11/21/2014,USD
07/16/2014,Cash,$0.39,07/07/2014,07/18/2014,08/21/2014,USD
04/10/2014,Cash,$0.39,04/02/2014,04/14/2014,05/21/2014,USD
01/09/2014,Cash,$0.39,01/03/2014,01/13/2014,02/21/2014,USD
10/15/2013,Cash,$0.39,10/03/2013,10/17/2013,11/21/2013,USD
07/15/2013,Cash,$0.39,07/03/2013,07/17/2013,08/21/2013,USD
04/15/2013,Cash,$0.39,04/02/2013,04/17/2013,05/21/2013,USD
01/17/2013,Cash,$0.39,01/10/2013,01/22/2013,02/20/2013,USD
10/18/2012,Cash,$0.39,10/09/2012,10/22/2012,11/20/2012,USD
07/24/2012,Cash,$0.38,07/09/2012,07/26/2012,08/24/2012,USD
04/11/2012,Cash,$0.38,04/03/2012,04/13/2012,05/10/2012,USD
01/12/2012,Cash,$0.38,01/04/2012,01/17/2012,02/10/2012,USD
10/17/2011,Cash,$0.38,10/04/2011,10/19/2011,11/11/2011,USD
07/07/2011,Cash,$0.37,07/01/2011,07/11/2011,08/12/2011,USD
04/13/2011,Cash,$0.37,04/04/2011,04/15/2011,05/12/2011,USD
01/12/2011,Cash,$0.37,01/04/2011,01/14/2011,02/11/2011,USD
10/13/2010,Cash,$0.37,10/04/2010,10/15/2010,11/12/2010,USD
07/13/2010,Cash,$0.36,07/02/2010,07/15/2010,08/13/2010,USD
04/13/2010,Cash,$0.36,04/01/2010,04/15/2010,05/14/2010,USD
01/14/2010,Cash,$0.36,01/07/2010,01/19/2010,02/16/2010,USD
10/13/2009,Cash,$0.36,10/05/2009,10/15/2009,11/17/2009,USD
07/08/2009,Cash,$0.36,07/01/2009,07/10/2009,08/14/2009,USD
04/15/2009,Cash,$0.35,04/07/2009,04/17/2009,05/15/2009,USD
01/20/2009,Cash,$0.35,01/07/2009,01/22/2009,02/13/2009,USD
10/15/2008,Cash,$0.35,10/01/2008,10/17/2008,11/14/2008,USD
07/16/2008,Cash,$0.35,07/08/2008,07/18/2008,08/14/2008,USD
04/16/2008,Cash,$0.35,04/03/2008,04/18/2008,05/15/2008,USD
01/17/2008,Cash,$0.35,01/09/2008,01/22/2008,02/15/2008,USD
10/18/2007,Cash,$0.35,10/11/2007,10/22/2007,11/15/2007,USD
07/17/2007,Cash,$0.34,07/05/2007,07/19/2007,08/16/2007,USD
04/17/2007,Cash,$0.34,04/03/2007,04/19/2007,05/16/2007,USD
01/17/2007,Cash,$0.34,01/03/2007,01/19/2007,02/16/2007,USD
10/18/2006,Cash,$0.33,10/06/2006,10/20/2006,11/17/2006,USD
07/18/2006,Cash,$0.33,07/06/2006,07/20/2006,08/18/2006,USD
04/18/2006,Cash,$0.32,04/04/2006,04/20/2006,05/18/2006,USD
01/18/2006,Cash,$0.32,01/09/2006,01/20/2006,02/21/2006,USD
10/18/2005,Cash,$0.32,10/06/2005,10/20/2005,11/18/2005,USD
07/18/2005,Cash,$0.32,07/05/2005,07/20/2005,08/19/2005,USD
04/18/2005,Cash,$0.32,04/04/2005,04/20/2005,05/20/2005,USD
01/19/2005,Cash,$0.32,01/06/2005,01/21/2005,02/22/2005,USD
10/19/2004,Cash,$0.32,10/04/2004,10/21/2004,11/22/2004,USD
07/16/2004,Cash,$0.31,07/01/2004,07/20/2004,08/20/2004,USD
07/19/2001,Cash,$0.30,N/A,07/19/2001,N/A,USD
04/17/2001,Cash,$0.30,N/A,04/19/2001,N/A,USD
12/27/2000,Cash,$0.30,N/A,12/29/2000,N/A,USD
10/23/2000,Cash,$0.30,10/05/2000,10/25/2000,11/21/2000,USD
