Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/14/2025,Cash,$0.390625,N/A,11/15/2025,12/01/2025,USD
02/14/2025,Cash,$0.390625,N/A,02/15/2025,03/01/2025,USD
11/15/2024,Cash,$0.390625,N/A,11/15/2024,12/01/2024,USD
08/15/2024,Cash,$0.390625,N/A,08/15/2024,09/01/2024,USD
02/14/2024,Cash,$0.390625,N/A,02/15/2024,03/01/2024,USD
11/14/2023,Cash,$0.390625,N/A,11/15/2023,12/01/2023,USD
08/14/2023,Cash,$0.390625,N/A,08/15/2023,09/01/2023,USD
05/12/2023,Cash,$0.390625,N/A,05/15/2023,06/01/2023,USD
02/14/2023,Cash,$0.390625,N/A,02/15/2023,03/01/2023,USD
11/14/2022,Cash,$0.390625,N/A,11/15/2022,12/01/2022,USD
08/12/2022,Cash,$0.390625,N/A,08/15/2022,09/01/2022,USD
05/12/2022,Cash,$0.390625,N/A,05/15/2022,06/01/2022,USD
02/14/2022,Cash,$0.390625,N/A,02/15/2022,03/01/2022,USD
11/12/2021,Cash,$0.390625,N/A,11/15/2021,12/01/2021,USD
08/12/2021,Cash,$0.390625,N/A,08/15/2021,09/01/2021,USD
05/13/2021,Cash,$0.390625,N/A,05/15/2021,06/01/2021,USD
02/11/2021,Cash,$0.390625,N/A,02/15/2021,03/01/2021,USD
11/12/2020,Cash,$0.390625,N/A,11/15/2020,12/01/2020,USD
08/13/2020,Cash,$0.390625,N/A,08/15/2020,09/01/2020,USD
05/14/2020,Cash,$0.390625,N/A,05/15/2020,06/01/2020,USD
02/13/2020,Cash,$0.390625,N/A,02/15/2020,03/02/2020,USD
11/14/2019,Cash,$0.390625,N/A,11/15/2019,12/02/2019,USD
08/14/2019,Cash,$0.390625,N/A,08/15/2019,09/03/2019,USD
05/14/2019,Cash,$0.390625,N/A,05/15/2019,06/03/2019,USD
02/14/2019,Cash,$0.390625,N/A,02/15/2019,03/01/2019,USD
11/14/2018,Cash,$0.390625,N/A,11/15/2018,12/03/2018,USD
08/14/2018,Cash,$0.390625,N/A,08/15/2018,09/04/2018,USD
05/14/2018,Cash,$0.390625,N/A,05/15/2018,06/01/2018,USD
02/14/2018,Cash,$0.390625,N/A,02/15/2018,03/01/2018,USD
11/14/2017,Cash,$0.390625,N/A,11/15/2017,12/01/2017,USD
08/11/2017,Cash,$0.390625,N/A,08/15/2017,09/01/2017,USD
05/11/2017,Cash,$0.390625,N/A,05/15/2017,06/01/2017,USD
02/13/2017,Cash,$0.390625,N/A,02/15/2017,03/01/2017,USD
11/10/2016,Cash,$0.390625,N/A,11/15/2016,12/01/2016,USD
05/11/2016,Cash,$0.442708,N/A,05/13/2016,06/01/2016,USD
N/A,Cash,$0.390625,N/A,08/15/2016,09/01/2016,USD
N/A,Cash,$0.390625,N/A,05/15/2024,06/01/2024,USD
