Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
09/30/2025,Cash,$0.08,08/07/2025,09/30/2025,10/14/2025,USD
06/30/2025,Cash,$0.08,04/29/2025,06/30/2025,07/11/2025,USD
03/28/2025,Cash,$0.08,02/25/2025,03/28/2025,04/11/2025,USD
12/31/2024,Cash,$0.23,12/09/2024,12/31/2024,01/14/2025,USD
09/30/2024,Cash,$0.03,09/03/2024,09/30/2024,10/11/2024,USD
06/28/2024,Cash,$0.03,06/03/2024,06/28/2024,07/12/2024,USD
03/27/2024,Cash,$0.03,03/04/2024,03/29/2024,04/12/2024,USD
12/28/2023,Cash,$0.03,12/01/2023,12/29/2023,01/11/2024,USD
09/28/2023,Cash,$0.03,09/06/2023,09/29/2023,10/12/2023,USD
06/29/2023,Cash,$0.03,06/01/2023,06/30/2023,07/12/2023,USD
03/30/2023,Cash,$0.03,03/01/2023,03/31/2023,04/12/2023,USD
12/29/2022,Cash,$0.06,12/06/2022,12/30/2022,01/12/2023,USD
09/29/2022,Cash,$0.03,08/02/2022,09/30/2022,10/12/2022,USD
12/31/2019,Cash,$0.125,12/16/2019,01/02/2020,01/13/2020,USD
09/27/2019,Cash,$0.125,09/16/2019,09/30/2019,10/11/2019,USD
06/27/2019,Cash,$0.125,05/07/2019,06/28/2019,07/12/2019,USD
03/28/2019,Cash,$0.125,03/15/2019,03/29/2019,04/12/2019,USD
01/03/2019,Cash,$0.125,12/20/2018,01/04/2019,01/14/2019,USD
09/27/2018,Cash,$0.125,08/01/2018,09/28/2018,10/12/2018,USD
06/28/2018,Cash,$0.125,05/02/2018,06/29/2018,07/12/2018,USD
03/28/2018,Cash,$0.125,02/20/2018,03/29/2018,04/12/2018,USD
12/28/2017,Cash,$0.125,11/02/2017,12/29/2017,01/12/2018,USD
09/28/2017,Cash,$0.125,08/02/2017,09/29/2017,10/12/2017,USD
06/28/2017,Cash,$0.125,05/02/2017,06/30/2017,07/12/2017,USD
03/29/2017,Cash,$0.125,02/16/2017,03/31/2017,04/12/2017,USD
12/28/2016,Cash,$0.125,11/02/2016,12/30/2016,01/12/2017,USD
09/28/2016,Cash,$0.125,08/03/2016,09/30/2016,10/12/2016,USD
06/28/2016,Cash,$0.125,05/04/2016,06/30/2016,07/12/2016,USD
03/29/2016,Cash,$0.125,02/17/2016,03/31/2016,04/12/2016,USD
12/29/2015,Cash,$0.125,11/04/2015,12/31/2015,01/12/2016,USD
09/28/2015,Cash,$0.125,08/05/2015,09/30/2015,10/13/2015,USD
06/26/2015,Cash,$0.125,05/06/2015,06/30/2015,07/14/2015,USD
03/27/2015,Cash,$0.125,02/18/2015,03/31/2015,04/10/2015,USD
12/29/2014,Cash,$0.1025,11/03/2014,12/31/2014,01/12/2015,USD
09/26/2014,Cash,$0.1025,08/06/2014,09/30/2014,10/10/2014,USD
06/26/2014,Cash,$0.1025,05/06/2014,06/30/2014,07/10/2014,USD
03/27/2014,Cash,$0.1025,02/19/2014,03/31/2014,04/10/2014,USD
12/27/2013,Cash,$0.085,12/17/2013,12/31/2013,01/10/2014,USD
09/26/2013,Cash,$0.085,08/05/2013,09/30/2013,10/10/2013,USD
06/26/2013,Cash,$0.085,05/08/2013,06/28/2013,07/11/2013,USD
03/26/2013,Cash,$0.085,02/20/2013,03/31/2013,04/12/2013,USD
12/27/2012,Cash,$0.08,12/18/2012,12/31/2012,01/10/2013,USD
09/05/2012,Cash,$0.08,08/20/2012,09/07/2012,09/19/2012,USD
05/11/2012,Cash,$0.08,05/04/2012,05/15/2012,05/29/2012,USD
03/21/2012,Cash,$0.08,02/22/2012,03/23/2012,04/04/2012,USD
12/28/2011,Cash,$0.08,12/15/2011,12/30/2011,01/10/2012,USD
09/07/2011,Cash,$0.08,08/22/2011,09/09/2011,09/20/2011,USD
06/15/2011,Cash,$0.08,05/31/2011,06/17/2011,06/27/2011,USD
03/23/2011,Cash,$0.08,02/24/2011,03/25/2011,04/07/2011,USD
12/23/2009,Cash,$0.33,12/15/2009,12/28/2009,01/29/2010,USD
09/03/2008,Cash,$0.25,08/19/2008,09/05/2008,09/16/2008,USD
06/11/2008,Cash,$0.25,05/27/2008,06/13/2008,06/24/2008,USD
03/18/2008,Cash,$0.25,02/28/2008,03/21/2008,04/01/2008,USD
12/27/2007,Cash,$0.24,12/12/2007,12/31/2007,01/10/2008,USD
09/05/2007,Cash,$0.24,08/29/2007,09/07/2007,09/18/2007,USD
06/13/2007,Cash,$0.24,06/05/2007,06/15/2007,06/22/2007,USD
03/21/2007,Cash,$0.24,02/22/2007,03/23/2007,04/02/2007,USD
12/19/2006,Cash,$0.18,12/12/2006,12/21/2006,01/04/2007,USD
09/06/2006,Cash,$0.18,08/23/2006,09/08/2006,09/19/2006,USD
06/14/2006,Cash,$0.18,06/01/2006,06/16/2006,06/22/2006,USD
03/22/2006,Cash,$0.18,02/28/2006,03/24/2006,04/11/2006,USD
12/28/2005,Cash,$0.1725,12/15/2005,12/30/2005,01/17/2006,USD
06/15/2005,Cash,$0.0326,06/07/2005,06/17/2005,06/28/2005,USD
