Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
04/02/2003,Cash,$0.16,N/A,04/02/2003,N/A,USD
12/31/2002,Cash,$0.16,N/A,12/31/2002,N/A,USD
10/02/2002,Cash,$0.16,N/A,10/02/2002,N/A,USD
07/01/2002,Cash,$0.16,N/A,07/01/2002,N/A,USD
04/03/2002,Cash,$0.16,N/A,04/03/2002,N/A,USD
12/31/2001,Cash,$0.16,N/A,12/31/2001,N/A,USD
10/02/2001,Cash,$0.16,N/A,10/02/2001,N/A,USD
06/29/2001,Cash,$0.16,N/A,06/29/2001,N/A,USD
04/03/2001,Cash,$0.16,N/A,04/03/2001,N/A,USD
01/03/2001,Cash,$0.15,N/A,01/03/2001,N/A,USD
09/28/2000,Cash,$0.15,N/A,09/28/2000,N/A,USD
06/29/2000,Cash,$0.15,N/A,06/29/2000,N/A,USD
04/03/2000,Cash,$0.15,N/A,04/03/2000,N/A,USD
01/03/2000,Cash,$0.15,N/A,01/03/2000,N/A,USD
09/29/1999,Cash,$0.14,N/A,09/29/1999,N/A,USD
06/30/1999,Cash,$0.14,N/A,06/30/1999,N/A,USD
03/31/1999,Cash,$0.14,N/A,03/31/1999,N/A,USD
12/31/1998,Cash,$0.14,N/A,12/31/1998,N/A,USD
09/29/1998,Cash,$0.14,N/A,09/29/1998,N/A,USD
06/30/1998,Cash,$0.14,N/A,06/30/1998,N/A,USD
04/01/1998,Cash,$0.14,N/A,04/01/1998,N/A,USD
12/30/1997,Cash,$0.14,N/A,12/30/1997,N/A,USD
09/26/1997,Cash,$0.14,N/A,09/26/1997,N/A,USD
07/01/1997,Cash,$0.13,N/A,07/01/1997,N/A,USD
04/02/1997,Cash,$0.13,N/A,04/02/1997,N/A,USD
12/31/1996,Cash,$0.13,N/A,12/31/1996,N/A,USD
09/26/1996,Cash,$0.13,N/A,09/26/1996,N/A,USD
07/02/1996,Cash,$0.13,N/A,07/02/1996,N/A,USD
04/02/1996,Cash,$0.13,N/A,04/02/1996,N/A,USD
12/29/1995,Cash,$0.13,N/A,12/29/1995,N/A,USD
09/27/1995,Cash,$0.13,N/A,09/27/1995,N/A,USD
09/18/1995,Cash,$0.13,N/A,09/18/1995,N/A,USD
06/30/1995,Cash,$0.13,N/A,06/30/1995,N/A,USD
03/30/1995,Cash,$0.12,N/A,03/30/1995,N/A,USD
12/27/1994,Cash,$0.12,N/A,12/27/1994,N/A,USD
09/26/1994,Cash,$0.12,N/A,09/26/1994,N/A,USD
06/27/1994,Cash,$0.12,N/A,06/27/1994,N/A,USD
03/29/1994,Cash,$0.12,N/A,03/29/1994,N/A,USD
12/29/1993,Cash,$0.12,N/A,12/29/1993,N/A,USD
09/24/1993,Cash,$0.12,N/A,09/24/1993,N/A,USD
06/28/1993,Cash,$0.10,N/A,06/28/1993,N/A,USD
03/30/1993,Cash,$0.10,N/A,03/30/1993,N/A,USD
12/28/1992,Cash,$0.10,N/A,12/28/1992,N/A,USD
09/23/1992,Cash,$0.10,N/A,09/23/1992,N/A,USD
08/17/1992,Cash,$0.18,N/A,08/17/1992,N/A,USD
06/26/1992,Cash,$0.10,N/A,06/26/1992,N/A,USD
03/30/1992,Cash,$0.10,N/A,03/30/1992,N/A,USD
12/27/1991,Cash,$0.10,N/A,12/27/1991,N/A,USD
09/23/1991,Cash,$0.10,N/A,09/23/1991,N/A,USD
06/28/1991,Cash,$0.10,N/A,06/28/1991,N/A,USD
04/01/1991,Cash,$0.10,N/A,04/01/1991,N/A,USD
12/28/1990,Cash,$0.10,N/A,12/28/1990,N/A,USD
09/21/1990,Cash,$0.09,N/A,09/21/1990,N/A,USD
06/28/1990,Cash,$0.09,N/A,06/28/1990,N/A,USD
03/28/1990,Cash,$0.09,N/A,03/28/1990,N/A,USD
12/28/1989,Cash,$0.09,N/A,12/28/1989,N/A,USD
09/20/1989,Cash,$0.08,N/A,09/20/1989,N/A,USD
06/28/1989,Cash,$0.08,N/A,06/28/1989,N/A,USD
03/29/1989,Cash,$0.08,N/A,03/29/1989,N/A,USD
12/27/1988,Cash,$0.08,N/A,12/27/1988,N/A,USD
