Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/10/2025,Cash,$0.40,10/29/2025,11/10/2025,12/15/2025,USD
08/11/2025,Cash,$0.40,07/29/2025,08/11/2025,09/15/2025,USD
05/12/2025,Cash,$0.40,04/29/2025,05/12/2025,06/13/2025,USD
02/24/2025,Cash,$0.40,02/12/2025,02/24/2025,03/14/2025,USD
11/08/2024,Cash,$0.38,10/29/2024,11/11/2024,12/13/2024,USD
08/12/2024,Cash,$0.38,07/30/2024,08/12/2024,09/13/2024,USD
05/10/2024,Cash,$0.38,04/30/2024,05/13/2024,06/14/2024,USD
03/01/2024,Cash,$0.38,02/20/2024,03/04/2024,03/15/2024,USD
11/14/2023,Cash,$0.36,11/01/2023,11/15/2023,12/08/2023,USD
08/14/2023,Cash,$0.36,07/25/2023,08/15/2023,09/08/2023,USD
05/12/2023,Cash,$0.36,04/25/2023,05/15/2023,06/09/2023,USD
02/24/2023,Cash,$0.36,02/14/2023,02/27/2023,03/10/2023,USD
11/14/2022,Cash,$0.3375,10/28/2022,11/15/2022,12/09/2022,USD
08/12/2022,Cash,$0.3375,07/26/2022,08/15/2022,09/09/2022,USD
05/12/2022,Cash,$0.3375,04/26/2022,05/13/2022,06/10/2022,USD
02/24/2022,Cash,$0.3375,02/08/2022,02/25/2022,03/10/2022,USD
11/12/2021,Cash,$0.3825,10/29/2021,11/15/2021,12/10/2021,USD
08/12/2021,Cash,$0.3825,07/27/2021,08/13/2021,09/10/2021,USD
05/13/2021,Cash,$0.3825,04/27/2021,05/14/2021,06/10/2021,USD
03/05/2021,Cash,$0.3825,02/21/2021,03/08/2021,03/15/2021,USD
11/13/2020,Cash,$0.3825,11/02/2020,11/16/2020,12/10/2020,USD
08/13/2020,Cash,$0.3825,07/28/2020,08/14/2020,09/10/2020,USD
05/14/2020,Cash,$0.3825,04/28/2020,05/15/2020,06/10/2020,USD
02/19/2020,Cash,$0.3825,01/28/2020,02/20/2020,03/10/2020,USD
11/14/2019,Cash,$0.3625,11/01/2019,11/15/2019,12/10/2019,USD
08/14/2019,Cash,$0.3625,07/30/2019,08/15/2019,09/10/2019,USD
05/14/2019,Cash,$0.3625,04/30/2019,05/15/2019,06/10/2019,USD
02/19/2019,Cash,$0.3625,02/05/2019,02/20/2019,03/08/2019,USD
11/14/2018,Cash,$0.345,09/24/2018,11/15/2018,12/10/2018,USD
08/14/2018,Cash,$0.345,07/24/2018,08/15/2018,09/10/2018,USD
05/14/2018,Cash,$0.345,05/01/2018,05/15/2018,06/08/2018,USD
02/14/2018,Cash,$0.345,01/30/2018,02/15/2018,03/09/2018,USD
11/14/2017,Cash,$0.3275,09/25/2017,11/15/2017,12/08/2017,USD
08/11/2017,Cash,$0.3275,07/25/2017,08/15/2017,09/08/2017,USD
05/11/2017,Cash,$0.3275,04/25/2017,05/15/2017,06/09/2017,USD
02/13/2017,Cash,$0.3275,01/31/2017,02/15/2017,03/10/2017,USD
11/10/2016,Cash,$0.318,10/25/2016,11/15/2016,12/09/2016,USD
08/11/2016,Cash,$0.318,07/26/2016,08/15/2016,09/09/2016,USD
05/11/2016,Cash,$0.318,04/26/2016,05/13/2016,06/10/2016,USD
02/10/2016,Cash,$0.31,01/26/2016,02/12/2016,03/10/2016,USD
11/10/2015,Cash,$0.31,10/27/2015,11/13/2015,12/10/2015,USD
08/12/2015,Cash,$0.31,07/28/2015,08/14/2015,09/10/2015,USD
05/13/2015,Cash,$0.31,04/28/2015,05/15/2015,06/10/2015,USD
02/11/2015,Cash,$0.31,01/27/2015,02/13/2015,03/10/2015,USD
11/12/2014,Cash,$0.31,10/21/2014,11/14/2014,12/10/2014,USD
08/13/2014,Cash,$0.31,07/29/2014,08/15/2014,09/10/2014,USD
05/14/2014,Cash,$0.31,05/06/2014,05/16/2014,06/10/2014,USD
02/12/2014,Cash,$0.31,01/28/2014,02/14/2014,03/10/2014,USD
11/13/2013,Cash,$0.31,10/22/2013,11/15/2013,12/10/2013,USD
08/13/2013,Cash,$0.31,07/23/2013,08/15/2013,09/10/2013,USD
05/13/2013,Cash,$0.31,04/24/2013,05/15/2013,06/10/2013,USD
02/14/2013,Cash,$0.525,02/06/2013,02/19/2013,03/08/2013,USD
11/13/2012,Cash,$0.525,10/22/2012,11/15/2012,12/10/2012,USD
08/13/2012,Cash,$0.525,07/25/2012,08/15/2012,09/10/2012,USD
05/11/2012,Cash,$0.37925,03/12/2012,05/15/2012,06/08/2012,USD
03/13/2012,Cash,$0.14575,02/28/2012,03/09/2012,04/11/2012,USD
02/13/2012,Cash,$0.525,01/24/2012,02/15/2012,03/09/2012,USD
11/10/2011,Cash,$0.525,10/25/2011,11/15/2011,12/09/2011,USD
08/11/2011,Cash,$0.525,07/26/2011,08/15/2011,09/09/2011,USD
05/12/2011,Cash,$0.525,05/03/2011,05/16/2011,06/10/2011,USD
02/11/2011,Cash,$0.525,01/25/2011,02/15/2011,03/10/2011,USD
11/10/2010,Cash,$0.525,10/26/2010,11/15/2010,12/10/2010,USD
08/12/2010,Cash,$0.525,07/27/2010,08/16/2010,09/10/2010,USD
05/12/2010,Cash,$0.525,04/27/2010,05/14/2010,06/10/2010,USD
02/11/2010,Cash,$0.525,01/26/2010,02/16/2010,03/10/2010,USD
11/10/2009,Cash,$0.525,10/27/2009,11/13/2009,12/10/2009,USD
08/12/2009,Cash,$0.525,07/28/2009,08/14/2009,09/10/2009,USD
05/13/2009,Cash,$0.525,04/29/2009,05/15/2009,06/10/2009,USD
02/11/2009,Cash,$0.525,01/27/2009,02/13/2009,03/10/2009,USD
11/12/2008,Cash,$0.525,10/23/2008,11/14/2008,12/10/2008,USD
08/13/2008,Cash,$0.50,07/29/2008,08/15/2008,09/10/2008,USD
05/13/2008,Cash,$0.50,04/30/2008,05/15/2008,06/10/2008,USD
