Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/17/2025,Cash,$0.05,10/24/2025,11/17/2025,12/01/2025,USD
08/15/2025,Cash,$0.05,07/24/2025,08/15/2025,08/29/2025,USD
05/19/2025,Cash,$0.05,05/05/2025,05/19/2025,06/04/2025,USD
03/04/2025,Cash,$0.05,02/14/2025,03/04/2025,03/19/2025,USD
11/18/2024,Cash,$0.05,11/04/2024,11/18/2024,12/02/2024,USD
08/14/2024,Cash,$0.05,07/26/2024,08/14/2024,08/30/2024,USD
05/10/2024,Cash,$0.05,04/24/2024,05/13/2024,05/27/2024,USD
03/07/2024,Cash,$0.05,02/14/2024,03/08/2024,03/29/2024,USD
11/15/2023,Cash,$0.05,10/25/2023,11/16/2023,11/30/2023,USD
08/17/2023,Cash,$0.05,07/28/2023,08/18/2023,09/04/2023,USD
05/11/2023,Cash,$0.045,04/27/2023,05/12/2023,05/31/2023,USD
03/10/2023,Cash,$0.045,02/09/2023,03/13/2023,03/31/2023,USD
11/10/2022,Cash,$0.045,10/27/2022,11/14/2022,11/28/2022,USD
08/11/2022,Cash,$0.045,07/29/2022,08/12/2022,08/29/2022,USD
05/13/2022,Cash,$0.04,04/29/2022,05/16/2022,05/31/2022,USD
03/10/2022,Cash,$0.04,02/17/2022,03/11/2022,03/31/2022,USD
11/12/2021,Cash,$0.04,10/26/2021,11/15/2021,11/29/2021,USD
08/13/2021,Cash,$0.04,08/04/2021,08/16/2021,08/30/2021,USD
