Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/28/2025,Cash,$2.10,10/21/2025,11/28/2025,12/15/2025,USD
08/29/2025,Cash,$1.95,07/22/2025,08/29/2025,09/15/2025,USD
05/30/2025,Cash,$1.95,04/22/2025,05/30/2025,06/16/2025,USD
02/28/2025,Cash,$1.95,01/14/2025,02/28/2025,03/17/2025,USD
11/29/2024,Cash,$1.95,10/22/2024,11/29/2024,12/16/2024,USD
08/30/2024,Cash,$1.64,07/23/2024,08/30/2024,09/16/2024,USD
05/31/2024,Cash,$1.64,04/16/2024,05/31/2024,06/17/2024,USD
02/28/2024,Cash,$1.64,01/24/2024,02/29/2024,03/15/2024,USD
11/29/2023,Cash,$1.64,10/24/2023,11/30/2023,12/15/2023,USD
08/30/2023,Cash,$0.75,07/25/2023,08/31/2023,09/15/2023,USD
05/30/2023,Cash,$0.75,04/25/2023,05/31/2023,06/15/2023,USD
02/27/2023,Cash,$0.75,01/24/2023,02/28/2023,03/15/2023,USD
11/29/2022,Cash,$0.75,10/25/2022,11/30/2022,12/15/2022,USD
08/30/2022,Cash,$0.47,07/26/2022,08/31/2022,09/15/2022,USD
05/27/2022,Cash,$0.47,04/26/2022,05/31/2022,06/15/2022,USD
02/25/2022,Cash,$0.47,01/25/2022,02/28/2022,03/15/2022,USD
11/09/2021,Cash,$0.47,10/26/2021,11/10/2021,11/30/2021,USD
07/29/2021,Cash,$0.47,07/19/2021,07/30/2021,08/16/2021,USD
05/13/2021,Cash,$0.47,04/27/2021,05/14/2021,05/28/2021,USD
03/12/2021,Cash,$0.47,01/26/2021,03/15/2021,04/05/2021,USD
12/11/2020,Cash,$0.47,10/27/2020,12/14/2020,01/04/2021,USD
09/11/2020,Cash,$0.40,07/28/2020,09/14/2020,10/05/2020,USD
06/12/2020,Cash,$0.40,04/28/2020,06/15/2020,07/06/2020,USD
03/13/2020,Cash,$0.40,01/28/2020,03/16/2020,04/06/2020,USD
12/13/2019,Cash,$0.40,10/29/2019,12/16/2019,01/06/2020,USD
09/13/2019,Cash,$0.40,07/30/2019,09/16/2019,10/07/2019,USD
06/14/2019,Cash,$0.40,04/30/2019,06/17/2019,07/01/2019,USD
03/15/2019,Cash,$0.40,01/29/2019,03/18/2019,04/01/2019,USD
12/14/2018,Cash,$0.40,10/23/2018,12/17/2018,01/07/2019,USD
09/14/2018,Cash,$0.35,07/24/2018,09/17/2018,10/01/2018,USD
06/15/2018,Cash,$0.35,04/24/2018,06/18/2018,07/02/2018,USD
03/16/2018,Cash,$0.35,01/30/2018,03/19/2018,04/02/2018,USD
12/15/2017,Cash,$0.35,10/24/2017,12/18/2017,01/02/2018,USD
09/15/2017,Cash,$0.30,07/25/2017,09/18/2017,10/02/2017,USD
06/23/2017,Cash,$0.30,04/26/2017,06/27/2017,07/05/2017,USD
03/16/2017,Cash,$0.30,01/24/2017,03/20/2017,04/04/2017,USD
12/15/2016,Cash,$0.30,10/26/2016,12/19/2016,01/03/2017,USD
09/15/2016,Cash,$0.30,07/26/2016,09/19/2016,10/03/2016,USD
06/16/2016,Cash,$0.30,04/26/2016,06/20/2016,07/05/2016,USD
03/17/2016,Cash,$0.30,01/26/2016,03/21/2016,04/04/2016,USD
12/17/2015,Cash,$0.30,10/28/2015,12/21/2015,01/04/2016,USD
09/10/2015,Cash,$0.30,07/28/2015,09/14/2015,10/05/2015,USD
06/11/2015,Cash,$0.30,04/28/2015,06/15/2015,07/06/2015,USD
03/12/2015,Cash,$0.30,01/27/2015,03/16/2015,04/06/2015,USD
12/11/2014,Cash,$0.30,N/A,12/15/2014,01/05/2015,USD
09/11/2014,Cash,$0.30,07/29/2014,09/15/2014,10/06/2014,USD
06/12/2014,Cash,$0.30,04/29/2014,06/16/2014,07/07/2014,USD
03/13/2014,Cash,$0.30,01/28/2014,03/17/2014,04/07/2014,USD
12/12/2013,Cash,$0.30,10/22/2013,12/16/2013,01/06/2014,USD
09/12/2013,Cash,$0.30,07/23/2013,09/16/2013,10/07/2013,USD
