Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/06/2025,Cash,$0.265,N/A,11/06/2025,11/20/2025,USD
08/07/2025,Cash,$0.265,N/A,08/07/2025,08/21/2025,USD
05/08/2025,Cash,$0.265,N/A,05/08/2025,05/22/2025,USD
02/06/2025,Cash,$0.265,01/27/2025,02/06/2025,02/20/2025,USD
11/07/2024,Cash,$0.25,10/28/2024,11/07/2024,11/21/2024,USD
08/01/2024,Cash,$0.25,07/22/2024,08/01/2024,08/15/2024,USD
05/01/2024,Cash,$0.25,04/22/2024,05/02/2024,05/16/2024,USD
01/31/2024,Cash,$0.25,01/22/2024,02/01/2024,02/15/2024,USD
11/01/2023,Cash,$0.225,10/23/2023,11/02/2023,11/16/2023,USD
08/02/2023,Cash,$0.225,07/24/2023,08/03/2023,08/17/2023,USD
05/03/2023,Cash,$0.225,04/24/2023,05/04/2023,05/18/2023,USD
02/01/2023,Cash,$0.225,01/23/2023,02/02/2023,02/16/2023,USD
11/02/2022,Cash,$0.195,10/24/2022,11/03/2022,11/17/2022,USD
08/03/2022,Cash,$0.195,07/25/2022,08/04/2022,08/18/2022,USD
05/04/2022,Cash,$0.195,04/25/2022,05/05/2022,05/19/2022,USD
02/02/2022,Cash,$0.195,01/24/2022,02/03/2022,02/17/2022,USD
11/03/2021,Cash,$0.175,10/25/2021,11/04/2021,11/18/2021,USD
08/04/2021,Cash,$0.175,07/26/2021,08/05/2021,08/19/2021,USD
05/05/2021,Cash,$0.175,04/26/2021,05/06/2021,05/20/2021,USD
02/03/2021,Cash,$0.175,01/25/2021,02/04/2021,02/18/2021,USD
11/04/2020,Cash,$0.155,10/26/2020,11/05/2020,11/19/2020,USD
08/05/2020,Cash,$0.155,07/27/2020,08/06/2020,08/20/2020,USD
05/06/2020,Cash,$0.155,04/27/2020,05/07/2020,05/21/2020,USD
02/05/2020,Cash,$0.155,01/27/2020,02/06/2020,02/20/2020,USD
10/31/2019,Cash,$0.145,10/22/2019,11/01/2019,11/15/2019,USD
07/31/2019,Cash,$0.145,07/22/2019,08/01/2019,08/15/2019,USD
05/01/2019,Cash,$0.145,04/22/2019,05/02/2019,05/16/2019,USD
01/31/2019,Cash,$0.145,01/22/2019,02/01/2019,02/15/2019,USD
10/31/2018,Cash,$0.12,10/22/2018,11/01/2018,11/15/2018,USD
08/01/2018,Cash,$0.12,07/23/2018,08/02/2018,08/16/2018,USD
05/02/2018,Cash,$0.12,04/23/2018,05/03/2018,05/17/2018,USD
01/31/2018,Cash,$0.1075,01/22/2018,02/01/2018,02/15/2018,USD
11/01/2017,Cash,$0.1075,10/23/2017,11/02/2017,11/16/2017,USD
08/01/2017,Cash,$0.1075,07/24/2017,08/03/2017,08/17/2017,USD
05/02/2017,Cash,$0.1075,04/24/2017,05/04/2017,05/18/2017,USD
01/31/2017,Cash,$0.10,01/23/2017,02/02/2017,02/16/2017,USD
11/01/2016,Cash,$0.10,10/24/2016,11/03/2016,11/17/2016,USD
08/02/2016,Cash,$0.10,07/25/2016,08/04/2016,08/18/2016,USD
05/03/2016,Cash,$0.10,04/21/2016,05/05/2016,05/20/2016,USD
02/02/2016,Cash,$0.0975,01/25/2016,02/04/2016,02/18/2016,USD
11/05/2015,Cash,$0.0975,10/30/2015,11/09/2015,11/19/2015,USD
08/06/2015,Cash,$0.0975,07/31/2015,08/10/2015,08/20/2015,USD
05/19/2015,Cash,$0.0975,05/08/2015,05/21/2015,05/28/2015,USD
02/03/2015,Cash,$0.09,01/28/2015,02/05/2015,02/19/2015,USD
11/04/2014,Cash,$0.09,10/24/2014,11/06/2014,11/20/2014,USD
08/05/2014,Cash,$0.09,07/24/2014,08/07/2014,08/21/2014,USD
05/13/2014,Cash,$0.09,05/02/2014,05/15/2014,05/30/2014,USD
02/04/2014,Cash,$0.0775,01/27/2014,02/06/2014,02/20/2014,USD
11/05/2013,Cash,$0.0775,10/25/2013,11/07/2013,11/21/2013,USD
08/06/2013,Cash,$0.0775,07/26/2013,08/08/2013,08/22/2013,USD
