Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
07/07/2025,Cash,$0.469413,05/22/2025,07/07/2025,08/01/2025,USD
04/30/2025,Cash,$0.94072,03/20/2025,04/30/2025,05/27/2025,USD
04/03/2024,Cash,$0.638356,03/19/2024,04/04/2024,04/29/2024,USD
06/02/2023,Cash,$0.630914,05/23/2023,06/05/2023,07/03/2023,USD
04/11/2022,Cash,$0.790821,03/16/2022,04/12/2022,05/06/2022,USD
08/31/2021,Cash,$0.789588,08/19/2021,09/01/2021,10/04/2021,USD
09/02/2020,Cash,$0.516233,08/18/2020,09/03/2020,10/02/2020,USD
09/11/2019,Cash,$0.52,08/19/2019,09/12/2019,10/02/2019,USD
12/28/2018,Cash,$0.34,N/A,12/31/2018,01/24/2019,USD
06/07/2018,Cash,$0.34,05/23/2018,06/08/2018,06/27/2018,USD
10/16/2017,Cash,$0.34,09/19/2017,10/17/2017,11/09/2017,USD
12/28/2016,Cash,$0.48,12/20/2016,12/30/2016,01/19/2017,USD
07/11/2016,Cash,$0.34,06/29/2016,07/13/2016,08/04/2016,USD
01/15/2016,Cash,$0.34,01/07/2016,01/20/2016,02/11/2016,USD
07/16/2015,Cash,$0.34,06/30/2015,07/20/2015,08/13/2015,USD
01/14/2015,Cash,$0.535,12/24/2014,01/16/2015,02/13/2015,USD
07/10/2014,Cash,$0.48,06/25/2014,07/14/2014,08/07/2014,USD
01/15/2014,Cash,$0.31,12/30/2013,01/17/2014,02/12/2014,USD
06/28/2013,Cash,$0.37,06/10/2013,07/02/2013,07/25/2013,USD
08/27/2001,Cash,$0.5352,N/A,08/27/2001,N/A,USD
