Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
09/03/2025,Cash,$0.28,08/04/2025,09/03/2025,09/24/2025,USD
03/05/2025,Cash,$0.27,02/03/2025,03/05/2025,03/26/2025,USD
09/04/2024,Cash,$0.27,08/01/2024,09/04/2024,09/25/2024,USD
03/05/2024,Cash,$0.26,02/06/2024,03/06/2024,03/26/2024,USD
08/29/2023,Cash,$0.26,08/02/2023,08/30/2023,09/27/2023,USD
02/28/2023,Cash,$0.25,02/02/2023,03/01/2023,03/29/2023,USD
08/30/2022,Cash,$0.25,08/09/2022,08/31/2022,09/28/2022,USD
03/01/2022,Cash,$0.24,02/08/2022,03/02/2022,03/30/2022,USD
08/31/2021,Cash,$0.24,08/02/2021,09/01/2021,09/29/2021,USD
03/09/2021,Cash,$0.23,02/08/2021,03/10/2021,04/07/2021,USD
09/01/2020,Cash,$0.23,08/04/2020,09/02/2020,10/07/2020,USD
03/03/2020,Cash,$0.23,02/03/2020,03/04/2020,04/01/2020,USD
09/03/2019,Cash,$0.23,08/06/2019,09/04/2019,10/02/2019,USD
05/17/2019,Cash,$0.23,05/09/2019,05/20/2019,06/03/2019,USD
