Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
10/31/2025,Cash,$0.4688,10/15/2025,10/31/2025,11/14/2025,USD
07/30/2025,Cash,$0.4688,07/15/2025,07/30/2025,08/15/2025,USD
04/30/2025,Cash,$0.4688,04/14/2025,04/30/2025,05/15/2025,USD
01/31/2025,Cash,$0.4688,01/15/2025,01/31/2025,02/15/2025,USD
10/31/2024,Cash,$0.4688,10/15/2024,10/31/2024,11/15/2024,USD
07/30/2024,Cash,$0.4688,07/15/2024,07/30/2024,08/15/2024,USD
04/29/2024,Cash,$0.4688,04/15/2024,04/30/2024,05/15/2024,USD
01/30/2024,Cash,$0.4688,01/18/2024,01/31/2024,02/15/2024,USD
10/30/2023,Cash,$0.4688,10/19/2023,10/31/2023,11/15/2023,USD
07/28/2023,Cash,$0.4688,07/20/2023,07/31/2023,08/15/2023,USD
04/27/2023,Cash,$0.4688,04/20/2023,04/30/2023,05/15/2023,USD
01/30/2023,Cash,$0.4688,01/20/2023,01/31/2023,02/15/2023,USD
10/28/2022,Cash,$0.4688,N/A,10/31/2022,11/15/2022,USD
07/28/2022,Cash,$0.4688,07/20/2022,07/31/2022,08/15/2022,USD
04/28/2022,Cash,$0.4688,04/20/2022,04/30/2022,05/15/2022,USD
