Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/01/2025,Cash,$0.12,10/14/2025,12/01/2025,12/15/2025,USD
09/02/2025,Cash,$0.11,08/04/2025,09/02/2025,09/16/2025,USD
06/06/2025,Cash,$0.11,05/05/2025,06/06/2025,06/16/2025,USD
03/03/2025,Cash,$0.11,02/06/2025,03/03/2025,03/17/2025,USD
12/02/2024,Cash,$0.11,11/07/2024,12/02/2024,12/16/2024,USD
09/03/2024,Cash,$0.11,08/07/2024,09/03/2024,09/17/2024,USD
06/03/2024,Cash,$0.11,05/06/2024,06/03/2024,06/17/2024,USD
02/29/2024,Cash,$0.11,02/08/2024,03/01/2024,03/15/2024,USD
11/30/2023,Cash,$0.11,11/07/2023,12/01/2023,12/15/2023,USD
08/31/2023,Cash,$0.11,08/08/2023,09/01/2023,09/15/2023,USD
05/31/2023,Cash,$0.11,N/A,06/01/2023,06/15/2023,USD
02/28/2023,Cash,$0.11,N/A,03/01/2023,03/15/2023,USD
11/30/2022,Cash,$0.11,N/A,12/01/2022,12/15/2022,USD
08/31/2022,Cash,$0.10,08/08/2022,09/01/2022,09/15/2022,USD
05/31/2022,Cash,$0.10,05/05/2022,06/01/2022,06/15/2022,USD
02/28/2022,Cash,$0.10,02/10/2022,03/01/2022,03/15/2022,USD
11/30/2021,Cash,$0.10,11/08/2021,12/01/2021,12/15/2021,USD
08/31/2021,Cash,$0.09,08/06/2021,09/01/2021,09/15/2021,USD
05/28/2021,Cash,$0.08,02/23/2021,06/01/2021,06/15/2021,USD
02/26/2021,Cash,$0.06,01/04/2021,03/01/2021,03/15/2021,USD
