Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/15/2025,Cash,$0.79,10/28/2025,12/15/2025,12/30/2025,USD
09/15/2025,Cash,$0.79,07/29/2025,09/15/2025,09/29/2025,USD
06/13/2025,Cash,$0.79,04/22/2025,06/13/2025,06/27/2025,USD
03/14/2025,Cash,$0.79,02/05/2025,03/14/2025,03/28/2025,USD
12/13/2024,Cash,$0.77,10/30/2024,12/13/2024,12/30/2024,USD
09/13/2024,Cash,$0.77,07/30/2024,09/13/2024,09/27/2024,USD
06/14/2024,Cash,$0.77,04/23/2024,06/14/2024,06/27/2024,USD
03/14/2024,Cash,$0.77,02/01/2024,03/15/2024,03/28/2024,USD
12/14/2023,Cash,$0.75,11/01/2023,12/15/2023,12/28/2023,USD
09/14/2023,Cash,$0.75,07/25/2023,09/15/2023,09/28/2023,USD
06/14/2023,Cash,$0.75,04/25/2023,06/15/2023,06/29/2023,USD
03/14/2023,Cash,$0.75,01/25/2023,03/15/2023,03/30/2023,USD
12/14/2022,Cash,$0.73,10/25/2022,12/15/2022,12/29/2022,USD
09/14/2022,Cash,$0.73,07/25/2022,09/15/2022,09/29/2022,USD
06/14/2022,Cash,$0.73,04/27/2022,06/15/2022,06/29/2022,USD
03/14/2022,Cash,$0.73,01/28/2022,03/15/2022,03/30/2022,USD
12/14/2021,Cash,$0.71,10/26/2021,12/15/2021,12/30/2021,USD
09/14/2021,Cash,$0.71,07/26/2021,09/15/2021,09/29/2021,USD
06/14/2021,Cash,$0.71,04/27/2021,06/15/2021,06/29/2021,USD
03/12/2021,Cash,$0.71,02/02/2021,03/15/2021,03/30/2021,USD
12/14/2020,Cash,$0.68,10/26/2020,12/15/2020,12/30/2020,USD
09/14/2020,Cash,$0.68,07/29/2020,09/15/2020,09/29/2020,USD
06/11/2020,Cash,$0.68,04/29/2020,06/12/2020,06/29/2020,USD
03/12/2020,Cash,$0.68,02/03/2020,03/13/2020,03/30/2020,USD
12/12/2019,Cash,$0.63,10/23/2019,12/13/2019,12/30/2019,USD
09/12/2019,Cash,$0.63,07/29/2019,09/13/2019,09/27/2019,USD
06/13/2019,Cash,$0.63,05/01/2019,06/14/2019,06/27/2019,USD
03/14/2019,Cash,$0.63,02/01/2019,03/15/2019,03/28/2019,USD
12/13/2018,Cash,$0.57,10/24/2018,12/14/2018,12/28/2018,USD
09/13/2018,Cash,$0.57,07/24/2018,09/14/2018,09/27/2018,USD
06/14/2018,Cash,$0.57,04/30/2018,06/15/2018,06/28/2018,USD
03/15/2018,Cash,$0.57,02/05/2018,03/16/2018,03/29/2018,USD
12/14/2017,Cash,$0.52,10/25/2017,12/15/2017,12/28/2017,USD
09/14/2017,Cash,$0.52,07/25/2017,09/15/2017,09/28/2017,USD
06/14/2017,Cash,$0.52,05/01/2017,06/16/2017,06/29/2017,USD
03/14/2017,Cash,$0.52,02/06/2017,03/16/2017,03/30/2017,USD
12/13/2016,Cash,$0.47,10/31/2016,12/15/2016,12/29/2016,USD
09/14/2016,Cash,$0.47,07/22/2016,09/16/2016,09/29/2016,USD
06/14/2016,Cash,$0.47,04/27/2016,06/16/2016,06/29/2016,USD
03/14/2016,Cash,$0.43,02/02/2016,03/16/2016,03/30/2016,USD
12/14/2015,Cash,$0.43,10/26/2015,12/16/2015,12/30/2015,USD
09/14/2015,Cash,$0.43,07/23/2015,09/16/2015,09/29/2015,USD
06/12/2015,Cash,$0.43,04/24/2015,06/16/2015,06/29/2015,USD
