Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/17/2025,Cash,$0.25,11/05/2025,11/17/2025,11/24/2025,USD
08/26/2025,Cash,$0.25,08/14/2025,08/26/2025,09/02/2025,USD
06/03/2025,Cash,$0.25,05/27/2025,06/03/2025,06/10/2025,USD
03/11/2025,Cash,$0.25,02/27/2025,03/11/2025,03/18/2025,USD
11/25/2024,Cash,$0.25,11/12/2024,11/25/2024,12/02/2024,USD
08/26/2024,Cash,$0.25,08/15/2024,08/26/2024,09/03/2024,USD
06/10/2024,Cash,$0.25,05/28/2024,06/10/2024,06/17/2024,USD
03/11/2024,Cash,$0.25,02/29/2024,03/12/2024,03/20/2024,USD
11/30/2023,Cash,$0.25,11/21/2023,12/01/2023,12/11/2023,USD
08/18/2023,Cash,$0.25,08/10/2023,08/21/2023,08/29/2023,USD
06/09/2023,Cash,$0.25,05/30/2023,06/12/2023,06/16/2023,USD
06/12/2019,Cash,$0.15,05/21/2019,06/13/2019,07/03/2019,USD
03/13/2019,Cash,$0.15,02/27/2019,03/14/2019,04/03/2019,USD
12/13/2018,Cash,$0.15,11/05/2018,12/14/2018,01/03/2019,USD
09/05/2018,Cash,$0.125,08/23/2018,09/06/2018,10/03/2018,USD
06/13/2018,Cash,$0.05,05/31/2018,06/14/2018,07/05/2018,USD
03/13/2018,Cash,$0.05,02/28/2018,03/14/2018,04/04/2018,USD
12/13/2017,Cash,$0.05,11/30/2017,12/14/2017,01/04/2018,USD
09/13/2017,Cash,$0.05,08/30/2017,09/14/2017,10/04/2017,USD
06/14/2017,Cash,$0.05,05/31/2017,06/16/2017,07/05/2017,USD
03/13/2017,Cash,$0.05,02/28/2017,03/15/2017,04/03/2017,USD
12/12/2016,Cash,$0.05,11/30/2016,12/14/2016,01/06/2017,USD
09/12/2016,Cash,$0.05,08/31/2016,09/14/2016,10/03/2016,USD
06/13/2016,Cash,$0.05,05/31/2016,06/15/2016,07/07/2016,USD
03/14/2016,Cash,$0.05,02/29/2016,03/16/2016,03/30/2016,USD
12/08/2015,Cash,$0.45,11/30/2015,12/10/2015,01/12/2016,USD
09/08/2015,Cash,$0.45,08/26/2015,09/10/2015,09/25/2015,USD
06/10/2015,Cash,$0.45,05/28/2015,06/12/2015,06/26/2015,USD
03/10/2015,Cash,$0.45,02/25/2015,03/12/2015,03/24/2015,USD
12/03/2014,Cash,$0.45,11/26/2014,12/05/2014,12/30/2014,USD
09/08/2014,Cash,$0.45,08/26/2014,09/10/2014,09/26/2014,USD
06/04/2014,Cash,$0.45,05/28/2014,06/06/2014,07/02/2014,USD
03/10/2014,Cash,$0.45,02/28/2014,03/12/2014,03/24/2014,USD
12/04/2013,Cash,$0.45,11/27/2013,12/06/2013,12/20/2013,USD
09/11/2013,Cash,$0.45,08/29/2013,09/13/2013,09/26/2013,USD
06/11/2013,Cash,$0.45,05/30/2013,06/13/2013,06/27/2013,USD
