Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/18/2025,Cash,$0.155,10/17/2025,12/18/2025,01/02/2026,USD
09/17/2025,Cash,$0.155,07/18/2025,09/17/2025,10/01/2025,USD
06/17/2025,Cash,$0.155,N/A,06/17/2025,07/01/2025,USD
03/18/2025,Cash,$0.155,01/17/2025,03/18/2025,04/01/2025,USD
12/18/2024,Cash,$0.155,10/17/2024,12/18/2024,01/02/2025,USD
09/17/2024,Cash,$0.155,07/19/2024,09/17/2024,10/01/2024,USD
06/17/2024,Cash,$0.155,04/19/2024,06/17/2024,07/01/2024,USD
03/15/2024,Cash,$0.155,01/19/2024,03/18/2024,04/01/2024,USD
12/15/2023,Cash,$0.155,10/18/2023,12/18/2023,01/02/2024,USD
09/15/2023,Cash,$0.155,07/19/2023,09/18/2023,10/02/2023,USD
06/15/2023,Cash,$0.155,04/19/2023,06/19/2023,07/03/2023,USD
03/17/2023,Cash,$0.155,01/20/2023,03/20/2023,04/03/2023,USD
12/16/2022,Cash,$0.155,10/21/2022,12/19/2022,01/03/2023,USD
09/16/2022,Cash,$0.155,07/20/2022,09/19/2022,10/03/2022,USD
06/16/2022,Cash,$0.155,04/20/2022,06/17/2022,07/01/2022,USD
03/17/2022,Cash,$0.155,01/19/2022,03/18/2022,04/01/2022,USD
12/16/2021,Cash,$0.155,10/20/2021,12/17/2021,01/03/2022,USD
09/16/2021,Cash,$0.15,07/21/2021,09/17/2021,10/01/2021,USD
06/16/2021,Cash,$0.15,04/21/2021,06/17/2021,07/01/2021,USD
03/17/2021,Cash,$0.15,01/20/2021,03/18/2021,04/01/2021,USD
12/17/2020,Cash,$0.15,10/21/2020,12/18/2020,01/04/2021,USD
09/16/2020,Cash,$0.15,07/22/2020,09/17/2020,10/01/2020,USD
06/16/2020,Cash,$0.15,04/22/2020,06/17/2020,07/01/2020,USD
03/17/2020,Cash,$0.15,01/22/2020,03/18/2020,04/01/2020,USD
12/17/2019,Cash,$0.15,10/23/2019,12/18/2019,01/02/2020,USD
09/16/2019,Cash,$0.15,07/17/2019,09/17/2019,10/01/2019,USD
06/14/2019,Cash,$0.14,04/18/2019,06/17/2019,07/01/2019,USD
03/15/2019,Cash,$0.14,01/16/2019,03/18/2019,04/01/2019,USD
12/17/2018,Cash,$0.14,10/17/2018,12/18/2018,01/02/2019,USD
09/14/2018,Cash,$0.14,07/18/2018,09/17/2018,10/01/2018,USD
06/15/2018,Cash,$0.11,04/17/2018,06/18/2018,07/02/2018,USD
03/16/2018,Cash,$0.11,01/17/2018,03/19/2018,04/02/2018,USD
12/15/2017,Cash,$0.11,10/18/2017,12/18/2017,01/02/2018,USD
09/15/2017,Cash,$0.08,07/19/2017,09/18/2017,10/02/2017,USD
06/15/2017,Cash,$0.08,04/18/2017,06/19/2017,07/03/2017,USD
03/16/2017,Cash,$0.08,01/18/2017,03/20/2017,04/03/2017,USD
12/16/2016,Cash,$0.08,10/19/2016,12/20/2016,01/02/2017,USD
09/15/2016,Cash,$0.07,07/20/2016,09/19/2016,10/03/2016,USD
