Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/14/2025,Cash,$0.35625,09/12/2025,11/15/2025,12/01/2025,USD
08/15/2025,Cash,$0.35625,06/27/2025,08/15/2025,09/02/2025,USD
05/15/2025,Cash,$0.35625,03/31/2025,05/15/2025,06/02/2025,USD
02/14/2025,Cash,$0.35625,12/10/2024,02/15/2025,03/03/2025,USD
11/15/2024,Cash,$0.35625,09/13/2024,11/15/2024,12/02/2024,USD
08/15/2024,Cash,$0.35625,06/14/2024,08/15/2024,09/03/2024,USD
05/14/2024,Cash,$0.35625,03/27/2024,05/15/2024,06/03/2024,USD
02/14/2024,Cash,$0.35625,12/07/2023,02/15/2024,03/01/2024,USD
11/14/2023,Cash,$0.35625,09/12/2023,11/15/2023,12/01/2023,USD
08/14/2023,Cash,$0.35625,N/A,08/15/2023,09/01/2023,USD
05/12/2023,Cash,$0.35625,03/29/2023,05/15/2023,06/01/2023,USD
02/14/2023,Cash,$0.35625,12/08/2022,02/15/2023,03/01/2023,USD
11/14/2022,Cash,$0.35625,09/13/2022,11/15/2022,12/01/2022,USD
08/12/2022,Cash,$0.35625,06/16/2022,08/15/2022,09/01/2022,USD
05/12/2022,Cash,$0.35625,03/30/2022,05/15/2022,06/01/2022,USD
02/14/2022,Cash,$0.35625,12/09/2021,02/15/2022,03/01/2022,USD
11/12/2021,Cash,$0.35625,09/14/2021,11/15/2021,12/01/2021,USD
08/12/2021,Cash,$0.35625,06/09/2021,08/15/2021,09/01/2021,USD
