Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
06/30/2025,Cash,$0.37,05/15/2025,06/30/2025,07/11/2025,USD
06/28/2024,Cash,$0.29,05/13/2024,06/28/2024,07/12/2024,USD
06/29/2023,Cash,$0.48,05/12/2023,06/30/2023,07/12/2023,USD
06/29/2022,Cash,$1.25,05/23/2022,06/30/2022,07/12/2022,USD
06/29/2021,Cash,$0.272,05/28/2021,06/30/2021,07/12/2021,USD
07/18/2018,Cash,$0.10,06/19/2018,07/19/2018,07/31/2018,USD
07/27/2017,Cash,$0.24,N/A,07/31/2017,08/14/2017,USD
07/20/2016,Cash,$0.13,06/20/2016,07/22/2016,08/03/2016,USD
06/24/2015,Cash,$0.30,05/11/2015,06/26/2015,07/08/2015,USD
07/09/2014,Cash,$0.27,06/24/2014,07/11/2014,07/23/2014,USD
07/17/2013,Cash,$0.25,06/17/2013,07/19/2013,07/31/2013,USD
