Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
09/30/2025,Cash,$0.20,09/11/2025,09/30/2025,10/15/2025,USD
06/30/2025,Cash,$0.20,06/12/2025,06/30/2025,07/15/2025,USD
03/31/2025,Cash,$0.20,N/A,03/31/2025,04/15/2025,USD
12/31/2024,Cash,$0.30,N/A,12/31/2024,01/15/2025,USD
09/30/2024,Cash,$0.20,09/12/2024,09/30/2024,10/15/2024,USD
06/28/2024,Cash,$0.20,06/13/2024,06/28/2024,07/15/2024,USD
03/27/2024,Cash,$0.20,N/A,03/28/2024,04/15/2024,USD
12/28/2023,Cash,$0.45,N/A,12/29/2023,01/16/2024,USD
09/28/2023,Cash,$0.18,09/14/2023,09/30/2023,10/16/2023,USD
06/29/2023,Cash,$0.15,06/14/2023,06/30/2023,07/17/2023,USD
03/30/2023,Cash,$0.12,02/08/2023,03/31/2023,04/17/2023,USD
12/29/2022,Cash,$0.32,N/A,12/30/2022,01/17/2023,USD
09/29/2022,Cash,$0.12,N/A,09/30/2022,10/17/2022,USD
06/29/2022,Cash,$0.06,05/04/2022,06/30/2022,07/15/2022,USD
03/30/2022,Cash,$0.03,02/16/2022,03/31/2022,04/15/2022,USD
03/30/2020,Cash,$0.20,02/19/2020,03/31/2020,04/15/2020,USD
12/30/2019,Cash,$0.25,12/13/2019,12/31/2019,01/15/2020,USD
09/27/2019,Cash,$0.20,09/13/2019,09/30/2019,10/15/2019,USD
06/27/2019,Cash,$0.20,06/14/2019,06/28/2019,07/15/2019,USD
03/28/2019,Cash,$0.20,02/19/2019,03/29/2019,04/15/2019,USD
12/28/2018,Cash,$0.25,12/14/2018,12/31/2018,01/15/2019,USD
09/27/2018,Cash,$0.20,09/14/2018,09/28/2018,10/15/2018,USD
06/28/2018,Cash,$0.20,06/14/2018,06/29/2018,07/16/2018,USD
03/28/2018,Cash,$0.20,02/21/2018,03/29/2018,04/16/2018,USD
12/28/2017,Cash,$0.25,12/14/2017,12/29/2017,01/15/2018,USD
09/28/2017,Cash,$0.20,09/18/2017,09/29/2017,10/16/2017,USD
06/28/2017,Cash,$0.20,06/14/2017,06/30/2017,07/17/2017,USD
03/29/2017,Cash,$0.20,02/21/2017,03/31/2017,04/17/2017,USD
12/28/2016,Cash,$0.25,12/15/2016,12/30/2016,01/17/2017,USD
