Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/10/2025,Cash,$0.42,10/24/2025,11/10/2025,12/01/2025,USD
08/11/2025,Cash,$0.42,07/25/2025,08/11/2025,09/02/2025,USD
05/12/2025,Cash,$0.42,04/25/2025,05/12/2025,06/02/2025,USD
02/10/2025,Cash,$0.42,01/29/2025,02/10/2025,03/03/2025,USD
11/04/2024,Cash,$0.40,10/25/2024,11/04/2024,12/02/2024,USD
08/05/2024,Cash,$0.40,07/24/2024,08/05/2024,09/03/2024,USD
05/03/2024,Cash,$0.40,04/24/2024,05/06/2024,06/03/2024,USD
02/02/2024,Cash,$0.40,01/24/2024,02/05/2024,03/01/2024,USD
11/03/2023,Cash,$0.38,10/25/2023,11/06/2023,12/01/2023,USD
08/04/2023,Cash,$0.38,07/26/2023,08/07/2023,09/01/2023,USD
05/05/2023,Cash,$0.38,04/26/2023,05/08/2023,06/01/2023,USD
02/03/2023,Cash,$0.38,01/25/2023,02/06/2023,03/01/2023,USD
11/04/2022,Cash,$0.36,10/26/2022,11/07/2022,12/01/2022,USD
08/05/2022,Cash,$0.36,07/27/2022,08/08/2022,09/01/2022,USD
05/06/2022,Cash,$0.36,04/27/2022,05/09/2022,06/01/2022,USD
02/04/2022,Cash,$0.36,01/26/2022,02/07/2022,03/01/2022,USD
11/05/2021,Cash,$0.34,10/28/2021,11/08/2021,12/01/2021,USD
08/06/2021,Cash,$0.34,07/29/2021,08/09/2021,09/01/2021,USD
05/07/2021,Cash,$0.34,04/28/2021,05/10/2021,06/01/2021,USD
02/05/2021,Cash,$0.34,01/28/2021,02/08/2021,03/01/2021,USD
11/06/2020,Cash,$0.32,10/28/2020,11/09/2020,12/01/2020,USD
08/07/2020,Cash,$0.32,07/29/2020,08/10/2020,09/01/2020,USD
05/08/2020,Cash,$0.32,04/29/2020,05/11/2020,06/01/2020,USD
02/07/2020,Cash,$0.32,01/29/2020,02/10/2020,03/02/2020,USD
11/07/2019,Cash,$0.30,10/30/2019,11/11/2019,12/02/2019,USD
08/02/2019,Cash,$0.30,07/24/2019,08/05/2019,09/03/2019,USD
