Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/05/2025,Cash,$0.45,N/A,12/05/2025,12/15/2025,USD
09/05/2025,Cash,$0.45,N/A,09/05/2025,09/15/2025,USD
06/05/2025,Cash,$0.45,N/A,06/05/2025,06/16/2025,USD
03/05/2025,Cash,$0.45,N/A,03/05/2025,03/17/2025,USD
12/05/2024,Cash,$0.40,N/A,12/05/2024,12/16/2024,USD
09/05/2024,Cash,$0.40,N/A,09/05/2024,09/16/2024,USD
06/05/2024,Cash,$0.40,N/A,06/05/2024,06/14/2024,USD
03/04/2024,Cash,$0.30,N/A,03/05/2024,03/15/2024,USD
12/04/2023,Cash,$0.30,N/A,12/05/2023,12/15/2023,USD
09/01/2023,Cash,$0.30,N/A,09/05/2023,09/15/2023,USD
06/02/2023,Cash,$0.30,N/A,06/05/2023,06/15/2023,USD
03/03/2023,Cash,$0.30,N/A,03/06/2023,03/15/2023,USD
12/02/2022,Cash,$0.27,N/A,12/05/2022,12/15/2022,USD
09/02/2022,Cash,$0.27,N/A,09/06/2022,09/15/2022,USD
06/03/2022,Cash,$0.27,N/A,06/06/2022,06/15/2022,USD
03/03/2022,Cash,$0.27,N/A,03/04/2022,03/15/2022,USD
12/03/2021,Cash,$0.27,N/A,12/06/2021,12/15/2021,USD
09/03/2021,Cash,$0.27,N/A,09/07/2021,09/15/2021,USD
06/04/2021,Cash,$0.27,N/A,06/07/2021,06/15/2021,USD
03/05/2021,Cash,$0.27,N/A,03/08/2021,03/15/2021,USD
12/03/2020,Cash,$0.27,N/A,12/04/2020,12/15/2020,USD
09/04/2020,Cash,$0.27,N/A,09/08/2020,09/15/2020,USD
06/04/2020,Cash,$0.27,N/A,06/05/2020,06/15/2020,USD
03/04/2020,Cash,$0.27,N/A,03/05/2020,03/16/2020,USD
12/04/2019,Cash,$0.27,N/A,12/05/2019,12/16/2019,USD
09/04/2019,Cash,$0.27,N/A,09/05/2019,09/16/2019,USD
06/04/2019,Cash,$0.27,N/A,06/05/2019,06/14/2019,USD
03/04/2019,Cash,$0.27,N/A,03/05/2019,03/15/2019,USD
12/04/2018,Cash,$0.27,N/A,12/05/2018,12/14/2018,USD
09/04/2018,Cash,$0.27,N/A,09/05/2018,09/14/2018,USD
06/04/2018,Cash,$0.24,N/A,06/05/2018,06/15/2018,USD
03/02/2018,Cash,$0.24,N/A,03/05/2018,03/15/2018,USD
12/04/2017,Cash,$0.24,N/A,12/05/2017,12/15/2017,USD
08/31/2017,Cash,$0.24,N/A,09/05/2017,09/15/2017,USD
06/01/2017,Cash,$0.24,N/A,06/05/2017,06/15/2017,USD
03/02/2017,Cash,$0.24,N/A,03/06/2017,03/15/2017,USD
12/01/2016,Cash,$0.24,N/A,12/05/2016,12/15/2016,USD
09/01/2016,Cash,$0.24,N/A,09/06/2016,09/15/2016,USD
06/02/2016,Cash,$0.24,N/A,06/06/2016,06/15/2016,USD
03/02/2016,Cash,$0.24,N/A,03/04/2016,03/15/2016,USD
12/02/2015,Cash,$0.24,N/A,12/04/2015,12/15/2015,USD
09/02/2015,Cash,$0.24,N/A,09/04/2015,09/15/2015,USD
06/03/2015,Cash,$0.24,N/A,06/05/2015,06/15/2015,USD
03/03/2015,Cash,$0.24,N/A,03/05/2015,03/16/2015,USD
12/03/2014,Cash,$0.24,N/A,12/05/2014,12/15/2014,USD
09/03/2014,Cash,$0.24,N/A,09/05/2014,09/15/2014,USD
06/03/2014,Cash,$0.24,N/A,06/05/2014,06/16/2014,USD
03/03/2014,Cash,$0.24,N/A,03/05/2014,03/14/2014,USD
12/03/2013,Cash,$0.24,N/A,12/05/2013,12/16/2013,USD
09/03/2013,Cash,$0.24,N/A,09/05/2013,09/16/2013,USD
06/04/2003,Cash,$0.21,N/A,06/04/2003,N/A,USD
03/06/2003,Cash,$0.21,N/A,03/06/2003,N/A,USD
12/03/2002,Cash,$0.20,N/A,12/03/2002,N/A,USD
09/03/2002,Cash,$0.20,N/A,09/03/2002,N/A,USD
06/03/2002,Cash,$0.30,N/A,06/03/2002,N/A,USD
03/07/2002,Cash,$0.30,N/A,03/07/2002,N/A,USD
12/03/2001,Cash,$0.28,N/A,12/03/2001,N/A,USD
08/30/2001,Cash,$0.28,N/A,08/30/2001,N/A,USD
06/01/2001,Cash,$0.28,N/A,06/01/2001,N/A,USD
03/01/2001,Cash,$0.28,N/A,03/01/2001,N/A,USD
12/01/2000,Cash,$0.50,N/A,12/01/2000,N/A,USD
08/31/2000,Cash,$0.25,N/A,08/31/2000,N/A,USD
06/01/2000,Cash,$0.25,N/A,06/01/2000,N/A,USD
03/01/2000,Cash,$0.25,N/A,03/01/2000,N/A,USD
12/01/1999,Cash,$0.25,N/A,12/01/1999,N/A,USD
09/01/1999,Cash,$0.25,N/A,09/01/1999,N/A,USD
06/02/1999,Cash,$0.25,N/A,06/02/1999,N/A,USD
03/03/1999,Cash,$0.25,N/A,03/03/1999,N/A,USD
12/02/1998,Cash,$0.25,N/A,12/02/1998,N/A,USD
09/02/1998,Cash,$0.25,N/A,09/02/1998,N/A,USD
06/03/1998,Cash,$0.25,N/A,06/03/1998,N/A,USD
03/03/1998,Cash,$0.25,N/A,03/03/1998,N/A,USD
12/03/1997,Cash,$0.25,N/A,12/03/1997,N/A,USD
09/03/1997,Cash,$0.25,N/A,09/03/1997,N/A,USD
06/03/1997,Cash,$0.25,N/A,06/03/1997,N/A,USD
03/03/1997,Cash,$0.25,N/A,03/03/1997,N/A,USD
12/03/1996,Cash/Stock,$0.25,N/A,12/03/1996,N/A,USD
09/03/1996,Cash,$0.25,N/A,09/03/1996,N/A,USD
06/03/1996,Cash,$0.25,N/A,06/03/1996,N/A,USD
03/01/1996,Cash,$0.25,N/A,03/01/1996,N/A,USD
12/01/1995,Cash,$0.25,N/A,12/01/1995,N/A,USD
08/31/1995,Cash,$0.25,N/A,08/31/1995,N/A,USD
05/30/1995,Cash,$0.23,N/A,05/30/1995,N/A,USD
03/03/1995,Cash,$0.23,N/A,03/03/1995,N/A,USD
11/29/1994,Cash,$0.23,N/A,11/29/1994,N/A,USD
08/30/1994,Cash,$0.23,N/A,08/30/1994,N/A,USD
05/31/1994,Cash,$0.23,N/A,05/31/1994,N/A,USD
02/28/1994,Cash,$0.23,N/A,02/28/1994,N/A,USD
08/30/1993,Cash,$0.17,N/A,08/30/1993,N/A,USD
05/28/1993,Cash,$0.17,N/A,05/28/1993,N/A,USD
03/01/1993,Cash,$0.17,N/A,03/01/1993,N/A,USD
11/30/1992,Cash,$0.23,N/A,11/30/1992,N/A,USD
08/31/1992,Cash,$0.15,N/A,08/31/1992,N/A,USD
06/01/1992,Cash,$0.15,N/A,06/01/1992,N/A,USD
03/02/1992,Cash,$0.15,N/A,03/02/1992,N/A,USD
11/29/1991,Cash,$0.15,N/A,11/29/1991,N/A,USD
10/21/1991,Cash,$0.10,N/A,10/21/1991,N/A,USD
