Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
06/27/2025,Cash,$0.835969,05/27/2025,06/27/2025,07/25/2025,USD
06/27/2024,Cash,$1.11166,06/11/2024,06/27/2024,07/26/2024,USD
06/29/2023,Cash,$1.476772,05/30/2023,06/30/2023,07/27/2023,USD
06/29/2022,Cash,$2.91941,05/27/2022,06/30/2022,07/27/2022,USD
08/06/2021,Cash,$1.58188,07/20/2021,08/09/2021,09/08/2021,USD
07/01/2020,Cash,$1.226742,06/09/2020,07/02/2020,N/A,USD
08/07/2019,Cash,$0.763894,06/27/2019,08/08/2019,09/09/2019,USD
11/02/2018,Cash/Stock,$0.968545,N/A,N/A,N/A,USD
10/18/2018,Cash,$0.19368,08/09/2018,10/19/2018,11/07/2018,USD
06/13/2017,Cash,$0.655478,06/01/2017,06/15/2017,07/19/2017,USD
11/25/2016,Cash,$1.308715,05/31/2016,11/29/2016,12/27/2016,USD
