Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
09/25/2025,Cash,$0.546875,09/12/2025,09/25/2025,09/30/2025,USD
06/25/2025,Cash,$0.546875,06/16/2025,06/25/2025,06/30/2025,USD
03/26/2025,Cash,$0.546875,03/11/2025,03/26/2025,03/31/2025,USD
12/24/2024,Cash,$0.546875,12/10/2024,12/24/2024,12/30/2024,USD
09/25/2024,Cash,$0.546875,09/15/2024,09/25/2024,09/30/2024,USD
06/26/2024,Cash,$0.546875,06/13/2024,06/26/2024,07/01/2024,USD
03/25/2024,Cash,$0.546875,03/14/2024,03/26/2024,04/01/2024,USD
12/26/2023,Cash,$0.546875,N/A,12/27/2023,01/02/2024,USD
09/26/2023,Cash,$0.546875,N/A,09/27/2023,10/02/2023,USD
06/26/2023,Cash,$0.546875,N/A,06/27/2023,06/30/2023,USD
03/24/2023,Cash,$0.546875,N/A,03/27/2023,03/30/2023,USD
12/23/2022,Cash,$0.546875,12/16/2022,12/27/2022,12/30/2022,USD
09/26/2022,Cash,$0.546875,09/15/2022,09/27/2022,09/30/2022,USD
06/24/2022,Cash,$0.546875,06/16/2022,06/27/2022,06/30/2022,USD
03/24/2022,Cash,$0.546875,N/A,03/25/2022,03/30/2022,USD
12/23/2021,Cash,$0.1640625,12/17/2021,12/27/2021,12/30/2021,USD
