Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
08/07/2024,Cash,$0.125,07/17/2024,08/07/2024,09/01/2024,USD
05/06/2024,Cash,$0.125,04/22/2024,05/07/2024,06/01/2024,USD
02/06/2024,Cash,$0.125,01/24/2024,02/07/2024,03/01/2024,USD
11/06/2023,Cash,$0.125,N/A,11/07/2023,12/01/2023,USD
08/04/2023,Cash,$0.125,07/18/2023,08/07/2023,09/01/2023,USD
05/04/2023,Cash,$0.125,02/17/2023,05/07/2023,06/01/2023,USD
02/06/2023,Cash,$0.365,01/26/2023,02/07/2023,03/01/2023,USD
11/04/2022,Cash,$0.365,09/15/2022,11/07/2022,12/01/2022,USD
08/04/2022,Cash,$0.365,07/13/2022,08/07/2022,09/01/2022,USD
05/05/2022,Cash,$0.365,04/13/2022,05/07/2022,06/01/2022,USD
02/04/2022,Cash,$0.365,01/26/2022,02/07/2022,03/01/2022,USD
11/04/2021,Cash,$0.3475,09/16/2021,11/07/2021,12/01/2021,USD
08/05/2021,Cash,$0.3475,07/14/2021,08/07/2021,09/01/2021,USD
05/06/2021,Cash,$0.3475,03/10/2021,05/07/2021,06/01/2021,USD
02/04/2021,Cash,$0.3475,01/21/2021,02/07/2021,03/01/2021,USD
11/05/2020,Cash,$0.33,09/17/2020,11/07/2020,12/01/2020,USD
08/06/2020,Cash,$0.33,07/15/2020,08/07/2020,09/01/2020,USD
05/06/2020,Cash,$0.33,03/11/2020,05/07/2020,06/01/2020,USD
02/06/2020,Cash,$0.33,01/23/2020,02/07/2020,03/01/2020,USD
11/06/2019,Cash,$0.315,09/12/2019,11/07/2019,12/01/2019,USD
08/06/2019,Cash,$0.315,07/17/2019,08/07/2019,09/01/2019,USD
05/06/2019,Cash,$0.315,03/13/2019,05/07/2019,06/01/2019,USD
02/06/2019,Cash,$0.315,01/24/2019,02/07/2019,03/01/2019,USD
11/06/2018,Cash,$0.30,09/13/2018,11/07/2018,12/01/2018,USD
08/06/2018,Cash,$0.30,07/18/2018,08/07/2018,09/01/2018,USD
05/04/2018,Cash,$0.30,03/14/2018,05/07/2018,06/01/2018,USD
02/06/2018,Cash,$0.30,01/25/2018,02/07/2018,03/01/2018,USD
11/06/2017,Cash,$0.2725,09/13/2017,11/07/2017,12/01/2017,USD
08/03/2017,Cash,$0.2725,07/20/2017,08/07/2017,09/01/2017,USD
05/03/2017,Cash,$0.2725,03/22/2017,05/07/2017,06/01/2017,USD
02/03/2017,Cash,$0.26,01/20/2017,02/07/2017,03/01/2017,USD
11/03/2016,Cash,$0.26,09/12/2016,11/07/2016,12/01/2016,USD
08/03/2016,Cash,$0.26,07/11/2016,08/07/2016,09/01/2016,USD
05/04/2016,Cash,$0.26,03/16/2016,05/07/2016,06/01/2016,USD
02/03/2016,Cash,$0.26,01/21/2016,02/07/2016,03/01/2016,USD
11/04/2015,Cash,$0.24,09/10/2015,11/07/2015,12/01/2015,USD
08/05/2015,Cash,$0.24,07/22/2015,08/07/2015,09/01/2015,USD
05/05/2015,Cash,$0.24,03/18/2015,05/07/2015,06/01/2015,USD
02/04/2015,Cash,$0.24,01/22/2015,02/07/2015,03/01/2015,USD
11/05/2014,Cash,$0.225,09/11/2014,11/07/2014,12/01/2014,USD
08/05/2014,Cash,$0.225,07/23/2014,08/07/2014,09/01/2014,USD
05/05/2014,Cash,$0.225,03/18/2014,05/07/2014,06/01/2014,USD
02/05/2014,Cash,$0.225,01/22/2014,02/07/2014,03/01/2014,USD
11/05/2013,Cash,$0.225,09/24/2013,11/07/2013,12/01/2013,USD
08/05/2013,Cash,$0.225,07/24/2013,08/07/2013,09/01/2013,USD
05/05/2003,Cash,$0.02,N/A,05/05/2003,N/A,USD
02/05/2003,Cash,$0.02,N/A,02/05/2003,N/A,USD
11/05/2002,Cash,$0.02,N/A,11/05/2002,N/A,USD
08/05/2002,Cash,$0.02,N/A,08/05/2002,N/A,USD
05/03/2002,Cash,$0.02,N/A,05/03/2002,N/A,USD
02/05/2002,Cash,$0.02,N/A,02/05/2002,N/A,USD
