Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/07/2025,Cash,$0.44,10/22/2025,11/07/2025,11/21/2025,USD
08/08/2025,Cash,$0.44,07/23/2025,08/08/2025,08/22/2025,USD
05/09/2025,Cash,$0.44,04/24/2025,05/09/2025,05/23/2025,USD
02/07/2025,Cash,$0.44,01/23/2025,02/07/2025,02/21/2025,USD
11/08/2024,Cash,$0.43,10/17/2024,11/08/2024,11/22/2024,USD
08/02/2024,Cash,$0.43,07/17/2024,08/02/2024,08/16/2024,USD
05/09/2024,Cash,$0.43,04/25/2024,05/10/2024,05/24/2024,USD
02/08/2024,Cash,$0.43,01/18/2024,02/09/2024,02/23/2024,USD
11/09/2023,Cash,$0.42,10/19/2023,11/10/2023,11/24/2023,USD
08/03/2023,Cash,$0.42,07/19/2023,08/04/2023,08/18/2023,USD
05/11/2023,Cash,$0.42,04/27/2023,05/12/2023,05/26/2023,USD
02/09/2023,Cash,$0.42,01/19/2023,02/10/2023,02/24/2023,USD
11/03/2022,Cash,$0.40,10/20/2022,11/04/2022,11/18/2022,USD
08/04/2022,Cash,$0.40,07/20/2022,08/05/2022,08/19/2022,USD
05/12/2022,Cash,$0.40,04/28/2022,05/13/2022,05/27/2022,USD
02/03/2022,Cash,$0.40,01/20/2022,02/04/2022,02/18/2022,USD
11/04/2021,Cash,$0.30,10/21/2021,11/05/2021,11/19/2021,USD
08/05/2021,Cash,$0.30,07/21/2021,08/06/2021,08/20/2021,USD
05/06/2021,Cash,$0.30,04/22/2021,05/07/2021,05/21/2021,USD
02/04/2021,Cash,$0.28,01/21/2021,02/05/2021,02/19/2021,USD
11/05/2020,Cash,$0.27,10/22/2020,11/06/2020,11/20/2020,USD
08/06/2020,Cash,$0.27,07/22/2020,08/07/2020,08/21/2020,USD
05/07/2020,Cash,$0.27,04/23/2020,05/08/2020,05/22/2020,USD
02/06/2020,Cash,$0.27,01/22/2020,02/07/2020,02/21/2020,USD
11/07/2019,Cash,$0.26,10/14/2019,11/08/2019,11/22/2019,USD
08/01/2019,Cash,$0.26,07/18/2019,08/02/2019,08/16/2019,USD
05/02/2019,Cash,$0.26,04/18/2019,05/03/2019,05/17/2019,USD
02/07/2019,Cash,$0.26,01/23/2019,02/08/2019,02/22/2019,USD
11/08/2018,Cash,$0.24,10/18/2018,11/09/2018,11/16/2018,USD
08/02/2018,Cash,$0.24,07/19/2018,08/03/2018,08/17/2018,USD
05/03/2018,Cash,$0.24,04/19/2018,05/04/2018,05/18/2018,USD
02/08/2018,Cash,$0.24,01/24/2018,02/09/2018,02/23/2018,USD
11/02/2017,Cash,$0.23,10/19/2017,11/03/2017,11/17/2017,USD
