Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
06/13/2025,Cash,$0.375,N/A,06/13/2025,06/16/2025,USD
03/14/2025,Cash,$0.375,N/A,03/14/2025,03/17/2025,USD
12/13/2024,Cash,$0.375,N/A,12/13/2024,12/16/2024,USD
09/13/2024,Cash,$0.375,N/A,09/13/2024,09/16/2024,USD
06/14/2024,Cash,$0.375,N/A,06/14/2024,06/17/2024,USD
03/13/2024,Cash,$0.375,N/A,03/14/2024,03/15/2024,USD
12/13/2023,Cash,$0.375,N/A,12/14/2023,12/15/2023,USD
09/13/2023,Cash,$0.375,N/A,09/14/2023,09/15/2023,USD
06/13/2023,Cash,$0.375,N/A,06/14/2023,06/15/2023,USD
03/13/2023,Cash,$0.375,N/A,03/14/2023,03/15/2023,USD
09/13/2022,Cash,$0.375,N/A,09/14/2022,09/15/2022,USD
06/13/2022,Cash,$0.375,N/A,06/14/2022,06/15/2022,USD
03/11/2022,Cash,$0.375,N/A,03/14/2022,03/15/2022,USD
09/13/2021,Cash,$0.375,N/A,09/14/2021,09/15/2021,USD
06/11/2021,Cash,$0.375,N/A,06/14/2021,06/15/2021,USD
03/11/2021,Cash,$0.375,N/A,03/12/2021,03/15/2021,USD
12/11/2020,Cash,$0.375,N/A,12/14/2020,12/15/2020,USD
09/11/2020,Cash,$0.375,N/A,09/14/2020,09/15/2020,USD
06/11/2020,Cash,$0.375,N/A,06/12/2020,06/15/2020,USD
03/12/2020,Cash,$0.375,N/A,03/13/2020,03/16/2020,USD
12/12/2019,Cash,$0.375,N/A,12/13/2019,12/16/2019,USD
09/12/2019,Cash,$0.375,N/A,09/13/2019,09/16/2019,USD
06/13/2019,Cash,$0.375,N/A,06/14/2019,06/17/2019,USD
03/13/2019,Cash,$0.375,N/A,03/14/2019,03/15/2019,USD
12/13/2018,Cash,$0.375,N/A,12/14/2018,12/17/2018,USD
09/13/2018,Cash,$0.375,N/A,09/14/2018,09/17/2018,USD
06/13/2018,Cash,$0.375,N/A,06/14/2018,06/15/2018,USD
03/13/2018,Cash,$0.375,N/A,03/14/2018,03/15/2018,USD
12/13/2017,Cash,$0.375,N/A,12/14/2017,12/15/2017,USD
09/13/2017,Cash,$0.375,N/A,09/14/2017,09/15/2017,USD
06/12/2017,Cash,$0.375,N/A,06/14/2017,06/15/2017,USD
03/10/2017,Cash,$0.375,N/A,03/14/2017,03/15/2017,USD
12/12/2016,Cash,$0.375,N/A,12/14/2016,12/15/2016,USD
09/12/2016,Cash,$0.375,N/A,09/14/2016,09/15/2016,USD
06/10/2016,Cash,$0.375,N/A,06/14/2016,06/15/2016,USD
03/10/2016,Cash,$0.375,N/A,03/14/2016,03/15/2016,USD
12/10/2015,Cash,$0.375,N/A,12/14/2015,12/15/2015,USD
09/10/2015,Cash,$0.375,N/A,09/14/2015,09/15/2015,USD
06/10/2015,Cash,$0.375,N/A,06/12/2015,06/15/2015,USD
02/25/2015,Cash,$0.375,N/A,02/28/2015,03/16/2015,USD
11/25/2014,Cash,$0.375,N/A,11/30/2014,12/15/2014,USD
08/27/2014,Cash,$0.375,N/A,08/31/2014,09/15/2014,USD
05/28/2014,Cash,$0.375,N/A,05/31/2014,06/16/2014,USD
02/26/2014,Cash,$0.375,N/A,02/28/2014,03/17/2014,USD
11/28/2011,Cash,$0.375,10/14/2011,11/30/2011,12/15/2011,USD
08/29/2011,Cash,$0.375,08/10/2011,08/31/2011,09/15/2011,USD
05/26/2011,Cash,$0.375,05/11/2011,05/31/2011,06/15/2011,USD
02/24/2011,Cash,$0.375,02/15/2011,02/28/2011,03/15/2011,USD
11/26/2010,Cash,$0.375,11/11/2010,11/30/2010,12/15/2010,USD
08/27/2010,Cash,$0.375,08/11/2010,08/31/2010,09/15/2010,USD
05/26/2010,Cash,$0.375,05/13/2010,05/28/2010,06/15/2010,USD
02/24/2010,Cash,$0.375,02/12/2010,02/26/2010,03/15/2010,USD
11/25/2009,Cash,$0.375,11/11/2009,11/30/2009,12/15/2009,USD
08/27/2009,Cash,$0.375,08/10/2009,08/31/2009,09/15/2009,USD
05/27/2009,Cash,$0.375,05/05/2009,05/29/2009,06/15/2009,USD
02/25/2009,Cash,$0.375,02/04/2009,02/27/2009,03/16/2009,USD
11/25/2008,Cash,$0.375,11/11/2008,11/30/2008,12/15/2008,USD
08/27/2008,Cash,$0.375,08/11/2008,08/31/2008,09/15/2008,USD
05/28/2008,Cash,$0.375,05/06/2008,06/01/2008,06/16/2008,USD
02/27/2008,Cash,$0.375,02/07/2008,03/02/2008,03/17/2008,USD
11/28/2007,Cash,$0.375,11/07/2007,12/02/2007,12/17/2007,USD
08/29/2007,Cash,$0.375,07/30/2007,09/02/2007,09/17/2007,USD
05/29/2007,Cash,$0.375,05/09/2007,05/31/2007,06/15/2007,USD
02/26/2007,Cash,$0.375,02/07/2007,02/28/2007,03/15/2007,USD
11/28/2006,Cash,$0.375,10/30/2006,11/30/2006,12/15/2006,USD
08/29/2006,Cash,$0.375,08/08/2006,08/31/2006,09/15/2006,USD
05/26/2006,Cash,$0.375,05/12/2006,05/31/2006,06/15/2006,USD
02/24/2006,Cash,$0.375,02/09/2006,02/28/2006,03/15/2006,USD
11/28/2005,Cash,$0.375,11/08/2005,11/30/2005,12/15/2005,USD
08/29/2005,Cash,$0.375,08/02/2005,08/31/2005,09/15/2005,USD
05/26/2005,Cash,$0.375,05/11/2005,05/31/2005,06/15/2005,USD
02/24/2005,Cash,$0.375,02/08/2005,02/28/2005,03/15/2005,USD
11/26/2004,Cash,$0.375,11/11/2004,11/30/2004,12/15/2004,USD
08/27/2004,Cash,$0.375,08/12/2004,08/31/2004,09/15/2004,USD
N/A,Cash,$0.375,N/A,12/14/2021,12/15/2021,USD
N/A,Cash,$0.375,N/A,12/14/2022,12/15/2022,USD
