Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
09/30/2025,Cash,$0.43750001,N/A,09/30/2025,10/15/2025,USD
06/30/2025,Cash,$0.43750001,N/A,06/30/2025,07/15/2025,USD
03/31/2025,Cash,$0.43750001,N/A,03/31/2025,04/15/2025,USD
12/31/2024,Cash,$0.43750001,N/A,12/31/2024,01/15/2025,USD
09/30/2024,Cash,$0.43750001,N/A,09/30/2024,10/15/2024,USD
07/01/2024,Cash,$0.43750001,N/A,07/01/2024,07/15/2024,USD
03/28/2024,Cash,$0.43750001,N/A,04/01/2024,04/15/2024,USD
12/29/2023,Cash,$0.43750001,N/A,01/02/2024,01/16/2024,USD
09/29/2023,Cash,$0.43750001,N/A,10/02/2023,10/16/2023,USD
06/29/2023,Cash,$0.43750001,N/A,06/30/2023,07/17/2023,USD
03/30/2023,Cash,$0.43750001,N/A,03/31/2023,04/17/2023,USD
12/30/2022,Cash,$0.43750001,N/A,01/03/2023,01/17/2023,USD
09/29/2022,Cash,$0.43750001,N/A,09/30/2022,10/17/2022,USD
06/29/2022,Cash,$0.43750001,N/A,06/30/2022,07/15/2022,USD
03/30/2022,Cash,$0.43750001,N/A,03/31/2022,04/15/2022,USD
12/30/2021,Cash,$0.43750001,N/A,12/31/2021,01/18/2022,USD
09/29/2021,Cash,$0.43750001,N/A,09/30/2021,10/15/2021,USD
06/29/2021,Cash,$0.43750001,N/A,06/30/2021,07/15/2021,USD
03/30/2021,Cash,$0.43750001,N/A,03/31/2021,04/15/2021,USD
12/30/2020,Cash,$0.43750001,N/A,12/31/2020,01/15/2021,USD
