Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/20/2025,Cash,$0.75,10/23/2025,11/20/2025,12/04/2025,USD
08/21/2025,Cash,$0.75,07/22/2025,08/21/2025,09/04/2025,USD
05/22/2025,Cash,$0.70,04/24/2025,05/22/2025,06/05/2025,USD
02/20/2025,Cash,$0.70,01/23/2025,02/20/2025,03/06/2025,USD
11/21/2024,Cash,$0.70,10/24/2024,11/21/2024,12/05/2024,USD
08/22/2024,Cash,$0.70,07/25/2024,08/22/2024,09/05/2024,USD
05/22/2024,Cash,$0.65,04/25/2024,05/23/2024,06/06/2024,USD
02/21/2024,Cash,$0.65,01/25/2024,02/22/2024,03/07/2024,USD
11/21/2023,Cash,$0.65,10/25/2023,11/23/2023,12/07/2023,USD
08/23/2023,Cash,$0.65,07/27/2023,08/24/2023,09/07/2023,USD
05/24/2023,Cash,$0.60,04/26/2023,05/25/2023,06/08/2023,USD
02/22/2023,Cash,$0.60,01/26/2023,02/23/2023,03/09/2023,USD
11/22/2022,Cash,$0.60,10/27/2022,11/24/2022,12/08/2022,USD
08/24/2022,Cash,$0.60,07/28/2022,08/25/2022,09/08/2022,USD
05/25/2022,Cash,$0.53,04/28/2022,05/26/2022,06/09/2022,USD
02/23/2022,Cash,$0.53,02/01/2022,02/24/2022,03/10/2022,USD
11/17/2021,Cash,$0.53,10/27/2021,11/18/2021,12/02/2021,USD
08/18/2021,Cash,$0.53,07/28/2021,08/19/2021,09/02/2021,USD
05/19/2021,Cash,$0.48,04/28/2021,05/20/2021,06/03/2021,USD
02/17/2021,Cash,$0.48,01/21/2021,02/18/2021,03/04/2021,USD
11/18/2020,Cash,$0.48,10/23/2020,11/19/2020,12/03/2020,USD
08/19/2020,Cash,$0.48,07/22/2020,08/20/2020,09/03/2020,USD
05/20/2020,Cash,$0.48,04/23/2020,05/21/2020,06/04/2020,USD
02/19/2020,Cash,$0.48,01/24/2020,02/20/2020,03/05/2020,USD
11/20/2019,Cash,$0.48,10/25/2019,11/21/2019,12/05/2019,USD
08/21/2019,Cash,$0.48,07/31/2019,08/22/2019,09/05/2019,USD
05/22/2019,Cash,$0.43,04/25/2019,05/23/2019,06/06/2019,USD
02/20/2019,Cash,$0.43,01/25/2019,02/21/2019,03/07/2019,USD
11/20/2018,Cash,$0.43,10/26/2018,11/21/2018,12/06/2018,USD
08/22/2018,Cash,$0.43,N/A,08/23/2018,09/06/2018,USD
05/23/2018,Cash,$0.37,05/02/2018,05/24/2018,06/07/2018,USD
02/21/2018,Cash,$0.37,01/31/2018,02/22/2018,03/08/2018,USD
11/21/2017,Cash,$0.37,11/01/2017,11/22/2017,12/07/2017,USD
08/22/2017,Cash,$0.37,08/02/2017,08/24/2017,09/07/2017,USD
05/23/2017,Cash,$0.33,05/03/2017,05/25/2017,06/08/2017,USD
02/21/2017,Cash,$0.33,01/27/2017,02/23/2017,03/09/2017,USD
11/21/2016,Cash,$0.33,10/21/2016,11/23/2016,12/08/2016,USD
08/23/2016,Cash,$0.33,07/21/2016,08/25/2016,09/08/2016,USD
05/24/2016,Cash,$0.29,04/22/2016,05/26/2016,06/09/2016,USD
02/23/2016,Cash,$0.29,01/29/2016,02/25/2016,03/10/2016,USD
11/17/2015,Cash,$0.29,10/23/2015,11/19/2015,12/03/2015,USD
08/18/2015,Cash,$0.29,07/24/2015,08/20/2015,09/03/2015,USD
05/19/2015,Cash,$0.25,04/24/2015,05/21/2015,06/04/2015,USD
02/11/2015,Cash,$0.25,01/30/2015,02/13/2015,03/05/2015,USD
11/18/2014,Cash,$0.25,10/24/2014,11/20/2014,12/04/2014,USD
08/19/2014,Cash,$0.25,07/25/2014,08/21/2014,09/04/2014,USD
05/20/2014,Cash,$0.22,04/25/2014,05/22/2014,06/05/2014,USD
02/14/2014,Cash,$0.22,01/31/2014,02/19/2014,03/06/2014,USD
11/18/2013,Cash,$0.22,10/25/2013,11/20/2013,12/05/2013,USD
08/19/2013,Cash,$0.22,07/26/2013,08/21/2013,09/05/2013,USD
