Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/03/2025,Cash,$1.50,10/27/2025,12/03/2025,12/17/2025,USD
09/04/2025,Cash,$1.50,07/29/2025,09/04/2025,09/18/2025,USD
06/04/2025,Cash,$1.50,04/28/2025,06/04/2025,06/18/2025,USD
03/13/2025,Cash,$1.50,02/25/2025,03/13/2025,03/27/2025,USD
12/03/2024,Cash,$1.39,10/28/2024,12/03/2024,12/17/2024,USD
09/04/2024,Cash,$1.39,07/30/2024,09/04/2024,09/18/2024,USD
06/04/2024,Cash,$1.39,04/29/2024,06/04/2024,06/18/2024,USD
03/13/2024,Cash,$1.39,02/27/2024,03/14/2024,03/28/2024,USD
12/01/2023,Cash,$1.275,10/23/2023,12/04/2023,12/18/2023,USD
09/01/2023,Cash,$1.275,07/24/2023,09/05/2023,09/19/2023,USD
06/01/2023,Cash,$1.275,04/24/2023,06/02/2023,06/16/2023,USD
03/13/2023,Cash,$1.275,02/28/2023,03/14/2023,03/28/2023,USD
