Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
10/24/2025,Cash,$0.50,10/14/2025,10/25/2025,11/05/2025,USD
07/25/2025,Cash,$0.50,07/08/2025,07/25/2025,08/05/2025,USD
04/25/2025,Cash,$0.50,04/08/2025,04/25/2025,05/05/2025,USD
01/24/2025,Cash,$0.50,01/14/2025,01/25/2025,02/05/2025,USD
10/25/2024,Cash,$0.48,10/08/2024,10/25/2024,11/05/2024,USD
07/25/2024,Cash,$0.48,07/09/2024,07/25/2024,08/05/2024,USD
04/24/2024,Cash,$0.48,04/09/2024,04/25/2024,05/06/2024,USD
01/24/2024,Cash,$0.48,01/09/2024,01/25/2024,02/05/2024,USD
10/24/2023,Cash,$0.46,10/10/2023,10/25/2023,11/06/2023,USD
07/24/2023,Cash,$0.46,07/11/2023,07/25/2023,08/07/2023,USD
04/24/2023,Cash,$0.46,04/11/2023,04/25/2023,05/05/2023,USD
01/24/2023,Cash,$0.46,01/10/2023,01/25/2023,02/06/2023,USD
10/24/2022,Cash,$0.40,10/11/2022,10/25/2022,11/07/2022,USD
07/22/2022,Cash,$0.40,07/12/2022,07/25/2022,08/05/2022,USD
04/22/2022,Cash,$0.40,04/12/2022,04/25/2022,05/05/2022,USD
01/24/2022,Cash,$0.40,01/11/2022,01/25/2022,02/07/2022,USD
10/22/2021,Cash,$0.34,10/12/2021,10/25/2021,11/05/2021,USD
07/22/2021,Cash,$0.34,07/13/2021,07/25/2021,08/05/2021,USD
04/22/2021,Cash,$0.34,04/13/2021,04/25/2021,05/05/2021,USD
01/22/2021,Cash,$0.34,01/12/2021,01/25/2021,02/05/2021,USD
10/22/2020,Cash,$0.30,10/13/2020,10/25/2020,11/05/2020,USD
07/23/2020,Cash,$0.30,07/14/2020,07/25/2020,08/05/2020,USD
04/23/2020,Cash,$0.30,04/14/2020,04/25/2020,05/05/2020,USD
01/23/2020,Cash,$0.30,01/14/2020,01/25/2020,02/05/2020,USD
10/24/2019,Cash,$0.30,10/08/2019,10/25/2019,11/05/2019,USD
07/24/2019,Cash,$0.30,07/09/2019,07/25/2019,08/05/2019,USD
04/24/2019,Cash,$0.30,04/09/2019,04/25/2019,05/06/2019,USD
01/24/2019,Cash,$0.26,01/08/2019,01/25/2019,02/05/2019,USD
10/24/2018,Cash,$0.26,10/09/2018,10/25/2018,11/05/2018,USD
07/24/2018,Cash,$0.26,07/10/2018,07/25/2018,08/06/2018,USD
04/24/2018,Cash,$0.26,04/10/2018,04/25/2018,05/07/2018,USD
01/24/2018,Cash,$0.22,01/09/2018,01/25/2018,02/05/2018,USD
10/24/2017,Cash,$0.22,10/10/2017,10/25/2017,11/06/2017,USD
07/21/2017,Cash,$0.22,07/11/2017,07/25/2017,08/07/2017,USD
04/21/2017,Cash,$0.22,04/11/2017,04/25/2017,05/05/2017,USD
01/23/2017,Cash,$0.19,01/10/2017,01/25/2017,02/06/2017,USD
10/21/2016,Cash,$0.19,10/11/2016,10/25/2016,11/07/2016,USD
07/21/2016,Cash,$0.28,07/12/2016,07/25/2016,08/05/2016,USD
04/21/2016,Cash,$0.28,04/12/2016,04/25/2016,05/05/2016,USD
01/21/2016,Cash,$0.245,01/12/2016,01/25/2016,02/05/2016,USD
10/21/2015,Cash,$0.245,10/13/2015,10/25/2015,11/05/2015,USD
07/22/2015,Cash,$0.245,07/14/2015,07/25/2015,08/05/2015,USD
04/22/2015,Cash,$0.245,04/14/2015,04/25/2015,05/05/2015,USD
01/21/2015,Cash,$0.21,01/13/2015,01/25/2015,02/05/2015,USD
10/22/2014,Cash,$0.21,10/14/2014,10/25/2014,11/05/2014,USD
07/23/2014,Cash,$0.21,07/08/2014,07/25/2014,08/05/2014,USD
04/23/2014,Cash,$0.21,04/08/2014,04/25/2014,05/05/2014,USD
01/22/2014,Cash,$0.19,01/14/2014,01/25/2014,02/05/2014,USD
10/23/2013,Cash,$0.19,10/08/2013,10/25/2013,11/05/2013,USD
07/23/2013,Cash,$0.19,07/09/2013,07/25/2013,08/05/2013,USD
04/08/2003,Cash,$0.19,N/A,04/08/2003,N/A,USD
01/08/2003,Cash,$0.17,N/A,01/08/2003,N/A,USD
10/08/2002,Cash,$0.17,N/A,10/08/2002,N/A,USD
07/08/2002,Cash,$0.17,N/A,07/08/2002,N/A,USD
04/08/2002,Cash,$0.17,N/A,04/08/2002,N/A,USD
01/08/2002,Cash,$0.15,N/A,01/08/2002,N/A,USD
10/05/2001,Cash,$0.15,N/A,10/05/2001,N/A,USD
07/06/2001,Cash,$0.15,N/A,07/06/2001,N/A,USD
04/06/2001,Cash,$0.15,N/A,04/06/2001,N/A,USD
01/08/2001,Cash,$0.13,N/A,01/08/2001,N/A,USD
10/05/2000,Cash,$0.13,N/A,10/05/2000,N/A,USD
07/06/2000,Cash,$0.13,N/A,07/06/2000,N/A,USD
04/06/2000,Cash,$0.13,N/A,04/06/2000,N/A,USD
01/06/2000,Cash,$0.11,N/A,01/06/2000,N/A,USD
10/06/1999,Cash,$0.11,N/A,10/06/1999,N/A,USD
07/07/1999,Cash,$0.11,N/A,07/07/1999,N/A,USD
04/07/1999,Cash,$0.11,N/A,04/07/1999,N/A,USD
01/06/1999,Cash,$0.09,N/A,01/06/1999,N/A,USD
10/07/1998,Cash,$0.09,N/A,10/07/1998,N/A,USD
07/08/1998,Cash,$0.09,N/A,07/08/1998,N/A,USD
01/07/1998,Cash,$0.15,N/A,01/07/1998,N/A,USD
10/08/1997,Cash,$0.15,N/A,10/08/1997,N/A,USD
