Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/03/2025,Cash,$0.26,11/05/2025,12/03/2025,01/07/2026,USD
09/24/2025,Cash,$0.26,08/26/2025,09/24/2025,10/15/2025,USD
06/18/2025,Cash,$0.23,05/20/2025,06/18/2025,07/09/2025,USD
03/05/2025,Cash,$0.23,02/05/2025,03/05/2025,04/09/2025,USD
12/11/2024,Cash,$0.23,11/06/2024,12/11/2024,01/08/2025,USD
09/17/2024,Cash,$2.30,08/28/2024,09/17/2024,10/01/2024,USD
06/18/2024,Cash,$2.00,05/15/2024,06/18/2024,07/10/2024,USD
03/12/2024,Cash,$2.00,02/07/2024,03/13/2024,04/03/2024,USD
12/12/2023,Cash,$2.00,11/08/2023,12/13/2023,01/03/2024,USD
09/12/2023,Cash,$2.00,08/23/2023,09/13/2023,10/04/2023,USD
06/13/2023,Cash,$1.725,05/10/2023,06/14/2023,07/05/2023,USD
03/14/2023,Cash,$1.725,02/08/2023,03/15/2023,04/05/2023,USD
12/13/2022,Cash,$1.725,11/09/2022,12/14/2022,01/04/2023,USD
09/13/2022,Cash,$1.725,08/24/2022,09/14/2022,10/05/2022,USD
06/14/2022,Cash,$1.50,05/11/2022,06/15/2022,07/06/2022,USD
03/15/2022,Cash,$1.50,02/09/2022,03/16/2022,04/06/2022,USD
12/14/2021,Cash,$1.50,11/10/2021,12/15/2021,01/05/2022,USD
09/27/2021,Cash,$1.50,08/25/2021,09/28/2021,10/13/2021,USD
06/15/2021,Cash,$1.30,05/12/2021,06/16/2021,07/07/2021,USD
03/16/2021,Cash,$1.30,02/05/2021,03/17/2021,04/07/2021,USD
12/08/2020,Cash,$1.30,11/04/2020,12/09/2020,01/06/2021,USD
09/29/2020,Cash,$1.30,08/26/2020,09/30/2020,10/14/2020,USD
06/16/2020,Cash,$1.15,05/12/2020,06/17/2020,07/08/2020,USD
03/24/2020,Cash,$1.15,02/20/2020,03/25/2020,04/08/2020,USD
12/10/2019,Cash,$1.15,11/06/2019,12/11/2019,01/08/2020,USD
09/30/2019,Cash,$1.15,08/28/2019,10/01/2019,10/16/2019,USD
06/11/2019,Cash,$1.10,05/08/2019,06/12/2019,07/10/2019,USD
03/19/2019,Cash,$1.10,02/12/2019,03/20/2019,04/10/2019,USD
12/04/2018,Cash,$1.10,11/07/2018,12/05/2018,12/26/2018,USD
09/11/2018,Cash,$1.10,08/29/2018,09/12/2018,09/26/2018,USD
06/05/2018,Cash,$1.10,05/16/2018,06/06/2018,06/27/2018,USD
03/06/2018,Cash,$0.50,02/07/2018,03/07/2018,03/28/2018,USD
12/05/2017,Cash,$0.50,11/09/2017,12/06/2017,01/10/2018,USD
09/12/2017,Cash,$0.45,08/04/2017,09/13/2017,10/04/2017,USD
06/05/2017,Cash,$0.45,05/11/2017,06/07/2017,06/28/2017,USD
03/06/2017,Cash,$0.45,02/08/2017,03/08/2017,03/29/2017,USD
12/12/2016,Cash,$0.45,11/17/2016,12/14/2016,01/04/2017,USD
09/12/2016,Cash,$0.30,08/31/2016,09/14/2016,09/28/2016,USD
06/06/2016,Cash,$0.30,05/12/2016,06/08/2016,06/29/2016,USD
03/07/2016,Cash,$0.30,02/18/2016,03/09/2016,04/06/2016,USD
12/07/2015,Cash,$0.30,11/05/2015,12/09/2015,01/06/2016,USD
09/04/2015,Cash,$0.30,08/26/2015,09/09/2015,09/30/2015,USD
06/08/2015,Cash,$0.30,05/14/2015,06/10/2015,07/01/2015,USD
03/09/2015,Cash,$0.18,02/10/2015,03/11/2015,04/01/2015,USD
12/08/2014,Cash,$0.18,11/07/2014,12/10/2014,01/07/2015,USD
09/08/2014,Cash,$0.18,08/27/2014,09/10/2014,10/01/2014,USD
06/09/2014,Cash,$0.18,04/28/2014,06/11/2014,07/02/2014,USD
