Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/18/2025,Cash,$0.40,10/27/2025,11/18/2025,12/09/2025,USD
08/19/2025,Cash,$0.40,07/28/2025,08/19/2025,09/09/2025,USD
06/05/2025,Cash,$0.40,05/12/2025,06/05/2025,06/24/2025,USD
02/18/2025,Cash,$0.36,01/21/2025,02/18/2025,03/11/2025,USD
01/07/2025,Cash,$2.00,12/09/2024,01/07/2025,01/21/2025,USD
11/19/2024,Cash,$0.36,10/28/2024,11/19/2024,12/10/2024,USD
08/20/2024,Cash,$0.36,07/29/2024,08/20/2024,09/10/2024,USD
05/07/2024,Cash,$0.33,04/23/2024,05/08/2024,05/24/2024,USD
02/09/2024,Cash,$0.33,01/23/2024,02/12/2024,03/08/2024,USD
01/02/2024,Cash,$2.00,12/04/2023,01/03/2024,01/19/2024,USD
11/06/2023,Cash,$0.33,10/23/2023,11/07/2023,12/01/2023,USD
08/09/2023,Cash,$0.33,07/24/2023,08/10/2023,08/25/2023,USD
05/03/2023,Cash,$0.30,04/24/2023,05/04/2023,05/26/2023,USD
02/10/2023,Cash,$0.30,01/27/2023,02/13/2023,03/10/2023,USD
01/05/2023,Cash,$2.00,12/06/2022,01/06/2023,01/20/2023,USD
11/07/2022,Cash,$0.30,10/18/2022,11/08/2022,12/02/2022,USD
08/05/2022,Cash,$0.30,07/19/2022,08/08/2022,08/26/2022,USD
05/04/2022,Cash,$0.25,04/19/2022,05/05/2022,05/27/2022,USD
02/11/2022,Cash,$0.25,01/19/2022,02/14/2022,03/11/2022,USD
01/06/2022,Cash,$2.00,12/07/2021,01/07/2022,01/21/2022,USD
11/08/2021,Cash,$0.25,10/19/2021,11/09/2021,12/03/2021,USD
08/06/2021,Cash,$0.25,07/20/2021,08/09/2021,08/27/2021,USD
05/05/2021,Cash,$0.21,04/20/2021,05/06/2021,05/28/2021,USD
02/11/2021,Cash,$0.21,01/20/2021,02/15/2021,03/12/2021,USD
01/07/2021,Cash,$2.00,12/08/2020,01/08/2021,01/22/2021,USD
11/09/2020,Cash,$0.21,10/20/2020,11/10/2020,12/04/2020,USD
08/07/2020,Cash,$0.21,07/21/2020,08/10/2020,08/28/2020,USD
05/06/2020,Cash,$0.185,04/21/2020,05/07/2020,05/29/2020,USD
02/13/2020,Cash,$0.185,01/24/2020,02/17/2020,03/13/2020,USD
01/09/2020,Cash,$2.00,12/09/2019,01/10/2020,01/24/2020,USD
11/08/2019,Cash,$0.185,10/21/2019,11/12/2019,12/06/2019,USD
08/09/2019,Cash,$0.185,07/23/2019,08/12/2019,08/30/2019,USD
05/08/2019,Cash,$0.165,04/23/2019,05/09/2019,05/31/2019,USD
02/14/2019,Cash,$0.165,01/23/2019,02/18/2019,03/15/2019,USD
11/09/2018,Cash,$0.165,10/23/2018,11/13/2018,12/07/2018,USD
08/10/2018,Cash,$0.165,07/24/2018,08/13/2018,08/31/2018,USD
05/09/2018,Cash,$0.15,04/24/2018,05/10/2018,06/01/2018,USD
02/15/2018,Cash,$0.15,01/30/2018,02/19/2018,03/16/2018,USD
01/11/2018,Cash,$1.50,12/11/2017,01/12/2018,01/26/2018,USD
11/13/2017,Cash,$0.10,10/24/2017,11/14/2017,12/08/2017,USD
08/10/2017,Cash,$0.10,07/25/2017,08/14/2017,09/01/2017,USD
05/09/2017,Cash,$0.09,04/25/2017,05/11/2017,06/02/2017,USD
02/15/2017,Cash,$0.09,01/31/2017,02/20/2017,03/17/2017,USD
11/04/2016,Cash,$0.09,10/17/2016,11/08/2016,12/02/2016,USD
08/04/2016,Cash,$0.09,07/19/2016,08/08/2016,08/26/2016,USD
05/03/2016,Cash,$0.08,04/19/2016,05/05/2016,05/27/2016,USD
02/10/2016,Cash,$0.08,01/27/2016,02/15/2016,03/11/2016,USD
11/06/2015,Cash,$0.08,10/21/2015,11/10/2015,12/04/2015,USD
08/06/2015,Cash,$0.08,07/22/2015,08/10/2015,08/28/2015,USD
05/05/2015,Cash,$0.07,04/22/2015,05/07/2015,05/29/2015,USD
02/11/2015,Cash,$0.07,01/27/2015,02/16/2015,03/13/2015,USD
01/08/2015,Cash,$1.00,12/03/2014,01/12/2015,01/26/2015,USD
11/06/2014,Cash,$0.07,10/22/2014,11/11/2014,12/05/2014,USD
08/07/2014,Cash,$0.07,07/22/2014,08/11/2014,08/29/2014,USD
05/06/2014,Cash,$0.06,04/23/2014,05/08/2014,05/30/2014,USD
02/13/2014,Cash,$0.06,01/29/2014,02/18/2014,03/14/2014,USD
12/24/2013,Cash,$0.35,12/10/2013,12/27/2013,01/16/2014,USD
