Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/15/2025,Cash,$0.10,11/19/2025,12/15/2025,01/02/2026,USD
09/15/2025,Cash,$0.10,08/21/2025,09/15/2025,10/01/2025,USD
06/13/2025,Cash,$0.10,05/15/2025,06/13/2025,07/01/2025,USD
03/14/2025,Cash,$0.10,02/20/2025,03/14/2025,04/01/2025,USD
12/13/2024,Cash,$0.09,11/20/2024,12/13/2024,01/02/2025,USD
09/13/2024,Cash,$0.09,08/15/2024,09/13/2024,10/01/2024,USD
06/14/2024,Cash,$0.09,05/16/2024,06/14/2024,07/01/2024,USD
03/14/2024,Cash,$0.09,02/14/2024,03/15/2024,04/01/2024,USD
12/14/2023,Cash,$0.08,11/15/2023,12/15/2023,01/02/2024,USD
09/14/2023,Cash,$0.08,08/17/2023,09/15/2023,10/02/2023,USD
06/14/2023,Cash,$0.08,05/18/2023,06/15/2023,07/03/2023,USD
03/14/2023,Cash,$0.08,02/16/2023,03/15/2023,04/03/2023,USD
12/14/2022,Cash,$0.07,11/16/2022,12/15/2022,01/03/2023,USD
09/14/2022,Cash,$0.07,08/18/2022,09/15/2022,10/03/2022,USD
06/14/2022,Cash,$0.07,05/19/2022,06/15/2022,07/01/2022,USD
03/14/2022,Cash,$0.07,02/17/2022,03/15/2022,04/01/2022,USD
12/14/2021,Cash,$0.09,11/17/2021,12/15/2021,01/03/2022,USD
09/14/2021,Cash,$0.09,08/19/2021,09/15/2021,10/01/2021,USD
06/14/2021,Cash,$0.09,05/20/2021,06/15/2021,07/01/2021,USD
03/12/2021,Cash,$0.09,02/18/2021,03/15/2021,04/01/2021,USD
12/14/2020,Cash,$0.08,11/18/2020,12/15/2020,01/04/2021,USD
09/14/2020,Cash,$0.08,08/20/2020,09/15/2020,10/01/2020,USD
06/12/2020,Cash,$0.08,05/21/2020,06/15/2020,07/01/2020,USD
03/12/2020,Cash,$0.08,02/20/2020,03/13/2020,04/01/2020,USD
12/12/2019,Cash,$0.07,11/20/2019,12/13/2019,01/02/2020,USD
09/12/2019,Cash,$0.07,08/15/2019,09/15/2019,09/30/2019,USD
06/13/2019,Cash,$0.07,05/16/2019,06/15/2019,07/01/2019,USD
03/14/2019,Cash,$0.07,02/21/2019,03/15/2019,04/01/2019,USD
12/13/2018,Cash,$0.06,11/14/2018,12/14/2018,12/31/2018,USD
09/13/2018,Cash,$0.06,08/16/2018,09/15/2018,10/01/2018,USD
06/14/2018,Cash,$0.06,06/05/2018,06/15/2018,07/02/2018,USD
03/14/2018,Cash,$0.06,02/22/2018,03/15/2018,04/02/2018,USD
12/14/2017,Cash,$0.05,11/18/2017,12/15/2017,01/02/2018,USD
