Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
10/17/2025,Cash,$0.485,09/19/2025,10/17/2025,10/31/2025,USD
07/17/2025,Cash,$0.485,06/04/2025,07/17/2025,07/31/2025,USD
04/16/2025,Cash,$0.485,02/19/2025,04/16/2025,04/30/2025,USD
01/17/2025,Cash,$0.475,12/12/2024,01/17/2025,01/31/2025,USD
10/17/2024,Cash,$0.475,09/09/2024,10/17/2024,10/31/2024,USD
07/17/2024,Cash,$0.475,06/05/2024,07/17/2024,07/31/2024,USD
04/15/2024,Cash,$0.475,02/21/2024,04/16/2024,04/30/2024,USD
01/16/2024,Cash,$0.465,12/07/2023,01/17/2024,01/31/2024,USD
10/16/2023,Cash,$0.465,09/15/2023,10/17/2023,10/31/2023,USD
07/14/2023,Cash,$0.465,06/07/2023,07/17/2023,07/31/2023,USD
04/13/2023,Cash,$0.465,02/22/2023,04/14/2023,04/28/2023,USD
01/13/2023,Cash,$0.455,12/08/2022,01/17/2023,01/31/2023,USD
10/14/2022,Cash,$0.455,09/15/2022,10/17/2022,10/31/2022,USD
07/14/2022,Cash,$0.455,06/08/2022,07/15/2022,07/29/2022,USD
04/13/2022,Cash,$0.455,02/23/2022,04/15/2022,04/29/2022,USD
01/13/2022,Cash,$0.435,12/09/2021,01/17/2022,01/31/2022,USD
10/14/2021,Cash,$0.435,09/16/2021,10/15/2021,10/29/2021,USD
07/15/2021,Cash,$0.435,06/09/2021,07/16/2021,07/30/2021,USD
04/14/2021,Cash,$0.435,02/23/2021,04/15/2021,04/30/2021,USD
01/14/2021,Cash,$0.42,12/10/2020,01/15/2021,01/29/2021,USD
10/15/2020,Cash,$0.42,09/18/2020,10/16/2020,10/30/2020,USD
07/16/2020,Cash,$0.42,06/03/2020,07/17/2020,07/31/2020,USD
04/14/2020,Cash,$0.42,02/25/2020,04/15/2020,04/30/2020,USD
01/16/2020,Cash,$0.375,12/04/2019,01/17/2020,01/31/2020,USD
10/16/2019,Cash,$0.375,09/19/2019,10/17/2019,10/31/2019,USD
07/16/2019,Cash,$0.375,06/05/2019,07/17/2019,07/31/2019,USD
04/12/2019,Cash,$0.375,02/26/2019,04/15/2019,04/30/2019,USD
01/16/2019,Cash,$0.34,12/05/2018,01/17/2019,01/31/2019,USD
10/16/2018,Cash,$0.34,09/20/2018,10/17/2018,10/31/2018,USD
07/16/2018,Cash,$0.34,06/06/2018,07/17/2018,07/31/2018,USD
04/13/2018,Cash,$0.34,02/27/2018,04/16/2018,04/30/2018,USD
01/16/2018,Cash,$0.26,12/06/2017,01/17/2018,01/31/2018,USD
10/16/2017,Cash,$0.26,09/20/2017,10/17/2017,10/31/2017,USD
