Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/28/2025,Cash,$0.1875,10/14/2025,11/29/2025,01/15/2026,USD
08/29/2025,Cash,$0.1875,07/15/2025,08/31/2025,10/15/2025,USD
05/30/2025,Cash,$0.1875,04/15/2025,06/01/2025,07/15/2025,USD
02/28/2025,Cash,$0.1875,01/14/2025,03/01/2025,04/15/2025,USD
11/29/2024,Cash,$0.1875,10/15/2024,11/30/2024,01/15/2025,USD
08/30/2024,Cash,$0.1875,07/16/2024,08/31/2024,10/15/2024,USD
05/31/2024,Cash,$0.1875,04/16/2024,06/01/2024,07/15/2024,USD
02/29/2024,Cash,$0.1875,01/16/2024,03/02/2024,04/15/2024,USD
11/30/2023,Cash,$0.1875,10/17/2023,12/02/2023,01/15/2024,USD
08/31/2023,Cash,$0.1875,07/18/2023,09/02/2023,10/16/2023,USD
06/01/2023,Cash,$0.1875,04/18/2023,06/03/2023,07/15/2023,USD
03/02/2023,Cash,$0.1875,01/20/2023,03/04/2023,04/15/2023,USD
12/01/2022,Cash,$0.1875,10/18/2022,12/03/2022,01/15/2023,USD
09/01/2022,Cash,$0.1875,07/12/2022,09/03/2022,10/15/2022,USD
05/26/2022,Cash,$0.1875,04/12/2022,05/28/2022,07/15/2022,USD
02/24/2022,Cash,$0.1875,01/14/2022,02/26/2022,04/15/2022,USD
11/24/2021,Cash,$0.1875,10/12/2021,11/27/2021,01/15/2022,USD
08/26/2021,Cash,$0.1875,07/12/2021,08/28/2021,10/15/2021,USD
05/27/2021,Cash,$0.1875,04/13/2021,05/29/2021,07/15/2021,USD
02/25/2021,Cash,$0.1875,01/14/2021,02/27/2021,04/15/2021,USD
11/25/2020,Cash,$0.1875,09/15/2020,11/28/2020,01/15/2021,USD
02/27/2020,Cash,$0.21,01/16/2020,02/29/2020,07/15/2020,USD
11/27/2019,Cash,$0.21,10/15/2019,12/01/2019,01/15/2020,USD
08/29/2019,Cash,$0.21,06/26/2019,08/31/2019,10/15/2019,USD
05/30/2019,Cash,$0.1975,04/09/2019,06/01/2019,07/15/2019,USD
02/28/2019,Cash,$0.1975,01/16/2019,03/02/2019,04/15/2019,USD
11/29/2018,Cash,$0.1975,10/08/2018,12/01/2018,01/15/2019,USD
08/30/2018,Cash,$0.1975,07/02/2018,09/01/2018,10/15/2018,USD
05/31/2018,Cash,$0.18,04/09/2018,06/02/2018,07/15/2018,USD
03/01/2018,Cash,$0.18,01/17/2018,03/03/2018,04/15/2018,USD
11/30/2017,Cash,$0.18,10/09/2017,12/02/2017,01/15/2018,USD
08/30/2017,Cash,$0.18,07/05/2017,09/02/2017,10/15/2017,USD
05/31/2017,Cash,$0.17,04/10/2017,06/03/2017,07/15/2017,USD
03/01/2017,Cash,$0.17,01/19/2017,03/04/2017,04/15/2017,USD
11/30/2016,Cash,$0.17,10/10/2016,12/03/2016,01/15/2017,USD
08/31/2016,Cash,$0.17,06/20/2016,09/03/2016,10/15/2016,USD
05/25/2016,Cash,$0.1475,04/11/2016,05/28/2016,07/15/2016,USD
02/24/2016,Cash,$0.1475,01/15/2016,02/27/2016,04/15/2016,USD
11/24/2015,Cash,$0.1475,10/12/2015,11/28/2015,01/15/2016,USD
08/26/2015,Cash,$0.1475,06/24/2015,08/29/2015,10/15/2015,USD
05/27/2015,Cash,$0.14,04/14/2015,05/30/2015,07/15/2015,USD
02/25/2015,Cash,$0.14,01/23/2015,02/28/2015,04/15/2015,USD
11/25/2014,Cash,$0.14,10/06/2014,11/28/2014,01/15/2015,USD
08/27/2014,Cash,$0.14,07/14/2014,08/29/2014,10/15/2014,USD
05/28/2014,Cash,$0.14,04/14/2014,05/31/2014,07/15/2014,USD
02/26/2014,Cash,$0.14,12/17/2013,03/01/2014,04/15/2014,USD
11/26/2013,Cash,$0.125,10/08/2013,11/30/2013,01/15/2014,USD
08/28/2013,Cash,$0.125,07/15/2013,08/31/2013,10/15/2013,USD
05/28/2003,Cash,$0.0362,N/A,05/28/2003,N/A,USD
02/26/2003,Cash,$0.0362,N/A,02/26/2003,N/A,USD
11/26/2002,Cash,$0.0362,N/A,11/26/2002,N/A,USD
08/28/2002,Cash,$0.0362,N/A,08/28/2002,N/A,USD
05/29/2002,Cash,$0.0362,N/A,05/29/2002,N/A,USD
02/27/2002,Cash,$0.0362,N/A,02/27/2002,N/A,USD
11/28/2001,Cash,$0.0362,N/A,11/28/2001,N/A,USD
08/29/2001,Cash,$0.0362,N/A,08/29/2001,N/A,USD
05/30/2001,Cash,$0.0362,N/A,05/30/2001,N/A,USD
02/28/2001,Cash,$0.0362,N/A,02/28/2001,N/A,USD
11/29/2000,Cash,$0.0362,N/A,11/29/2000,N/A,USD
08/30/2000,Cash,$0.0362,N/A,08/30/2000,N/A,USD
05/31/2000,Cash,$0.0363,N/A,05/31/2000,N/A,USD
03/01/2000,Cash,$0.0362,N/A,03/01/2000,N/A,USD
12/01/1999,Cash,$0.0362,N/A,12/01/1999,N/A,USD
09/01/1999,Cash,$0.0362,N/A,09/01/1999,N/A,USD
05/26/1999,Cash,$0.0362,N/A,05/26/1999,N/A,USD
02/24/1999,Cash,$0.0362,N/A,02/24/1999,N/A,USD
11/24/1998,Cash,$0.0362,N/A,11/24/1998,N/A,USD
08/26/1998,Cash,$0.0362,N/A,08/26/1998,N/A,USD
05/27/1998,Cash,$0.0362,N/A,05/27/1998,N/A,USD
02/25/1998,Cash,$0.0725,N/A,02/25/1998,N/A,USD
11/05/1997,Cash,$0.0725,N/A,11/05/1997,N/A,USD
08/27/1997,Cash,$0.0725,N/A,08/27/1997,N/A,USD
05/28/1997,Cash,$0.0725,N/A,05/28/1997,N/A,USD
02/26/1997,Cash,$0.13,N/A,02/26/1997,N/A,USD
11/26/1996,Cash,$0.13,N/A,11/26/1996,N/A,USD
08/28/1996,Cash,$0.13,N/A,08/28/1996,N/A,USD
05/29/1996,Cash,$0.13,N/A,05/29/1996,N/A,USD
02/28/1996,Cash,$0.13,N/A,02/28/1996,N/A,USD
12/14/1995,Cash,$0.13,N/A,12/14/1995,N/A,USD
08/30/1995,Cash,$0.13,N/A,08/30/1995,N/A,USD
05/26/1995,Cash,$0.13,N/A,05/26/1995,N/A,USD
02/27/1995,Cash,$0.13,N/A,02/27/1995,N/A,USD
11/28/1994,Cash,$0.13,N/A,11/28/1994,N/A,USD
08/29/1994,Cash,$0.13,N/A,08/29/1994,N/A,USD
05/23/1994,Cash,$0.13,N/A,05/23/1994,N/A,USD
02/18/1994,Cash,$0.13,N/A,02/18/1994,N/A,USD
11/19/1993,Cash,$0.13,N/A,11/19/1993,N/A,USD
08/23/1993,Cash,$0.13,N/A,08/23/1993,N/A,USD
05/24/1993,Cash,$0.13,N/A,05/24/1993,N/A,USD
02/22/1993,Cash,$0.13,N/A,02/22/1993,N/A,USD
11/20/1992,Cash,$0.13,N/A,11/20/1992,N/A,USD
05/22/1992,Cash,$0.13,N/A,05/22/1992,N/A,USD
02/24/1992,Cash,$0.13,N/A,02/24/1992,N/A,USD
11/22/1991,Cash,$0.13,N/A,11/22/1991,N/A,USD
08/26/1991,Cash,$0.13,N/A,08/26/1991,N/A,USD
05/24/1991,Cash,$0.13,N/A,05/24/1991,N/A,USD
02/25/1991,Cash,$0.13,N/A,02/25/1991,N/A,USD
