Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
10/03/2025,Cash,$0.115,09/23/2025,10/03/2025,10/21/2025,USD
07/07/2025,Cash,$0.115,06/25/2025,07/07/2025,07/22/2025,USD
03/31/2025,Cash,$0.115,03/20/2025,03/31/2025,04/15/2025,USD
12/30/2024,Cash,$0.115,12/18/2024,12/30/2024,01/15/2025,USD
10/07/2024,Cash,$0.115,09/25/2024,10/07/2024,10/23/2024,USD
07/08/2024,Cash,$0.115,06/26/2024,07/08/2024,07/23/2024,USD
03/28/2024,Cash,$0.115,03/20/2024,04/01/2024,04/16/2024,USD
12/29/2023,Cash,$0.115,12/20/2023,01/02/2024,01/18/2024,USD
10/06/2023,Cash,$0.115,09/27/2023,10/10/2023,10/25/2023,USD
07/07/2023,Cash,$0.115,06/28/2023,07/10/2023,07/25/2023,USD
04/06/2023,Cash,$0.115,03/28/2023,04/10/2023,04/25/2023,USD
12/30/2022,Cash,$0.115,12/19/2022,01/03/2023,01/19/2023,USD
10/07/2022,Cash,$0.115,09/29/2022,10/11/2022,10/26/2022,USD
07/08/2022,Cash,$0.115,06/30/2022,07/11/2022,07/26/2022,USD
04/08/2022,Cash,$0.10,03/29/2022,04/11/2022,04/26/2022,USD
12/31/2021,Cash,$0.10,12/17/2021,01/03/2022,01/18/2022,USD
09/30/2021,Cash,$0.10,08/02/2021,10/01/2021,10/18/2021,USD
