Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/05/2025,Cash,$0.16,11/12/2025,12/05/2025,12/19/2025,USD
09/05/2025,Cash,$0.16,08/14/2025,09/05/2025,09/19/2025,USD
06/06/2025,Cash,$0.16,05/08/2025,06/06/2025,06/20/2025,USD
03/07/2025,Cash,$0.16,02/21/2025,03/07/2025,03/21/2025,USD
12/06/2024,Cash,$0.16,11/13/2024,12/06/2024,12/20/2024,USD
09/06/2024,Cash,$0.16,N/A,09/06/2024,09/20/2024,USD
06/07/2024,Cash,$0.16,05/23/2024,06/07/2024,06/21/2024,USD
02/29/2024,Cash,$0.16,N/A,03/01/2024,03/15/2024,USD
11/30/2023,Cash,$0.16,11/15/2023,12/01/2023,12/15/2023,USD
08/31/2023,Cash,$0.16,08/09/2023,09/01/2023,09/15/2023,USD
06/01/2023,Cash,$0.16,05/25/2023,06/02/2023,06/16/2023,USD
03/02/2023,Cash,$0.16,02/23/2023,03/03/2023,03/17/2023,USD
12/01/2022,Cash,$0.16,11/16/2022,12/02/2022,12/16/2022,USD
09/01/2022,Cash,$0.16,08/10/2022,09/02/2022,09/16/2022,USD
06/02/2022,Cash,$0.16,05/18/2022,06/03/2022,06/17/2022,USD
03/03/2022,Cash,$0.16,02/24/2022,03/04/2022,03/18/2022,USD
12/02/2021,Cash,$0.16,11/17/2021,12/03/2021,12/17/2021,USD
09/02/2021,Cash,$0.16,08/12/2021,09/03/2021,09/17/2021,USD
06/03/2021,Cash,$0.16,05/20/2021,06/04/2021,06/18/2021,USD
03/04/2021,Cash,$0.16,02/04/2021,03/05/2021,03/19/2021,USD
12/03/2020,Cash,$0.16,11/12/2020,12/04/2020,12/18/2020,USD
09/03/2020,Cash,$0.16,08/06/2020,09/04/2020,09/18/2020,USD
06/04/2020,Cash,$0.16,05/21/2020,06/05/2020,06/19/2020,USD
03/05/2020,Cash,$0.16,02/06/2020,03/06/2020,03/20/2020,USD
12/05/2019,Cash,$0.16,11/14/2019,12/06/2019,12/20/2019,USD
09/05/2019,Cash,$0.16,08/08/2019,09/06/2019,09/20/2019,USD
06/06/2019,Cash,$0.16,05/22/2019,06/07/2019,06/21/2019,USD
02/28/2019,Cash,$0.16,02/05/2019,03/01/2019,03/15/2019,USD
12/06/2018,Cash,$0.16,11/08/2018,12/07/2018,12/21/2018,USD
09/06/2018,Cash,$0.16,08/09/2018,09/07/2018,09/21/2018,USD
05/31/2018,Cash,$0.16,04/04/2018,06/01/2018,06/15/2018,USD
03/01/2018,Cash,$0.16,02/05/2018,03/02/2018,03/16/2018,USD
11/30/2017,Cash,$0.16,11/14/2017,12/01/2017,12/15/2017,USD
08/30/2017,Cash,$0.16,08/10/2017,09/01/2017,09/15/2017,USD
05/31/2017,Cash,$0.16,04/04/2017,06/02/2017,06/16/2017,USD
03/01/2017,Cash,$0.16,02/06/2017,03/03/2017,03/17/2017,USD
11/30/2016,Cash,$0.16,10/06/2016,12/02/2016,12/16/2016,USD
08/31/2016,Cash,$0.16,08/04/2016,09/02/2016,09/16/2016,USD
06/01/2016,Cash,$0.16,04/04/2016,06/03/2016,06/17/2016,USD
03/02/2016,Cash,$0.16,01/26/2016,03/04/2016,03/18/2016,USD
12/02/2015,Cash,$0.16,10/29/2015,12/04/2015,12/18/2015,USD
09/02/2015,Cash,$0.16,07/30/2015,09/04/2015,09/18/2015,USD
06/03/2015,Cash,$0.16,05/21/2015,06/05/2015,06/19/2015,USD
03/04/2015,Cash,$0.16,01/26/2015,03/06/2015,03/20/2015,USD
12/03/2014,Cash,$0.15,10/09/2014,12/05/2014,12/19/2014,USD
09/10/2014,Cash,$0.15,08/14/2014,09/12/2014,09/26/2014,USD
06/04/2014,Cash,$0.15,05/22/2014,06/06/2014,06/20/2014,USD
