Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/01/2025,Cash,$0.37,10/27/2025,12/01/2025,12/15/2025,USD
08/29/2025,Cash,$0.37,07/28/2025,09/01/2025,09/15/2025,USD
06/02/2025,Cash,$0.34,05/20/2025,06/02/2025,06/16/2025,USD
03/03/2025,Cash,$0.34,01/27/2025,03/03/2025,03/17/2025,USD
12/02/2024,Cash,$0.34,10/28/2024,12/02/2024,12/16/2024,USD
08/30/2024,Cash,$0.34,07/22/2024,08/30/2024,09/13/2024,USD
06/03/2024,Cash,$0.32,05/21/2024,06/03/2024,06/17/2024,USD
02/29/2024,Cash,$0.32,01/22/2024,03/01/2024,03/15/2024,USD
11/30/2023,Cash,$0.32,10/23/2023,12/01/2023,12/15/2023,USD
08/31/2023,Cash,$0.32,08/14/2023,09/01/2023,09/15/2023,USD
05/31/2023,Cash,$0.30,05/16/2023,06/01/2023,06/15/2023,USD
02/28/2023,Cash,$0.30,01/23/2023,03/01/2023,03/15/2023,USD
11/30/2022,Cash,$0.30,10/24/2022,12/01/2022,12/15/2022,USD
08/31/2022,Cash,$0.30,07/25/2022,09/01/2022,09/15/2022,USD
05/31/2022,Cash,$0.28,05/17/2022,06/01/2022,06/15/2022,USD
02/28/2022,Cash,$0.28,01/26/2022,03/01/2022,03/15/2022,USD
11/30/2021,Cash,$0.28,10/26/2021,12/01/2021,12/15/2021,USD
08/31/2021,Cash,$0.28,07/26/2021,09/01/2021,09/15/2021,USD
05/28/2021,Cash,$0.27,04/26/2021,06/01/2021,06/15/2021,USD
02/26/2021,Cash,$0.27,01/27/2021,03/01/2021,03/15/2021,USD
11/30/2020,Cash,$0.27,10/26/2020,12/01/2020,12/15/2020,USD
08/31/2020,Cash,$0.27,07/27/2020,09/01/2020,09/15/2020,USD
05/29/2020,Cash,$0.27,03/23/2020,06/01/2020,06/15/2020,USD
02/27/2020,Cash,$0.27,01/27/2020,02/28/2020,03/13/2020,USD
11/27/2019,Cash,$0.27,10/28/2019,11/29/2019,12/13/2019,USD
08/29/2019,Cash,$0.26,07/29/2019,08/30/2019,09/13/2019,USD
05/30/2019,Cash,$0.26,03/25/2019,05/31/2019,06/14/2019,USD
02/28/2019,Cash,$0.26,01/28/2019,03/01/2019,03/15/2019,USD
11/29/2018,Cash,$0.26,10/22/2018,11/30/2018,12/14/2018,USD
08/30/2018,Cash,$0.25,07/23/2018,08/31/2018,09/14/2018,USD
05/31/2018,Cash,$0.25,03/26/2018,06/01/2018,06/15/2018,USD
02/28/2018,Cash,$0.23,01/22/2018,03/01/2018,03/15/2018,USD
11/30/2017,Cash,$0.23,10/23/2017,12/01/2017,12/15/2017,USD
08/30/2017,Cash,$0.23,07/24/2017,09/01/2017,09/15/2017,USD
05/30/2017,Cash,$0.23,05/23/2017,06/01/2017,06/15/2017,USD
02/27/2017,Cash,$0.23,01/23/2017,03/01/2017,03/15/2017,USD
11/29/2016,Cash,$0.23,10/24/2016,12/01/2016,12/15/2016,USD
08/30/2016,Cash,$0.23,07/25/2016,09/01/2016,09/15/2016,USD
05/27/2016,Cash,$0.22,05/03/2016,06/01/2016,06/15/2016,USD
02/26/2016,Cash,$0.22,01/25/2016,03/01/2016,03/15/2016,USD
11/27/2015,Cash,$0.22,10/26/2015,12/01/2015,12/15/2015,USD
08/28/2015,Cash,$0.22,07/27/2015,09/01/2015,09/15/2015,USD
05/27/2015,Cash,$0.22,03/23/2015,05/29/2015,06/15/2015,USD
02/25/2015,Cash,$0.21,01/26/2015,02/27/2015,03/13/2015,USD
11/26/2014,Cash,$0.21,10/27/2014,12/01/2014,12/15/2014,USD
08/27/2014,Cash,$0.21,07/28/2014,09/01/2014,09/15/2014,USD
05/28/2014,Cash,$0.21,05/06/2014,05/30/2014,06/13/2014,USD
02/26/2014,Cash,$0.21,01/27/2014,03/01/2014,03/14/2014,USD
11/26/2013,Cash,$0.21,10/28/2013,12/01/2013,12/15/2013,USD
08/28/2013,Cash,$0.20,07/22/2013,09/01/2013,09/15/2013,USD
02/27/2013,Cash,$0.20,01/28/2013,03/01/2013,03/15/2013,USD
05/28/2003,Cash,$0.17,N/A,05/28/2003,N/A,USD
02/26/2003,Cash,$0.17,N/A,02/26/2003,N/A,USD
11/26/2002,Cash,$0.17,N/A,11/26/2002,N/A,USD
08/28/2002,Cash,$0.17,N/A,08/28/2002,N/A,USD
05/29/2002,Cash,$0.17,N/A,05/29/2002,N/A,USD
02/27/2002,Cash,$0.17,N/A,02/27/2002,N/A,USD
11/28/2001,Cash,$0.17,N/A,11/28/2001,N/A,USD
08/29/2001,Cash,$0.17,N/A,08/29/2001,N/A,USD
05/30/2001,Cash,$0.17,N/A,05/30/2001,N/A,USD
02/27/2001,Cash,$0.17,N/A,02/27/2001,N/A,USD
11/29/2000,Cash,$0.17,N/A,11/29/2000,N/A,USD
