Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/05/2025,Cash,$0.27,N/A,12/05/2025,12/19/2025,USD
09/12/2025,Cash,$0.27,N/A,09/12/2025,09/26/2025,USD
06/13/2025,Cash,$0.27,N/A,06/13/2025,06/27/2025,USD
03/14/2025,Cash,$0.24,N/A,03/14/2025,03/28/2025,USD
12/06/2024,Cash,$0.24,N/A,12/06/2024,12/20/2024,USD
09/13/2024,Cash,$0.24,N/A,09/13/2024,09/27/2024,USD
06/14/2024,Cash,$0.24,N/A,06/14/2024,06/28/2024,USD
03/13/2024,Cash,$0.22,N/A,03/14/2024,03/28/2024,USD
12/07/2023,Cash,$0.22,N/A,12/08/2023,12/22/2023,USD
09/14/2023,Cash,$0.22,N/A,09/15/2023,09/29/2023,USD
06/15/2023,Cash,$0.22,N/A,06/16/2023,06/30/2023,USD
03/16/2023,Cash,$0.20,N/A,03/17/2023,03/31/2023,USD
12/01/2022,Cash,$0.20,N/A,12/02/2022,12/16/2022,USD
09/15/2022,Cash,$0.20,N/A,09/16/2022,09/30/2022,USD
06/09/2022,Cash,$0.60,N/A,06/10/2022,06/24/2022,USD
03/10/2022,Cash,$0.54,N/A,03/11/2022,03/25/2022,USD
12/02/2021,Cash,$0.54,N/A,12/03/2021,12/17/2021,USD
09/09/2021,Cash,$0.54,N/A,09/10/2021,09/24/2021,USD
06/10/2021,Cash,$0.54,N/A,06/11/2021,06/25/2021,USD
03/11/2021,Cash,$0.49,N/A,03/12/2021,03/26/2021,USD
12/03/2020,Cash,$0.49,10/20/2020,12/04/2020,12/18/2020,USD
09/10/2020,Cash,$0.49,07/21/2020,09/11/2020,09/25/2020,USD
06/11/2020,Cash,$0.49,04/21/2020,06/12/2020,06/26/2020,USD
03/12/2020,Cash,$0.47,01/28/2020,03/13/2020,03/27/2020,USD
12/12/2019,Cash,$0.47,10/22/2019,12/13/2019,12/27/2019,USD
09/12/2019,Cash,$0.47,07/23/2019,09/13/2019,09/27/2019,USD
06/13/2019,Cash,$0.47,04/23/2019,06/14/2019,06/28/2019,USD
03/14/2019,Cash,$0.44,01/29/2019,03/15/2019,03/29/2019,USD
12/13/2018,Cash,$0.44,10/23/2018,12/14/2018,12/28/2018,USD
09/13/2018,Cash,$0.44,07/24/2018,09/14/2018,09/28/2018,USD
06/14/2018,Cash,$0.44,03/26/2018,06/15/2018,06/29/2018,USD
03/15/2018,Cash,$0.38,01/30/2018,03/16/2018,03/30/2018,USD
12/14/2017,Cash,$0.38,10/24/2017,12/15/2017,12/29/2017,USD
09/14/2017,Cash,$0.38,07/25/2017,09/15/2017,09/29/2017,USD
06/14/2017,Cash,$0.38,04/25/2017,06/16/2017,06/30/2017,USD
03/15/2017,Cash,$0.32,01/30/2017,03/17/2017,03/31/2017,USD
12/14/2016,Cash,$0.32,10/25/2016,12/16/2016,12/30/2016,USD
09/14/2016,Cash,$0.32,07/26/2016,09/16/2016,09/30/2016,USD
06/08/2016,Cash,$0.32,03/29/2016,06/10/2016,06/24/2016,USD
03/10/2016,Cash,$0.25,01/27/2016,03/14/2016,03/28/2016,USD
12/10/2015,Cash,$0.25,10/20/2015,12/14/2015,12/28/2015,USD
09/09/2015,Cash,$0.25,07/21/2015,09/11/2015,09/25/2015,USD
06/10/2015,Cash,$0.25,04/21/2015,06/12/2015,06/26/2015,USD
03/11/2015,Cash,$0.15,01/26/2015,03/13/2015,03/27/2015,USD
12/10/2014,Cash,$0.15,10/23/2014,12/12/2014,12/26/2014,USD
09/10/2014,Cash,$0.15,07/22/2014,09/12/2014,09/26/2014,USD
06/11/2014,Cash,$0.15,03/26/2014,06/13/2014,06/27/2014,USD
03/12/2014,Cash,$0.13,01/30/2014,03/14/2014,03/28/2014,USD
12/11/2013,Cash,$0.13,10/21/2013,12/13/2013,12/27/2013,USD
09/11/2013,Cash,$0.13,07/22/2013,09/13/2013,09/27/2013,USD
