Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/17/2025,Cash,$0.03,10/29/2025,11/17/2025,12/02/2025,USD
08/14/2025,Cash,$0.03,07/29/2025,08/14/2025,08/29/2025,USD
05/14/2025,Cash,$0.03,04/29/2025,05/14/2025,05/29/2025,USD
03/03/2025,Cash,$0.03,02/13/2025,03/03/2025,03/17/2025,USD
11/21/2024,Cash,$0.03,11/04/2024,11/21/2024,12/05/2024,USD
08/16/2024,Cash,$0.03,08/01/2024,08/16/2024,09/03/2024,USD
05/16/2024,Cash,$0.03,05/02/2024,05/17/2024,06/03/2024,USD
03/07/2024,Cash,$0.03,02/21/2024,03/08/2024,03/22/2024,USD
11/21/2023,Cash,$0.03,10/31/2023,11/22/2023,12/06/2023,USD
08/16/2023,Cash,$0.03,07/27/2023,08/17/2023,08/31/2023,USD
05/18/2023,Cash,$0.03,05/04/2023,05/19/2023,05/26/2023,USD
03/02/2023,Cash,$0.03,02/15/2023,03/03/2023,03/17/2023,USD
11/09/2022,Cash,$0.03,10/27/2022,11/11/2022,11/30/2022,USD
08/12/2022,Cash,$0.03,07/28/2022,08/15/2022,08/31/2022,USD
05/13/2022,Cash,$0.03,04/28/2022,05/16/2022,05/31/2022,USD
02/28/2022,Cash,$0.01,02/11/2022,03/01/2022,03/15/2022,USD
11/18/2021,Cash,$0.01,11/04/2021,11/19/2021,12/10/2021,USD
08/19/2021,Cash,$0.01,08/05/2021,08/20/2021,09/07/2021,USD
05/25/2021,Cash,$0.01,05/05/2021,05/26/2021,06/14/2021,USD
03/09/2021,Cash,$0.01,02/17/2021,03/10/2021,03/26/2021,USD
11/24/2020,Cash,$0.01,11/04/2020,11/25/2020,12/14/2020,USD
08/25/2020,Cash,$0.01,08/05/2020,08/26/2020,09/14/2020,USD
05/27/2020,Cash,$0.01,05/06/2020,05/28/2020,06/15/2020,USD
03/04/2020,Cash,$0.10,02/12/2020,03/05/2020,03/23/2020,USD
11/18/2019,Cash,$0.10,10/29/2019,11/19/2019,12/06/2019,USD
08/19/2019,Cash,$0.10,07/31/2019,08/20/2019,09/05/2019,USD
05/24/2019,Cash,$0.10,05/07/2019,05/28/2019,06/12/2019,USD
02/27/2019,Cash,$0.09,02/11/2019,02/28/2019,03/13/2019,USD
11/06/2018,Cash,$0.09,10/24/2018,11/07/2018,11/28/2018,USD
08/17/2018,Cash,$0.09,08/01/2018,08/20/2018,09/05/2018,USD
05/18/2018,Cash,$0.09,05/02/2018,05/21/2018,06/05/2018,USD
