Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/10/2025,Cash,$1.014,11/19/2025,12/10/2025,01/07/2026,USD
09/17/2025,Cash,$1.014,08/28/2025,09/17/2025,10/08/2025,USD
06/25/2025,Cash,$1.014,06/12/2025,06/25/2025,07/09/2025,USD
03/19/2025,Cash,$1.014,03/06/2025,03/19/2025,04/09/2025,USD
12/05/2024,Cash,$1.014,11/21/2024,12/05/2024,01/08/2025,USD
09/12/2024,Cash,$1.014,08/29/2024,09/12/2024,10/09/2024,USD
06/13/2024,Cash,$1.014,05/30/2024,06/13/2024,07/10/2024,USD
03/20/2024,Cash,$1.014,03/07/2024,03/21/2024,04/10/2024,USD
12/12/2023,Cash,$1.014,11/15/2023,12/13/2023,01/05/2024,USD
09/12/2023,Cash,$1.014,08/24/2023,09/13/2023,10/05/2023,USD
06/13/2023,Cash,$1.014,05/25/2023,06/14/2023,07/06/2023,USD
03/14/2023,Cash,$1.014,01/30/2023,03/15/2023,04/05/2023,USD
12/14/2022,Cash,$0.845,11/16/2022,12/15/2022,01/06/2023,USD
09/14/2022,Cash,$0.845,08/25/2022,09/15/2022,10/06/2022,USD
06/14/2022,Cash,$0.845,06/02/2022,06/15/2022,07/06/2022,USD
03/14/2022,Cash,$0.845,01/31/2022,03/15/2022,04/06/2022,USD
12/14/2021,Cash,$0.5625,11/18/2021,12/15/2021,01/06/2022,USD
09/14/2021,Cash,$0.5625,08/26/2021,09/15/2021,10/06/2021,USD
06/14/2021,Cash,$0.5625,05/27/2021,06/15/2021,07/06/2021,USD
03/12/2021,Cash,$0.5625,03/04/2021,03/15/2021,04/05/2021,USD
12/14/2020,Cash,$0.375,11/18/2020,12/15/2020,01/05/2021,USD
09/14/2020,Cash,$0.375,08/27/2020,09/15/2020,10/05/2020,USD
06/12/2020,Cash,$0.375,05/28/2020,06/15/2020,07/06/2020,USD
03/13/2020,Cash,$0.375,03/05/2020,03/16/2020,04/06/2020,USD
12/13/2019,Cash,$0.375,11/19/2019,12/16/2019,01/06/2020,USD
09/13/2019,Cash,$0.375,08/29/2019,09/16/2019,10/04/2019,USD
06/13/2019,Cash,$0.25,N/A,06/14/2019,07/05/2019,USD
03/15/2019,Cash,$0.25,03/05/2019,03/18/2019,04/05/2019,USD
12/13/2018,Cash,$0.25,N/A,12/14/2018,01/07/2019,USD
09/24/2018,Cash,$0.25,N/A,09/25/2018,10/05/2018,USD
