Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/12/2025,Cash,$1.86,10/28/2025,11/12/2025,11/26/2025,USD
08/15/2025,Cash,$1.86,07/31/2025,08/15/2025,08/29/2025,USD
05/19/2025,Cash,$1.86,05/02/2025,05/19/2025,06/02/2025,USD
02/12/2025,Cash,$1.86,01/28/2025,02/12/2025,02/26/2025,USD
11/15/2024,Cash,$1.69,10/31/2024,11/15/2024,11/29/2024,USD
08/09/2024,Cash,$1.69,07/25/2024,08/09/2024,08/23/2024,USD
05/09/2024,Cash,$1.69,04/25/2024,05/10/2024,05/24/2024,USD
02/08/2024,Cash,$1.69,01/25/2024,02/09/2024,02/23/2024,USD
11/09/2023,Cash,$1.35,10/26/2023,11/10/2023,11/27/2023,USD
08/09/2023,Cash,$1.35,07/26/2023,08/10/2023,08/24/2023,USD
05/11/2023,Cash,$1.35,04/27/2023,05/12/2023,05/26/2023,USD
02/09/2023,Cash,$1.35,01/26/2023,02/10/2023,02/24/2023,USD
11/10/2022,Cash,$0.90,10/27/2022,11/14/2022,11/28/2022,USD
08/10/2022,Cash,$0.90,07/27/2022,08/11/2022,08/25/2022,USD
05/12/2022,Cash,$0.90,04/28/2022,05/13/2022,05/27/2022,USD
02/10/2022,Cash,$0.90,01/27/2022,02/11/2022,02/28/2022,USD
11/10/2021,Cash,$0.70,10/27/2021,11/12/2021,11/29/2021,USD
08/12/2021,Cash,$0.70,07/28/2021,08/13/2021,08/27/2021,USD
05/13/2021,Cash,$0.70,04/28/2021,05/14/2021,05/28/2021,USD
02/11/2021,Cash,$0.70,01/27/2021,02/12/2021,02/26/2021,USD
11/05/2020,Cash,$0.56,10/21/2020,11/06/2020,11/20/2020,USD
08/06/2020,Cash,$0.56,07/23/2020,08/07/2020,08/21/2020,USD
05/14/2020,Cash,$0.56,04/30/2020,05/15/2020,05/29/2020,USD
02/13/2020,Cash,$0.56,01/30/2020,02/14/2020,02/28/2020,USD
11/07/2019,Cash,$0.45,10/24/2019,11/08/2019,11/22/2019,USD
08/08/2019,Cash,$0.45,07/25/2019,08/09/2019,08/23/2019,USD
05/09/2019,Cash,$0.45,04/25/2019,05/10/2019,05/24/2019,USD
02/07/2019,Cash,$0.45,01/24/2019,02/08/2019,02/22/2019,USD
11/15/2018,Cash,$0.375,10/25/2018,11/16/2018,11/30/2018,USD
08/09/2018,Cash,$0.375,07/26/2018,08/10/2018,08/24/2018,USD
05/10/2018,Cash,$0.375,04/26/2018,05/11/2018,05/25/2018,USD
02/15/2018,Cash,$0.375,02/01/2018,02/16/2018,03/02/2018,USD
11/16/2017,Cash,$0.30,10/26/2017,11/17/2017,12/01/2017,USD
08/09/2017,Cash,$0.30,07/27/2017,08/11/2017,08/25/2017,USD
05/10/2017,Cash,$0.30,04/20/2017,05/12/2017,05/26/2017,USD
02/08/2017,Cash,$0.30,01/26/2017,02/10/2017,02/24/2017,USD
11/02/2016,Cash,$0.24,10/20/2016,11/04/2016,11/18/2016,USD
08/10/2016,Cash,$0.24,07/21/2016,08/12/2016,08/26/2016,USD
05/11/2016,Cash,$0.24,04/21/2016,05/13/2016,05/27/2016,USD
02/10/2016,Cash,$0.24,01/21/2016,02/12/2016,02/26/2016,USD
11/04/2015,Cash,$0.19,10/23/2015,11/06/2015,11/20/2015,USD
08/12/2015,Cash,$0.19,07/24/2015,08/14/2015,08/28/2015,USD
05/13/2015,Cash,$0.19,04/24/2015,05/15/2015,05/29/2015,USD
02/11/2015,Cash,$0.19,01/30/2015,02/13/2015,02/27/2015,USD
11/05/2014,Cash,$0.15,10/24/2014,11/07/2014,11/21/2014,USD
08/13/2014,Cash,$0.15,07/25/2014,08/15/2014,08/29/2014,USD
05/14/2014,Cash,$0.15,04/24/2014,05/16/2014,05/30/2014,USD
02/12/2014,Cash,$0.15,01/16/2014,02/14/2014,02/28/2014,USD
11/13/2013,Cash,$0.12,10/25/2013,11/15/2013,12/02/2013,USD
08/14/2013,Cash,$0.12,07/26/2013,08/16/2013,08/30/2013,USD
