Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
02/05/2026,Cash,$0.4375,11/12/2025,02/05/2026,02/20/2026,USD
11/05/2025,Cash,$0.4375,08/13/2025,11/05/2025,11/20/2025,USD
08/05/2025,Cash,$0.4375,05/14/2025,08/05/2025,08/20/2025,USD
05/05/2025,Cash,$0.4375,02/19/2025,05/05/2025,05/20/2025,USD
02/05/2025,Cash,$0.4375,11/13/2024,02/05/2025,02/20/2025,USD
11/05/2024,Cash,$0.4375,08/21/2024,11/05/2024,11/20/2024,USD
08/05/2024,Cash,$0.4375,05/15/2024,08/05/2024,08/20/2024,USD
05/02/2024,Cash,$0.4375,02/21/2024,05/05/2024,05/20/2024,USD
02/02/2024,Cash,$0.4375,11/15/2023,02/05/2024,02/20/2024,USD
11/02/2023,Cash,$0.4375,08/16/2023,11/05/2023,11/20/2023,USD
08/03/2023,Cash,$0.4375,05/10/2023,08/05/2023,08/20/2023,USD
05/04/2023,Cash,$0.4375,02/22/2023,05/05/2023,05/20/2023,USD
02/02/2023,Cash,$0.4375,11/02/2022,02/05/2023,02/20/2023,USD
11/03/2022,Cash,$0.4375,08/17/2022,11/05/2022,11/20/2022,USD
08/04/2022,Cash,$0.4375,05/18/2022,08/05/2022,08/20/2022,USD
05/04/2022,Cash,$0.4375,03/23/2022,05/05/2022,05/20/2022,USD
