Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
10/14/2025,Cash,$0.45,10/01/2025,10/14/2025,10/21/2025,USD
07/11/2025,Cash,$0.44,07/01/2025,07/11/2025,07/18/2025,USD
04/14/2025,Cash,$0.43,04/01/2025,04/14/2025,04/21/2025,USD
01/14/2025,Cash,$0.42,01/02/2025,01/14/2025,01/21/2025,USD
10/11/2024,Cash,$0.41,10/01/2024,10/11/2024,10/18/2024,USD
07/12/2024,Cash,$0.40,07/01/2024,07/12/2024,07/19/2024,USD
04/11/2024,Cash,$0.39,04/01/2024,04/12/2024,04/19/2024,USD
01/12/2024,Cash,$0.38,01/02/2024,01/16/2024,01/23/2024,USD
10/12/2023,Cash,$0.37,10/02/2023,10/13/2023,10/20/2023,USD
07/13/2023,Cash,$0.36,07/03/2023,07/14/2023,07/21/2023,USD
04/13/2023,Cash,$0.35,04/03/2023,04/14/2023,04/21/2023,USD
01/13/2023,Cash,$0.34,01/03/2023,01/17/2023,01/24/2023,USD
10/13/2022,Cash,$0.33,10/03/2022,10/14/2022,10/21/2022,USD
07/14/2022,Cash,$0.32,07/01/2022,07/15/2022,07/22/2022,USD
04/13/2022,Cash,$0.31,04/01/2022,04/15/2022,04/22/2022,USD
01/13/2022,Cash,$0.30,01/03/2022,01/14/2022,01/21/2022,USD
10/14/2021,Cash,$0.29,10/01/2021,10/15/2021,10/22/2021,USD
07/09/2021,Cash,$0.285,07/01/2021,07/12/2021,07/19/2021,USD
04/09/2021,Cash,$0.28,04/01/2021,04/12/2021,04/19/2021,USD
01/14/2021,Cash,$0.2775,01/04/2021,01/15/2021,01/22/2021,USD
10/08/2020,Cash,$0.275,10/01/2020,10/12/2020,10/19/2020,USD
07/10/2020,Cash,$0.2725,07/01/2020,07/13/2020,07/20/2020,USD
04/09/2020,Cash,$0.27,04/01/2020,04/13/2020,04/20/2020,USD
01/16/2020,Cash,$0.26,01/02/2020,01/17/2020,01/24/2020,USD
10/10/2019,Cash,$0.25,10/01/2019,10/11/2019,10/18/2019,USD
07/11/2019,Cash,$0.24,07/01/2019,07/12/2019,07/19/2019,USD
04/12/2019,Cash,$0.23,04/01/2019,04/15/2019,04/22/2019,USD
01/14/2019,Cash,$0.22,01/02/2019,01/15/2019,01/22/2019,USD
10/11/2018,Cash,$0.21,10/01/2018,10/12/2018,10/19/2018,USD
07/12/2018,Cash,$0.20,07/02/2018,07/13/2018,07/20/2018,USD
04/12/2018,Cash,$0.195,04/02/2018,04/13/2018,04/20/2018,USD
01/18/2018,Cash,$0.19,01/02/2018,01/19/2018,01/26/2018,USD
10/12/2017,Cash,$0.185,10/02/2017,10/13/2017,10/20/2017,USD
07/12/2017,Cash,$0.18,07/03/2017,07/14/2017,07/21/2017,USD
04/11/2017,Cash,$0.175,04/03/2017,04/14/2017,04/21/2017,USD
01/18/2017,Cash,$0.17,01/03/2017,01/20/2017,01/27/2017,USD
10/12/2016,Cash,$0.165,10/03/2016,10/14/2016,10/21/2016,USD
07/13/2016,Cash,$0.16,07/01/2016,07/15/2016,07/22/2016,USD
04/13/2016,Cash,$0.155,04/01/2016,04/15/2016,04/22/2016,USD
01/13/2016,Cash,$0.15,01/04/2016,01/15/2016,01/22/2016,USD
10/14/2015,Cash,$0.145,10/01/2015,10/16/2015,10/23/2015,USD
07/15/2015,Cash,$0.14,07/01/2015,07/17/2015,07/24/2015,USD
04/15/2015,Cash,$0.135,04/01/2015,04/17/2015,04/24/2015,USD
01/14/2015,Cash,$0.13,01/02/2015,01/16/2015,01/23/2015,USD
10/15/2014,Cash,$0.125,10/01/2014,10/17/2014,10/24/2014,USD
07/09/2014,Cash,$0.12,07/01/2014,07/11/2014,07/18/2014,USD
04/09/2014,Cash,$0.23,04/01/2014,04/11/2014,04/18/2014,USD
01/15/2014,Cash,$0.22,01/02/2014,01/17/2014,01/24/2014,USD
10/09/2013,Cash,$0.21,10/01/2013,10/11/2013,10/18/2013,USD
07/10/2013,Cash,$0.19,07/01/2013,07/12/2013,07/19/2013,USD
01/16/2013,Cash,$0.15,01/02/2013,01/18/2013,01/25/2013,USD
04/30/2003,Cash,$0.11,N/A,04/30/2003,N/A,USD
01/23/2003,Cash,$0.10,N/A,01/23/2003,N/A,USD
10/17/2002,Cash,$0.10,N/A,10/17/2002,N/A,USD
07/18/2002,Cash,$0.08,N/A,07/18/2002,N/A,USD
04/18/2002,Cash,$0.14,N/A,04/18/2002,N/A,USD
01/16/2002,Cash,$0.12,N/A,01/16/2002,N/A,USD
10/03/2001,Cash,$0.12,N/A,10/03/2001,N/A,USD
07/05/2001,Cash,$0.12,N/A,07/05/2001,N/A,USD
04/04/2001,Cash,$0.11,N/A,04/04/2001,N/A,USD
01/04/2001,Cash,$0.11,N/A,01/04/2001,N/A,USD
10/04/2000,Cash,$0.11,N/A,10/04/2000,N/A,USD
07/06/2000,Cash,$0.11,N/A,07/06/2000,N/A,USD
04/05/2000,Cash,$0.10,N/A,04/05/2000,N/A,USD
01/05/2000,Cash,$0.10,N/A,01/05/2000,N/A,USD
10/06/1999,Cash,$0.10,N/A,10/06/1999,N/A,USD
07/07/1999,Cash,$0.10,N/A,07/07/1999,N/A,USD
04/07/1999,Cash,$0.10,N/A,04/07/1999,N/A,USD
01/06/1999,Cash,$0.10,N/A,01/06/1999,N/A,USD
10/07/1998,Cash,$0.06,N/A,10/07/1998,N/A,USD
07/08/1998,Cash,$0.06,N/A,07/08/1998,N/A,USD
04/07/1998,Cash,$0.06,N/A,04/07/1998,N/A,USD
01/07/1998,Cash,$0.05,N/A,01/07/1998,N/A,USD
10/08/1997,Cash,$0.05,N/A,10/08/1997,N/A,USD
