Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/03/2025,Cash,$0.28906,10/01/2025,11/03/2025,11/17/2025,USD
08/01/2025,Cash,$0.28906,07/01/2025,08/01/2025,08/15/2025,USD
05/01/2025,Cash,$0.28906,04/01/2025,05/01/2025,05/15/2025,USD
02/03/2025,Cash,$0.28906,01/02/2025,02/03/2025,02/18/2025,USD
11/01/2024,Cash,$0.28906,10/01/2024,11/01/2024,11/15/2024,USD
08/01/2024,Cash,$0.28906,07/01/2024,08/01/2024,08/15/2024,USD
05/03/2024,Cash,$0.28906,04/01/2024,05/06/2024,05/15/2024,USD
01/31/2024,Cash,$0.28906,01/02/2024,02/01/2024,02/15/2024,USD
10/31/2023,Cash,$0.28906,10/02/2023,11/01/2023,11/15/2023,USD
07/31/2023,Cash,$0.28906,07/03/2023,08/01/2023,08/15/2023,USD
04/28/2023,Cash,$0.28906,04/03/2023,05/01/2023,05/15/2023,USD
01/31/2023,Cash,$0.28906,01/03/2023,02/01/2023,02/15/2023,USD
10/31/2022,Cash,$0.28906,10/03/2022,11/01/2022,11/15/2022,USD
07/29/2022,Cash,$0.28906,07/01/2022,08/01/2022,08/15/2022,USD
04/29/2022,Cash,$0.28906,04/01/2022,05/02/2022,05/16/2022,USD
01/31/2022,Cash,$0.32,01/03/2022,02/01/2022,02/15/2022,USD
