Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/26/2025,Cash,$0.12,11/04/2025,11/26/2025,12/17/2025,USD
09/03/2025,Cash,$0.12,07/29/2025,09/03/2025,09/24/2025,USD
06/04/2025,Cash,$0.12,05/06/2025,06/04/2025,06/25/2025,USD
03/05/2025,Cash,$0.12,02/04/2025,03/05/2025,03/26/2025,USD
11/27/2024,Cash,$0.12,11/05/2024,11/27/2024,12/18/2024,USD
09/04/2024,Cash,$0.12,07/30/2024,09/04/2024,09/25/2024,USD
06/05/2024,Cash,$0.12,05/07/2024,06/05/2024,06/26/2024,USD
03/05/2024,Cash,$0.12,02/06/2024,03/06/2024,03/27/2024,USD
11/28/2023,Cash,$0.12,11/06/2023,11/29/2023,12/20/2023,USD
09/05/2023,Cash,$0.12,07/25/2023,09/06/2023,09/27/2023,USD
06/06/2023,Cash,$0.12,05/01/2023,06/07/2023,06/28/2023,USD
02/28/2023,Cash,$0.12,02/06/2023,03/01/2023,03/22/2023,USD
11/29/2022,Cash,$0.12,11/07/2022,11/30/2022,12/21/2022,USD
09/06/2022,Cash,$0.12,07/25/2022,09/07/2022,09/28/2022,USD
05/31/2022,Cash,$0.12,05/02/2022,06/01/2022,06/22/2022,USD
03/01/2022,Cash,$0.12,02/07/2022,03/02/2022,03/23/2022,USD
11/23/2021,Cash,$0.12,11/01/2021,11/24/2021,12/15/2021,USD
08/31/2021,Cash,$0.12,07/26/2021,09/01/2021,09/22/2021,USD
06/01/2021,Cash,$0.12,05/03/2021,06/02/2021,06/23/2021,USD
03/02/2021,Cash,$0.12,02/01/2021,03/03/2021,03/24/2021,USD
11/24/2020,Cash,$0.12,11/02/2020,11/25/2020,12/16/2020,USD
09/01/2020,Cash,$0.12,07/27/2020,09/02/2020,09/23/2020,USD
06/02/2020,Cash,$0.12,05/04/2020,06/03/2020,06/24/2020,USD
03/03/2020,Cash,$0.12,02/03/2020,03/04/2020,03/25/2020,USD
11/26/2019,Cash,$0.12,11/04/2019,11/27/2019,12/18/2019,USD
09/03/2019,Cash,$0.12,07/29/2019,09/04/2019,09/25/2019,USD
06/04/2019,Cash,$0.12,05/06/2019,06/05/2019,06/26/2019,USD
03/05/2019,Cash,$0.12,02/06/2019,03/06/2019,03/27/2019,USD
11/27/2018,Cash,$0.12,11/05/2018,11/28/2018,12/19/2018,USD
09/04/2018,Cash,$0.10,07/30/2018,09/05/2018,09/26/2018,USD
06/05/2018,Cash,$0.10,05/07/2018,06/06/2018,06/27/2018,USD
03/06/2018,Cash,$0.10,02/05/2018,03/07/2018,03/28/2018,USD
12/05/2017,Cash,$0.10,11/06/2017,12/06/2017,12/27/2017,USD
09/01/2017,Cash,$0.10,07/24/2017,09/06/2017,09/27/2017,USD
05/26/2017,Cash,$0.10,05/08/2017,05/31/2017,06/22/2017,USD
02/27/2017,Cash,$0.10,02/06/2017,03/01/2017,03/22/2017,USD
11/28/2016,Cash,$0.10,11/07/2016,11/30/2016,12/21/2016,USD
09/02/2016,Cash,$0.10,07/25/2016,09/07/2016,09/28/2016,USD
05/27/2016,Cash,$0.10,05/09/2016,06/01/2016,06/22/2016,USD
02/29/2016,Cash,$0.10,02/08/2016,03/02/2016,03/23/2016,USD
11/30/2015,Cash,$0.10,11/09/2015,12/02/2015,12/23/2015,USD
08/31/2015,Cash,$0.10,07/27/2015,09/02/2015,09/23/2015,USD
06/01/2015,Cash,$0.10,05/11/2015,06/03/2015,06/24/2015,USD
03/02/2015,Cash,$0.10,02/09/2015,03/04/2015,03/25/2015,USD
12/01/2014,Cash,$0.10,11/10/2014,12/03/2014,12/23/2014,USD
08/29/2014,Cash,$0.10,07/28/2014,09/03/2014,09/24/2014,USD
